Content,Likes,ONG,Alcance,,,
Buen día! cómo están en este viernes? ánimo hoy que no queda nada para el fin de semana. :),0,Corporación para Ciegos,Local,,,
DOMINGO 21 DE JUNIO ven a disfrutar este día en familia a celebrar el día del padre de una manera diferente ayudando y solidarizando con los niños y familias del norte afectados en el aluvión--- Te esperamos De 11:00 a 18:00 horas en Sporting Club Vía del Mar EVENTO DESAFÍO LEVANTEMOS CHILE - SPORTING  únete a esta Gran Actividad de @desafiovregion este domingo 21 en Sporting Viña del Mar.campeonato de futbolito canchas M. Salas zumbatón 16.30 hrs  Te esperamos De 11:00 a 18:00 horas en un Particular Showroom con mas de 30 tiendas Tendremos excelentes y variadas tiendas para todos los gustos y edades como Accesorios Ropa (calzas peluditos chalecos polerones) Joyas(de fantasía de acero de oro de plata y con cristales Swarovski) Carteras (kipling De Cuero y alternativas) Victoria Secret Calzado (botas y botines de cuero zapatillas y Melissa) Licores Artículos de Belleza Manicure y mucho más. Entrada LIBERADA y estacionamiento GRATUITO Recuerda este domingo 21 sólo de 11:00 a 18:00 horas QUE NO TE LO CUENTEN,0,Desafío Levantemos Chile V Región,Local,,,
Buen día! aprovecha este domingo junto a tu familia y amigos.,0,Corporación para Ciegos,Local,,,
Buen regreso a casa amigos! mucho ánimo que la semana recién comienza :),0,Corporación para Ciegos,Local,,,
Buen día amigos! hoy la mañana no está tan fría a empezar con todo el ánimo este viernes!,0,Corporación para Ciegos,Local,,,
"Futvalores no para!! Hoy Premiación Futvalores a las 18 horas en Gimnasio Escuela Santa Ana (costado Iglesia La Matriz calle Santo Domingo). Comenzaremos con la charla ""Deporte: creador de valor en la sociedad"" de Harold @MayneNicholls.",0,Corporación La Matriz,Local,,,
Hola amigos del Barrio Puerto. Participaron del simulacro de terremoto y tsunami?.Si es así cuéntanos tu experiencia :-),0,Corporación La Matriz,Local,,,
Feliz día a todos los padres de Valparaíso y Barrio Puerto!Un fuerte abrazo a todos ustedes de parte de todo el staff de Corporación La Matriz.,0,Corporación La Matriz,Local,,,
Increíble lo que muestra @24HorasTVN con El Niño de curacaví en H. Josefina Martínez. Caso grave e intolerable con los + pobres.,0,Instituto de Rehabilitación de Valparaso,Local,,,
VEN A CONOCER MI BARRIO Y APROVECHA DE VER LA ORQUESTA SINFÓNICA INFANTIL Y JUVENIL CORMUVAL EL MARTES 26 ALAS 20HRS EN LA MATRIZ COMPARTAN COMPARTAN,0,Corporación La Matriz,Local,,,
En el día intern de la PsD Nada q celebrar hay q avanzar como país y declarar la realidad de los DDHH de las PsD #JugatelaporlaInclusión,0,Instituto de Rehabilitación de Valparaso,Local,,,
Información respecto del Diplomado de Postítulo en Educación Diferencial Inclusiva de la Universidad de Valparaíso - ChileToda la documentación puede ser enviada vía e-mail para postular.https://mega.co.nz/#!8053lawS!W6SBvgZVxNpRpk5FRaZT1Quwh0RdwaLjDS9jJWudLWQ,0,Banco de Solidaridad Estudiantil de Valparaso,Local,,,
Atención a todos los participantes: tenemos una reunión obligatoria el Miércoles 23 de Febrero a las 19:00 en la sede con algunos representantes del gobierno regional para entregar útiles escolares.  Deben venir con los padres también.,0,Valpo Surf Project,Local,,,
Atención a todos los participantes mayores y voluntarios que iban a participar en la sesión de surf el sábado: Como precaución del riesgo de tsunami del terremoto en Japón se cambia la sesión de surf al Domingo.  Nos juntamos en la Palmera a las 10 y bajamos de allí.,0,Valpo Surf Project,Local,,,
La Corporación para Ciegos le invita al CONCIERTO DEL DÚO CECILIA ECHENIQUE Y EDUARDO GATTI a realizarse el miércoles 24 de octubre a las 20:00 horas en el Aula Magna de la Escuela Militar (Los Militares 4500 Las Condes).  Estacionamiento liberado ingreso por Américo Vespucio - Puerta la Capilla ADHESIÓN $12.000.-,0,Corporación para Ciegos,Local,,,
Todos los estudiantes recuerde clase de fotografía ahora es a las 7:00 PM el miércoles por los chicos y las 5:00 pm el viernes para las chicas.,0,Valpo Surf Project,Local,,,
No más Violencia contra las Mujeres!!!!,5,Fundación Ascensus Mujer,Local,,,
A todos y a todas Ascensus Mujer les desea una Noche Buena llena de Paz y una Feliz Navidad!!!!!!!!!,5,Fundación Ascensus Mujer,Local,,,
Buenos días esperamos que hayan disfrutado de la hermosa tormenta eléctrica que nos entrego la naturaleza !!Que tengan una excelente jornada :),5,Fundación Ascensus Mujer,Local,,,
