,A,date,C,D,content
0,698524208498876417,2016-02-13 15:08:43,0,2,RT @JUNJI_Chile: En los #jardinesdeverano de la JUNJI cuidamos a niñas y niños del sol evitando actividades al aire libre cuando la radiaci…
1,697834955464904708,2016-02-11 17:29:53,0,4,RT @JUNJI_Chile: La alimentación de un niño entre l2 y 5 años debe estar basada en un 50% en frutas y verduras. #jardinesdeverano https://t…
2,697533450090385408,2016-02-10 21:31:48,0,196,"RT @sename_gobierno: Cientos de niñ@s necesitan una familia transitoria, tú puedes ser una de ellas ¡¡INSCRÍBETE!! #DondeCaben2Caben3 http:…"
3,697103001677381633,2016-02-09 17:01:21,0,1,"RT @PrmMasada: Profesionales de nuestro prm, realizando reunión de coordinación por área. @Sename_XV https://t.co/ehIG1FJAhc"
4,697102960359251968,2016-02-09 17:01:11,0,1,RT @PrmMasada: El turno de nuestras trabajadoras sociales y su reunión de coordinación @Sename_XV https://t.co/yUojLMl9Uk
5,695703604070588417,2016-02-05 20:20:39,0,0,Programa de Protección Especializada EVEN realiza campaña previniendo el comercio sexual de menores en Coquimbo https://t.co/STAIxdQol3
6,642005060822659072,2015-09-10 16:01:49,0,6,"RT @sename_gobierno: Haz la denuncia, atrévete y acaba con el #MaltratoInfantil al llamar al #FonoSename 800730800. Acá en: http://t.co/l2f…"
7,642005012923719681,2015-09-10 16:01:37,0,3,"RT @sename_gobierno: Dar tu opinión es importante, es tu derecho. Participa del Consejo Asesor de #Sename acá en: http://t.co/bBKYxvABvq ht…"
8,632257263374352384,2015-08-14 18:27:33,0,2,RT @sename_gobierno: Consejo Asesor de Niñ@s visitan Estadio Nacional junto a Unidad de Participación de #Sename. http://t.co/Sz7N1D1UnA
9,632256210809565185,2015-08-14 18:23:22,0,0,Bienvenidos al nuevo Twitter de Corporacón Prodel. En este espacio compartiremos novedades y noticias
