,A,date,C,D,content,,
0,"6,99247436276093E+017",2016-02-15 15:02:34,3,2,¿Sabías qué actualmente en nuestro país la pobreza se mide desde una mirada monetaria y otra multidimensional? https://t.co/3R67HMIfAe,,
1,"6,99052744922001E+017",2016-02-15 02:08:56,7,12,"Porque el amor se demuestra, se vive, se respira, se construye y se alimenta. ❤️ https://t.co/qsALZ6Ghdy",,
2,"6,98212382796079E+017",2016-02-12 18:29:38,0,2,RT @empleahc: Agradecemos a @WSantiagoHotel por su permanente colaboración a nuestra Fundación y creer en la Inclusión laboral... https://t…,,
3,"6,97903056768365E+017",2016-02-11 22:00:29,17,13,Te invitamos a leer la entrevista que @tomasgonzalez1 nos dio el martes recién pasado: https://t.co/BO3h6CkhXR https://t.co/7snGDK2SRH,,
4,"6,97802481770828E+017",2016-02-11 15:20:50,0,0,My best RTs this week came from: @PADREALBERTOH #thankSAll Who were yours? https://t.co/1KXstNsKpe,,
5,"6,95700850711405E+017",2016-02-05 20:09:42,0,2,RT @empleahc: Fundación Emplea es parte de @Hdecristo conoce más en el siguiente link: https://t.co/vaY0bRQAMc https://t.co/ApXxczc24r,,
6,"6,95619320618086E+017",2016-02-05 14:45:44,1,0,"My week on Twitter: 10 New Followers, 5 Mentions, 12.5K Mention Reach, 5 Retweets. How's your audience growing? via https://t.co/4kEUPOunY8",,
7,"6,95265763393933E+017",2016-02-04 15:20:50,3,0,My best RTs this week came from: @fparentesis @empleahc #thankSAll Who were yours? https://t.co/1KXstNsKpe,,
8,"6,94264034925871E+017",2016-02-01 21:00:19,1,1,Gracias amigos de @VENTISQUEROS por esta nota: Acogidos fueron beneficiarios de operativo dental en Aysén https://t.co/zjP7d0rKL7,,
9,"6,94237498323702E+017",2016-02-01 19:14:52,0,7,RT @fparentesis: En #Talca el Programa La Escalera acoge a adolescentes en sit. de pobreza y consumo prob. de alcohol y otras drogas. https…,,
10,"6,94155909556277E+017",2016-02-01 13:50:40,0,3,RT @rostrosnuevos: En el Centro de Preparación para el Trabajo se ordenan tapas plásticas que luego serán maceteros biodegradables. https:/…,,
11,"6,93082598843752E+017",2016-01-29 14:45:43,0,0,"My week on Twitter: 7 New Followers, 5 Mentions, 4.13K Mention Reach, 32 Retweets. How's your audience growing? via https://t.co/4kEUPOunY8",,
