,A,date,C,D,content
0,695762451657261056,2016-02-06 00:14:29,0,7,RT @Senadis_Valpo: Acompañando a Alcaldesa @ElQuiscoMuni en Piloto sillas anfibias y acceso a playa Las Conchitas. Felicitaciones! https://…
1,695762450969468929,2016-02-06 00:14:29,0,5,RT @Senadis_Valpo: #porunveranoinclusivo @ElQuiscoMuni con Piloto accesibilidad en playas https://t.co/WTZtyChlRW
2,695274975108980736,2016-02-04 15:57:26,0,0,Eres mayor de 55 años y no oyes como antes? Ven y prueba la diferencia con nuestros productos #SOLAREAR sin costo (32)2599775 @senamavalpo
3,695273134891651072,2016-02-04 15:50:07,0,0,El placer de oír con audífonos accesibles y de alta calidad desde $142.800c/u. Pruébalos sin costo llama /32)2599775 https://t.co/q979B9OZaK
4,695268669027393536,2016-02-04 15:32:22,0,4,RT @coninfanciacl: Derechos de los niñ@s en lenguaje de señas. Hay tantas formas de comunicarnos. #JuntosPorLaNinez https://t.co/vawHdGMAbE
5,695268609124384770,2016-02-04 15:32:08,0,3,RT @chilevalora: ¡Sigue el Programa #MásCapaz de @SenceChile este 2016! Conoce todos los cursos gratuitos en https://t.co/gbzSIjmLvv https:…
6,695268199223410688,2016-02-04 15:30:30,0,5,RT @Senadis_Valpo: En constitución Consejo Regional de Adulto Mayor. @senamavalpo @dsocial_V https://t.co/n0G4Caelq4
7,694848210435756032,2016-02-03 11:41:37,0,3,RT @ElQuiscoMuni: Este fin de semana y durante todo febrero parte plan piloto de #SillasAnfibio para personas en discapacidad @Mega https:/…
8,694848195021639681,2016-02-03 11:41:34,0,4,RT @Senadis_Valpo: RT una gran iniciativa @ElQuiscoMuni  https://t.co/wzCR7eo8uh
9,694848008769376260,2016-02-03 11:40:49,0,3,RT @CreceContigo: Alrededor del cuarto mes de gestación tu guagua ya puede escuchar. Háblenle para que vaya reconociendo sus voces.... http…
10,694847834215022592,2016-02-03 11:40:07,0,15,"RT @masmunicipios: Con sillas anfibias dan el vamos a proyecto que implementa dos ""Playas Inclusivas"" en #Arica https://t.co/nf4RO5QGkU htt…"
