,A,date,C,D,content
0,223862013770743808,2012-07-13 19:30:37,0,0,Clínica Las Condes confirma Muerte Trinidad Gelfenstein http://t.co/yZle7jXg vía @Meganoticiascl
1,222600129797029889,2012-07-10 07:56:21,0,38,RT @thalia: Ta'cañon la levantada temprano!Help!/RT @GabrielSottero: @thalia deja tu los  #OjosDeHuevoDuro la bronca es levantarnos maña ...
2,222599560772587520,2012-07-10 07:54:05,0,120,RT @thalia: Ya!!! A dormir todos mis polluelos!Q si no mañana sera el club de #LosZombiesPapujados Los amo!!!!
3,222598801561624578,2012-07-10 07:51:04,0,0,Onemi Tarapacá confirma avistamiento de “luz llamativa” en cielos de Iquique http://t.co/hANE7khS vía @biobio
4,217645210073698308,2012-06-26 15:47:16,0,0,"Contra España, Cristiano renueva el duelo entre el Real y Barça Peru  http://t.co/8JAVVd0h vía @TerraPE"
5,217644416398143488,2012-06-26 15:44:07,0,0,"Murió en Galápagos el 'Solitario George', la última tortuga de su especie http://t.co/VRfELPTg vía @uninoticias"
6,217643274167533569,2012-06-26 15:39:34,0,0,Fuerte sismo de 6.6 en Rusia http://t.co/KCgVFj49 vía @uninoticias
7,217290663300055041,2012-06-25 16:18:25,0,0,En Argentina discapacitados se entrenan para guardias de seguridad http://t.co/84uIepno vía @msncl
8,216776035725873152,2012-06-24 06:13:29,0,0,Leche materna contra el sida http://t.co/tTvzWp98
9,215680894743220224,2012-06-21 05:41:47,0,0,Lanzaron la campaña kirchnerista para reformar la Constitución - Política - http://t.co/98LaLwMq http://t.co/OPOuAAh7 vía @perfilcom
10,215677565342449665,2012-06-21 05:28:33,0,0,Cierran el túnel internacional a Chile - Diario Los Andes http://t.co/JAyYMJU1
11,214971642852548608,2012-06-19 06:43:28,0,0,"""Con seguridad"" habrá réplicas del temblor que sacudió Mendoza - Diario Los Andes http://t.co/Nqbx14DV"
12,214725223520546816,2012-06-18 14:24:17,0,0,Tembló fuerte en Mendoza - Diario Los Andes http://t.co/4ueO8RCW
13,214604881061888001,2012-06-18 06:26:05,0,0,Chiloé: Mucho más que un puente - http://t.co/JsoxuhN4 vía @canal13
14,210971996304060416,2012-06-08 05:50:18,0,0,Consejos para ahorrar http://t.co/qosotc6n vía @msncl
15,210787228467732482,2012-06-07 17:36:06,0,0,El 8 de junio muchos llevaremos una prenda del revés para contagiar la solidaridad. ¿Te apuntas? http://t.co/PRYyk2FJ
16,210779039139500033,2012-06-07 17:03:33,0,0,Sismo deja al menos 145 heridos en Perú :: El Informador http://t.co/gDQNjHYH vía @sharethis
17,207550546062753792,2012-05-29 19:14:40,0,0,"TERREMOTO MAGNITUD 5.8 DEJA AL MENOS 15 MUERTOS EN EMILIA ROMANA, ITALIA 29 MAYO 2012 | Gabe Hash http://t.co/XKbQPzSu"
18,207548062749564928,2012-05-29 19:04:48,0,0,Aumentan a 15 las víctimas fatales del terremoto en Italia - http://t.co/dNYcmeoy vía @canal13
19,205570764903165952,2012-05-24 08:07:44,0,0,6 increíbles beneficios del consumo de jugo de naranja para tu salud http://t.co/C8LKkb3s vía @biobio
20,205544906717020161,2012-05-24 06:24:59,0,0,7 hábitos comunes a la hora de acostarte que te impiden dormir bien http://t.co/7Oww4GQi vía @biobio
21,198962195030212610,2012-05-06 02:27:38,0,0,México celebra el Día del Burro - http://t.co/wRMeTkh0 vía @canal13
22,192069753479757825,2012-04-17 01:59:32,0,0,"@mr_jers @KathySalosny Se supone que son especie protegida y sólo importa la lesión del ""monarca""!"
23,188341062790688768,2012-04-06 19:03:03,0,0,Sube a 17 el número de muertos tras fuerte temporal en Argentina | Mundo | LA TERCERA http://t.co/saSbEb0E vía @latercera
24,181892698867904512,2012-03-19 23:59:33,0,0,"http://t.co/E3U8DclA Time ago, I met Alejandra here in Chile and we talk about the NGO that I preside. It would be great if we work..."
25,180096933250088960,2012-03-15 01:03:49,0,0,La fruta y la verdura te hacen más atractivo http://t.co/EE3M6bxC vía @muyinteresante
26,180090378119151617,2012-03-15 00:37:46,0,0,Muertos y algunos daños causa un sismo de fuerte magnitud en México http://t.co/UyrnItew #CNNMex
27,179397945517539329,2012-03-13 02:46:17,0,8,RT @cnnchile: Las consecuencias de las precipitaciones en el sur del país http://t.co/EtyiEn6k
28,179397889326448640,2012-03-13 02:46:04,0,4,RT @cnnchile: Sepa qué es y cómo funciona la farmacogenómica http://t.co/vcn34ZRs
