,comments,created_time,from,id,likes,content,shares,type,,,,
0,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-07 16:33:21,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_969365626480132,"{u'paging': {u'cursors': {u'after': u'MTY5OTU1NjM4MDI2MTI1NA==', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'1699556380261254', u'name': u'SmileLibreria Torres'}], u'summary': {u'total_count': 2}}","#CHILENOSCONDECISION #Atacama  #CHAÑARAL #EnTerrenoJuntoATi  LES INVITA  A PARTICIPAR. HASTA EL 25 DE MARZO AYUDAMOS A AYUDAR A LOS NIÑOS DE LOS CAMPAMENTOS DE EMERGENCIA DEL SALADO, DIEGO DE ALMAGRO Y CHAÑARAL. contacto  :56950779745 FRANCESCA TORRES",{u'count': 3},photo,,,,
1,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-07 15:16:05,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_969338826482812,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'ODc2MDg4Mzk1ODQ1ODAw'}}, u'data': [{u'id': u'876088395845800', u'name': u'Ivonne Torres Ocayo'}, {u'id': u'10203188730870456', u'name': u'Pablo Beltrán'}, {u'id': u'10203297740860766', u'name': u'Adry Fer Muz'}, {u'id': u'1699556380261254', u'name': u'SmileLibreria Torres'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 5}}",Atención  todas las organizaciones sociales. se habilita el fondo presidente de la república. fecha de postulacion primera semana de Abril de 2016,{u'count': 4},link,,,,
2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-07 15:11:20,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_969337303149631,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'MTY5OTU1NjM4MDI2MTI1NA=='}}, u'data': [{u'id': u'1699556380261254', u'name': u'SmileLibreria Torres'}, {u'id': u'10207355540268841', u'name': u'Roama Espinoza Amigo'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 3}}",Te invitamos a ver el cuarto capítulo de nuestro programa #EnTerrenoJuntoATi  de la #ONGSOCIAL #ChilenosconDecisión,{u'count': 2},video,,,,
3,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-07 01:06:13,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_969031596513535,"{u'paging': {u'cursors': {u'after': u'MTAyMDYwNTEzODYzOTA1Nzk=', u'before': u'MTY5OTU1NjM4MDI2MTI1NA=='}}, u'data': [{u'id': u'1699556380261254', u'name': u'SmileLibreria Torres'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'1590650007891089', u'name': u'Angie Del Pilar Galvez'}, {u'id': u'1716818405271340', u'name': u'Gonzalo Carrasco Hernandez'}, {u'id': u'10206051386390579', u'name': u'Ninoshka Alejandra'}], u'summary': {u'total_count': 5}}",#chilenoscondecisión #Atacama #EnTerrenoJuntoATi tarde entretenida para los niños del Salado en la comuna de Chañaral. #ONGSOCIAL  gracias a todo nuestro equipo :),{u'count': 5},photo,,,,
5,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-06 23:08:34,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_968997056516989,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 1}}",parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama #Coquimbo #Metropolitana #Ohhiguins #Maule #Araucania #LosLagos  Sumate a nuestra organización  social,{u'count': 2},photo,,,,
6,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-06 23:06:13,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_968995179850510,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 1}}",parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama #Coquimbo #Metropolitana #Ohhiguins #Maule #Araucania #LosLagos  Sumate a nuestra organización  social,,photo,,,,
7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-06 22:56:13,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_968992093184152,"{u'paging': {u'cursors': {u'after': u'MTAyMDYwNTEzODYzOTA1Nzk=', u'before': u'MTAyMDIxMzIwOTk0NjIyNTE='}}, u'data': [{u'id': u'10202132099462251', u'name': u'Trunce Hernandez Catherinne'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'419893314802038', u'name': u'Anais Genesis'}, {u'id': u'1529123840706956', u'name': u'Nelly Briceño Moreno'}, {u'id': u'10203730384159465', u'name': u'Cobs Contreras Daniela'}, {u'id': u'10206051386390579', u'name': u'Ninoshka Alejandra'}], u'summary': {u'total_count': 6}}",parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama #Coquimbo #Metropolitana #Ohhiguins #Maule #Araucania #LosLagos  Sumate a nuestra organización  social,,photo,,,,
8,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFk1TURNM016RTJOVEV5T1RZek9qRTBOVFE0TURnM01ERT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFk1TURNM016RTJOVEV5T1RZek9qRTBOVFE0TURnM01ERT0='}}, u'data': [{u'message': u'Están bonitas las fotos  cris', u'from': {u'name': u'Isabel Ortega', u'id': u'1669555263312563'}, u'id': u'968975319852496_969037316512963'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2016-02-06 22:15:24,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_968975319852496,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'NzgzNjEyNzY1MDY0NTE0'}}, u'data': [{u'id': u'783612765064514', u'name': u'Rosa Ferreira'}, {u'id': u'941552085900411', u'name': u'Camila Nayareth Alarcon Tapia'}, {u'id': u'10207393688464570', u'name': u'Luis Alberto AS'}, {u'id': u'10202132099462251', u'name': u'Trunce Hernandez Catherinne'}, {u'id': u'427590254111923', u'name': u'Noemí Andrea'}, {u'id': u'962951857125350', u'name': u'Nadia Nataly Salas Donoso'}, {u'id': u'1529123840706956', u'name': u'Nelly Briceño Moreno'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 9}}",parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama #Coquimbo #Metropolitana #Ohhiguins #Maule #Araucania #LosLagos  Sumate a nuestra organización  social,,photo,,,,
9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-06 21:14:21,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_968953136521381,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 2}}",parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama #Coquimbo #Metropolitana #Ohhiguins #Maule #Araucania #LosLagos  Sumate a nuestra organización  social,,photo,,,,
11,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-05 10:40:10,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_968193136597381,"{u'paging': {u'cursors': {u'after': u'MTAxNTI1MzMwMTIzMDcwNzY=', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10152533012307076', u'name': u'Bravo Nauta'}], u'summary': {u'total_count': 2}}","https://youtu.be/tWCNXUGu1eE

Te invitamos a ver nuestro capítulo  #4 de #EnTerrenoJuntoATi de la #ONGSOCIAL #ChilenosconDecisión #Metropolitana",,video,,,,
12,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-04 23:18:46,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_967973283286033,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 1}}",Nuestra #ONGSOCIAL #ChilenosconDecisión apoya a la pequeña Emily  en su proceso de lucha y mejora con su enfermedad. te invitamos a sumarte a la difusión de #FarkasAyudaEmily para conseguir el apoyo de él. Te esperamos.,{u'count': 3},photo,,,,
