,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,polarity
0,0,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNemswTnprMU9UZzNNek00T0RFMU9qRTBNVFV5TWpBeU5ERT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNemswTnprMU9UZzNNek00T0RFMU9qRTBNVFV5TWpBeU5ERT0='}}, u'data': [{u'message': u'Algo para una diseñadora industrial titulada? Cariños', u'from': {u'name': u'Camila Donoso Plaza', u'id': u'10205676675013839'}, u'id': u'394793187339095_394795987338815'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2014-11-05 20:30:40,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_394793187339095,"{u'paging': {u'cursors': {u'after': u'MTAyMDU2NzY2NzUwMTM4Mzk=', u'before': u'MTAyMDU0NTc5MTg0NzEyNDA='}}, u'data': [{u'id': u'10205457918471240', u'name': u'Carolina Ester Gonzalez Aguilera'}, {u'id': u'991147960938904', u'name': u'Connie Claverias Gonzalez'}, {u'id': u'831573436873295', u'name': u'Viviana Alejandra Jerez Garces'}, {u'id': u'905773136129480', u'name': u'Carolina Còrdova Foppiano'}, {u'id': u'633834503399051', u'name': u'Jennyfer Alfaro Figueroa'}, {u'id': u'10205676675013839', u'name': u'Camila Donoso Plaza'}], u'summary': {u'total_count': 6}}","PRACTICAS PROFESIONALES LIPIGAS
ALUMNOS BECADOS DEL B.S.E.V.
Técnico de Instituto o Universidad 100.000 
Carreras de 4 años 110.000 
Profesional Universitario 5 años 140.000

Santiago: Vicuña Mackenna 55, metro Baquedano.

Ingeniero informático e Ingeniero civil industrial.",,status,1
1,1,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-06-17 15:07:55,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_326980880786993,"{u'paging': {u'cursors': {u'after': u'MTAyMDg2MjM1MzI1NjYxNjg=', u'before': u'ODMxNTczNDM2ODczMjk1'}}, u'data': [{u'id': u'831573436873295', u'name': u'Viviana Alejandra Jerez Garces'}, {u'id': u'10207861202428190', u'name': u'Viviana González Villarroel'}, {u'id': u'10205162846614844', u'name': u'Makarena Aguilera Aragón'}, {u'id': u'10208623532566168', u'name': u'Paulina Mellado Iturra'}], u'summary': {u'total_count': 4}}","CAMPAÑA SUMA UN AMIGO
Ayúdanos a sumar Socios Colaboradores para seguir apoyando  a más estudiantes de la Región de Valparaíso, hay dos formas de hacerlo:

Si quieres participar como captador o captadora de Socios, envíanos tus datos a bancoestudiantil@tie.cl

Si quieres Socio Colaborador y comprometerte con una pequeña cuota mensual, escribenos a bancoestudiantil@tie.cl y con mucho gusto te visitaremos para que concretes tu aporte.",{u'count': 2},status,1
2,2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-05-10 16:00:00,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_314522292032852,"{u'paging': {u'cursors': {u'after': u'NjMzODM0NTAzMzk5MDUx', u'before': u'MTAyMDU0NTc5MTg0NzEyNDA='}}, u'data': [{u'id': u'10205457918471240', u'name': u'Carolina Ester Gonzalez Aguilera'}, {u'id': u'10208670449738262', u'name': u'Ruben Ugarte'}, {u'id': u'821937047935382', u'name': u'Blanca González Belmar'}, {u'id': u'10205591373840645', u'name': u'Alejandro Ayala'}, {u'id': u'10152356021718337', u'name': u'Camila De La Cruz Muñoz'}, {u'id': u'10206769010880460', u'name': u'Fernanda Vargas'}, {u'id': u'991147960938904', u'name': u'Connie Claverias Gonzalez'}, {u'id': u'10205676675013839', u'name': u'Camila Donoso Plaza'}, {u'id': u'10206661494714618', u'name': u'Alejandra Tiznado Puente'}, {u'id': u'10203525375469070', u'name': u'Alex Giovanny Balboa Cerna'}, {u'id': u'10205399379646026', u'name': u'Constanza Paulina Pérez Allende'}, {u'id': u'10153300517637633', u'name': u'Yasna Lisbeth Cortés León'}, {u'id': u'633834503399051', u'name': u'Jennyfer Alfaro Figueroa'}], u'summary': {u'total_count': 13}}","Visita de Estudiantes de  Escuela Luis Calvo Mackenna, de Santiago a Valparaíso el Sábado 10 de Mayo 2014",,photo,1
3,3,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-04-13 19:03:36,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_303960329755715,"{u'paging': {u'cursors': {u'after': u'MTAyMDU2NzY2NzUwMTM4Mzk=', u'before': u'OTUwODQwOTI0OTQyOTUx'}}, u'data': [{u'id': u'950840924942951', u'name': u'Esmeralda Suárez'}, {u'id': u'10208126008645041', u'name': u'Claudia Saldivia'}, {u'id': u'10205676675013839', u'name': u'Camila Donoso Plaza'}], u'summary': {u'total_count': 3}}","#FuerzaPorteños - mantenerse informados de los centros de acopio y enviar ayuda útil, no entregar ayuda a cualquiera.",,link,1
4,4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-04-07 18:15:50,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_301961346622280,"{u'data': [], u'summary': {u'total_count': 0}}",Atención estudiantes de Diseño Grafico que necesiten práctica ,,link,0
5,8,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-03-24 20:43:57,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_295811080570640,"{u'paging': {u'cursors': {u'after': u'MTAyMDgzNjA1MTcyNzM5NzE=', u'before': u'MTAyMDM5NDQ4MTg2MDQ3NDY='}}, u'data': [{u'id': u'10203944818604746', u'name': u'Diego Gallardo'}, {u'id': u'10208360517273971', u'name': u'Mauricio Segovia'}], u'summary': {u'total_count': 2}}","Alumnos universitarios becados del Banco de Solidaridad Estudiantil de Valparaiso el viernes 29 de marzo de 10:00 a 12:00 horas se cancela el cheque.

Sin falta retirar ese dia.",,status,0
6,10,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-03-17 18:27:30,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_293378857480529,"{u'paging': {u'cursors': {u'after': u'OTUwODQwOTI0OTQyOTUx', u'before': u'OTUwODQwOTI0OTQyOTUx'}}, u'data': [{u'id': u'950840924942951', u'name': u'Esmeralda Suárez'}], u'summary': {u'total_count': 1}}","Como en años anteriores se realizó un paseo campestre a Olmué con los alumnos universitarios, Directores y Socios del Banco,  contando con un 95% de asistencia y participación de todos los alumnos, creándose un ambiente de compañerismo entre ellos.",,photo,1
7,11,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2014-03-17 18:00:16,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_293370050814743,"{u'paging': {u'cursors': {u'after': u'OTUwODQwOTI0OTQyOTUx', u'before': u'OTUwODQwOTI0OTQyOTUx'}}, u'data': [{u'id': u'950840924942951', u'name': u'Esmeralda Suárez'}], u'summary': {u'total_count': 1}}","Como en años anteriores se realizó un paseo campestre a Olmué con los alumnos universitarios, Directores y Socios del Banco,  contando con un 95% de asistencia y participación de todos los alumnos, creándose un ambiente de compañerismo entre ellos.",,photo,1
8,14,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNamsyTkRneU1EYzNNVGN3TWpBM09qRXpPVFU0TlRBMU56ST0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNamt6TkRRek1EWXdPREEzTkRReU9qRXpPVFV3T1RNek9URT0='}}, u'data': [{u'message': u'Linda pero muy linda', u'from': {u'name': u'Elizabeth Carolina Morales Lopez', u'id': u'960972650663206'}, u'id': u'291803800971368_703462'}, {u'message': u'Muy agradecida de toda la ayuda brindada a mi hija.', u'from': {u'name': u'Lucia Plaza Pati\xf1o', u'id': u'831464376912159'}, u'id': u'291803800971368_717094'}], u'summary': {u'total_count': 2, u'order': u'ranked'}}",2014-03-13 22:59:20,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_291805034304578,"{u'paging': {u'cursors': {u'after': u'MTAyMDg1Njk1MDEzMzM2ODA=', u'before': u'OTMyNzAwMDMzNDc4MzEx'}}, u'data': [{u'id': u'932700033478311', u'name': u'Marcela Castro Cerda'}, {u'id': u'829295663789856', u'name': u'Paulinita Fuentes ʚϊɞ'}, {u'id': u'10205110565861236', u'name': u'Sebastián Andrés'}, {u'id': u'10203831173044911', u'name': u'Nicolás Eduardo'}, {u'id': u'10152414860626502', u'name': u'Maca Alvarez'}, {u'id': u'10207192854086168', u'name': u'Daniela Pérez Peralta'}, {u'id': u'10206344069063593', u'name': u'Francisca Palacios Plaza'}, {u'id': u'10154719071465200', u'name': u'Alessandra Jorquera'}, {u'id': u'10209260702300500', u'name': u'Victor Antonio Aliaga Aliaga'}, {u'id': u'10207579829433438', u'name': u'Fernanda Santis Ramìrez'}, {u'id': u'960972650663206', u'name': u'Elizabeth Carolina Morales Lopez'}, {u'id': u'10208372550781680', u'name': u'Marianela Garrido Torres'}, {u'id': u'10204581576999689', u'name': u'Carolina Contreras Orellana'}, {u'id': u'1425309234393058', u'name': u'Andre Aliaga Mendieta'}, {u'id': u'10205091050583744', u'name': u'Maria Marlene Farías Hernandez'}, {u'id': u'831464376912159', u'name': u'Lucia Plaza Patiño'}, {u'id': u'10155047790225068', u'name': u'Pamela Carranza Deramond'}, {u'id': u'10206516900467557', u'name': u'Rodrigo Andres Velasquez'}, {u'id': u'10204227712347822', u'name': u'ViViana Acevedo Barahona'}, {u'id': u'360870594074117', u'name': u'Ortiz CataLyna'}, {u'id': u'10205676675013839', u'name': u'Camila Donoso Plaza'}, {u'id': u'10208569501333680', u'name': u'Alexandra Dayan Herrera Rossi'}], u'summary': {u'total_count': 22}}","Camila Donoso, una de nuestras beneficiadas, egresada Diseño Industrial en la PUCV

""La vida me ha enseñado que con el apoyo de mi familia, con perseverancia, esfuerzo y sobre todo con fuerza de voluntad se pueden alcanzar y lograr todas nuestras metas.""

""La ayuda monetaria que recibía todos los meses me servía de sobre manera, porque con ella podía costear mis gastos de materiales que exigía en particular mi carrera,además de la ayuda monetaria también recibiamos apoyo en todo aspecto: comprensión,generosidad y ayuda de los integrantes del BSE, y aún así después de haber terminado la carrera seguimos recibiendo ayuda o teniendo contacto con la institución.""

Revisa su testimonio completo
http://www.idmed.cl/clientes/BSE/?p=417",{u'count': 1},photo,1
9,15,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZORFE0T0RFNU1qWTFNalk1T0RJd09qRTBNalUwTVRjd01qZz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZORFE0T0RFNU1qWTFNalk1T0RJd09qRTBNalUwTVRjd01qZz0='}}, u'data': [{u'message': u'linda labor', u'from': {u'name': u'Viviana Alejandra Jerez Garces', u'id': u'831573436873295'}, u'id': u'291803404304741_448819265269820'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2014-03-13 22:51:34,"{u'category': u'Education', u'name': u'Banco de Solidaridad Estudiantil de Valparaíso', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}], u'id': u'257754641042951'}",257754641042951_291803560971392,"{u'paging': {u'cursors': {u'after': u'MTAyMDM3OTIwMDQyMjM4MDE=', u'before': u'ODMxNTczNDM2ODczMjk1'}}, u'data': [{u'id': u'831573436873295', u'name': u'Viviana Alejandra Jerez Garces'}, {u'id': u'950840924942951', u'name': u'Esmeralda Suárez'}, {u'id': u'10203792004223801', u'name': u'Roxana Avalos'}], u'summary': {u'total_count': 3}}","Se realizó Campaña de Solidaridad en ayuda del Centro Laboral Agustín Turner de Valparaíso, el cual capacita a jóvenes con discapacidad intelectual, a los cuales se les enseña diferentes oficios tales como Pastelería, Costura, Tallado en Madera, Lavandería, Tejido etc., se solicitó la colaboración en herramientas y materiales para los talleres que se imparten, tendiendo un gran apoyo y entusiasta participación de algunas Logias del Valle y Socios del Banco.",,photo,1
