,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,polarity
0,0,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-22 14:22:37,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1251892084829237,"{u'paging': {u'cursors': {u'after': u'MTAxNTQwOTgwOTMzOTEzNTgZD', u'before': u'MTAyMDgzNjUwMTYwNTk3MDEZD'}}, u'data': [{u'id': u'10208365016059701', u'name': u'Carolina Alejandra Perez Jara'}, {u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'215029855504682', u'name': u'Lazarillo'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10154098093391358', u'name': u'Guillermo Antonio Castillo Palma'}], u'summary': {u'total_count': 6, u'has_liked': False, u'can_like': True}}","Hoy en el Instagram de la Corporación para Ciegos recordamos a nuestros queridos voluntarios. Síguenos tú también!

""Pertenecer a la Corporación ha sido muy gratificante porque realizo una actividad que ayuda a personas que lo necesitan.""
- Viviana Labarca, voluntaria de la Corporación para Ciegos.

https://www.instagram.com/p/BG9bjXkw5BO/?taken-by=corporacionparaciegos",,photo,0
1,1,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-21 22:02:38,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1251468054871640,"{u'paging': {u'cursors': {u'after': u'NjIzNDEyODQ3ODA4Mzk3', u'before': u'MTAyMDkxMTEzMzcwODYyNzcZD'}}, u'data': [{u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10154209098273695', u'name': u'Daj X Dos'}, {u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'623412847808397', u'name': u'Javiera Acuña Wagner'}], u'summary': {u'total_count': 5, u'has_liked': False, u'can_like': True}}","¡Los invitamos a seguirnos también en nuestro Instagram!

https://www.instagram.com/corporacionparaciegos/",,link,1
2,2,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-21 21:29:05,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1251454138206365,"{u'paging': {u'cursors': {u'after': u'MTAyMDk1NTY5ODE5MDA0NjAZD', u'before': u'MTAyMDk0OTc2ODgyMjAwMzkZD'}}, u'data': [{u'id': u'10209497688220039', u'name': u'Caroll Vera'}, {u'id': u'10210288100025420', u'name': u'Marcela Betsabe Perez Fuentealba'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10209344951238444', u'name': u'Cecilia Nuñez Caballol'}, {u'id': u'1155529601145243', u'name': u'Ana María Acuña Dericke'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10153749768199541', u'name': u'Nicole Basly Arredondo'}, {u'id': u'623412847808397', u'name': u'Javiera Acuña Wagner'}, {u'id': u'529124470593750', u'name': u'Marcela Patricia Veloso Chacon'}, {u'id': u'1546590365645518', u'name': u'Johanna Norambuena'}, {u'id': u'10206273577425238', u'name': u'Carmen Borbarán'}, {u'id': u'155642244513795', u'name': u'Laboratorio Biblioredes Rancagua'}, {u'id': u'10208645143819770', u'name': u'JC Richard'}, {u'id': u'10209556981900460', u'name': u'Johana Belmar'}], u'summary': {u'total_count': 14, u'has_liked': False, u'can_like': True}}","¡Un gran saludo para todos nuestros seguidores de Facebook!

Esperamos que hayan tenido un gran martes y que el resto de la semana, sea aun mejor!",,status,1
3,3,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-15 03:01:45,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1246950271990085,"{u'paging': {u'cursors': {u'after': u'MTAyMDk4NDYwNjUwMDc4MDIZD', u'before': u'MTAyMDgzMDYwODM2ODM1MTYZD'}}, u'data': [{u'id': u'10208306083683516', u'name': u'Paula Baraona Reyes'}, {u'id': u'10209388628531352', u'name': u'PAula Alejandra Caballeria Aguilera'}, {u'id': u'10154217258558396', u'name': u'Gina Elizabeth'}, {u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}, {u'id': u'10153749768199541', u'name': u'Nicole Basly Arredondo'}, {u'id': u'10209846065007802', u'name': u'Maca Burgos Zúñiga'}], u'summary': {u'total_count': 6, u'has_liked': False, u'can_like': True}}","En el marco de la culminación del proyecto “Literatura chilena: un espacio para todos”, iniciativa inédita desarrollada por la Corporación para Ciegos, el escritor Pablo Simonetti se reunió este miércoles 8 de junio con más de 40 personas con discapacidad visual para conversar sobre sus más destacadas obras. 

El Taller de Literatura es un espacio donde las personas ciegas han tenido la oportunidad de sumergirse en el mundo de la literatura, mediante clases carácter teórico-prácticas, que combinan el estudio del corpus literario nacional mediante audiolibros y la oportunidad de aplicar estos conocimientos –y disfrutarlos- con la visita de connotados escritores chilenos a sus clases. 

Este proyecto fue financiado gracias al Fondo Nacional de Proyectos Inclusivos, Fonapi, del Servicio Nacional de la Discapacidad. Es integrado en su totalidad por personas con discapacidad visual, y se viene desarrollando desde 2015. Tiene como finalidad fomentar la lectura y el acceso a la cultura, entregando conocimientos sobre el panorama literario nacional, mediante el análisis de distintas obras y su contexto, en formato audiolibro.

En ese marco se desarrolló la visita del connotado escritor Pablo Simonetti, autor de “Madre que estás en los cielos” y “La barrera del pudor”, quien tuvo un diálogo cercano y directo con los presentes. “Para mí que personas ciegas puedan leer mis libros es un regalo, hay una cercanía entre mi literatura y otras situaciones de discriminación como la que ellos viven. 

Encuentro que el trabajo que hicieron es evidente por la intensidad, el compromiso y la profundidad con que leyeron mi obra, con juicios que ellos se hicieron a mis personajes y eso no me pasa muy seguido, que te encuentres con una audiencia que sea conocedora con esa profundidad de tu obra”, comentó el literato.

Para este acontecimiento, los alumnos se prepararon durante semanas leyendo los principales libros del autor en formato audible, gracias a la gran biblioteca de la Corporación para Ciegos que cuenta con casi cuatro mil audiolibros 

Por su parte la Directora Ejecutiva de la Corporación para Ciegos, Javiera Acuña y encargada de la realización de este evento, habla sobre la participación del escritor en este encuentro literario. “Me pareció que de parte de Pablo fue una recepción sin igual, con una entrega absoluta, tomando en cuenta que también defiende causas sociales como las minorías sexuales y decidió unirse a la causa que nosotros trabajamos que es visibilizar el problema de la ceguera en Chile. Además, me dio mucho gusto ver a los alumnos del taller, que son todos personas con discapacidad visual, se prepararon absolutamente, estudiando la obra completa, leyendo distintos títulos y haciendo preguntas muy profundas entiendo realmente la obra de este escritor”. 

Finalmente, los profesores encargados del taller, Guillermo Castillo y Daniela Arze-Vargas, se mostraron muy orgullosos del trabajo demostrado por sus alumnos en este encuentro literario. “Ha sido una experiencia muy enriquecedora porque ellos son buenos lectores y aquellos que no lo eran tanto se han nutrido de sus compañeros. Ha sido un terreno fértil para que nosotros podamos introducir conceptos, ideas, discusiones, problemáticas y ellos siempre han estado dispuestos a aprender, pero también a enseñar y eso ha sido un proceso de ida y vuelta que ha sido súper valioso”.",,photo,0
4,4,"{u'paging': {u'cursors': {u'after': u'MQZDZD', u'before': u'MQZDZD'}}, u'data': [{u'message': u'Ray charles por siempre en mi corazón', u'from': {u'name': u'Victoria Garcia Bitterlich', u'id': u'1054570907947244'}, u'id': u'1244148378936941_1248236778528101'}], u'summary': {u'total_count': 1, u'can_comment': True, u'order': u'ranked'}}",2016-06-10 22:19:04,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1244148378936941,"{u'paging': {u'cursors': {u'after': u'MTAxNTM3ODQ2NTgxMTkyNjMZD', u'before': u'NjIzNDEyODQ3ODA4Mzk3'}}, u'data': [{u'id': u'623412847808397', u'name': u'Javiera Acuña Wagner'}, {u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'994870170582839', u'name': u'Maria Elisa Vásquez'}, {u'id': u'577070085799152', u'name': u'Bobby Beauprés'}, {u'id': u'10209567948416678', u'name': u'Paulina G Molina'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10153784658119263', u'name': u'Belén Huerta'}], u'summary': {u'total_count': 8, u'has_liked': False, u'can_like': True}}","Un día como hoy hace 12 años fallecía el destacado músico Ray Charles quien llegó a convertirse en uno de los más destacados artistas del jazz, soul y R&B en el mundo.",,photo,0
5,5,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-09 16:38:48,"{u'name': u'SIGA Chile', u'id': u'493725014014948'}",148002118551578_1243332019018577,"{u'paging': {u'cursors': {u'after': u'MTQ4MDAyMTE4NTUxNTc4', u'before': u'MTAxNTQzMzQ1ODE1NTg3MDcZD'}}, u'data': [{u'id': u'10154334581558707', u'name': u'Marcela Fuentes De Kartzow'}, {u'id': u'10209092084559800', u'name': u'Monica Andrea Maureira Martinez'}, {u'id': u'10209163802431287', u'name': u'Maria Luisa'}, {u'id': u'10154252624429756', u'name': u'Carolina Soledad Aguilera'}, {u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}], u'summary': {u'total_count': 5, u'has_liked': False, u'can_like': True}}",Revisa cómo fue el Taller Literario organizado por la Corporación para Ciegos junto a Pablo Simonetti  #Culturainclusiva,{u'count': 2},link,1
6,6,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-08 19:55:37,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1242758329075946,"{u'paging': {u'cursors': {u'after': u'MTAxNTM3NDk3NjgxOTk1NDEZD', u'before': u'MTAyMDkxMTA0MDk4NTYzODkZD'}}, u'data': [{u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}, {u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}, {u'id': u'1155529601145243', u'name': u'Ana María Acuña Dericke'}, {u'id': u'1712794455675907', u'name': u'Editha Cordova'}, {u'id': u'10153653047798087', u'name': u'Christine Stockins'}, {u'id': u'10209388628531352', u'name': u'PAula Alejandra Caballeria Aguilera'}, {u'id': u'10208065053838100', u'name': u'Ana Maria Ibarra'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10153749768199541', u'name': u'Nicole Basly Arredondo'}], u'summary': {u'total_count': 9, u'has_liked': False, u'can_like': True}}","Comenzó el coloquio literario junto a Pablo Simonetti en la Corporación para Ciegos. En este momento nuestra directora ejecutiva, Javiera Acuña, entrega unas palabras de bienvenida.",{u'count': 1},photo,1
7,7,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-08 19:43:29,"{u'name': u'Bibliometro', u'id': u'114653545219873'}",148002118551578_1242753932409719,"{u'paging': {u'cursors': {u'after': u'MTAyMDk0NDc2NzQzMjc0MDQZD', u'before': u'MTAyMDc4MzkyMzMxMTM2NDQZD'}}, u'data': [{u'id': u'10207839233113644', u'name': u'Javiera Camila Picares Matamala'}, {u'id': u'255206661520563', u'name': u'Rafael Hauva Olguin'}, {u'id': u'1636441410011101', u'name': u'Fabo Carolina'}, {u'id': u'10208687718165444', u'name': u'Daniela Altamirano'}, {u'id': u'618858534931100', u'name': u'Cristina Marcela Vega Tapia'}, {u'id': u'257982324593669', u'name': u'Cellophane Flowers'}, {u'id': u'10154088511624286', u'name': u'Lorena Alejandra González Gamboa'}, {u'id': u'10209413210264429', u'name': u'Jaime Enrique Vega Coloma'}, {u'id': u'10209741028704749', u'name': u'Javi Fuentes Herrera'}, {u'id': u'10154387205148534', u'name': u'Natalia Ruiz'}, {u'id': u'10209738384241790', u'name': u'Soledad Campusano'}, {u'id': u'10154664075472289', u'name': u'Alvaro Soffia Serrano'}, {u'id': u'10209532577892633', u'name': u'María Mega'}, {u'id': u'10210520451037137', u'name': u'Caro A Quintero'}, {u'id': u'10208461407069225', u'name': u'Leonardo Palma'}, {u'id': u'10208883074375168', u'name': u'Carolina Muñoz Sazo'}, {u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}, {u'id': u'114653545219873', u'name': u'Bibliometro'}, {u'id': u'158926311188321', u'name': u'Connie Francisca'}, {u'id': u'10154152104158820', u'name': u'Fernando Danilo'}, {u'id': u'10209447674327404', u'name': u'Isaberu Chan'}], u'summary': {u'total_count': 21, u'has_liked': False, u'can_like': True}}","Este Miércoles, a contar de las 15.30, Pablo Simonetti realizará un encuentro literario con sus seguidores no videntes en la Corporación para Ciegos, ubicada en Obispo Donoso 381, Providencia, instancia que se enmarca dentro de un ciclo de trabajo de autores hacia dicho segmento de la población

Ayudenos y comente con sus conocidos que puedan presentar este tipo de discapacidad, que Bibliometro en conjunto con la mencionada Corporación, han puesto a disposición del público, una serie de Audiolibros, para hacer más fácil el acceso a la literatura a este grupo de personas.",{u'count': 1},link,1
8,8,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-07 19:10:42,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1242039869147792,"{u'paging': {u'cursors': {u'after': u'MTAyMDkxMTEzMzcwODYyNzcZD', u'before': u'MTAyMDkxMTA0MDk4NTYzODkZD'}}, u'data': [{u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}, {u'id': u'1618402118408475', u'name': u'Juan Carlos Rojas Gutiérrez'}, {u'id': u'10153749768199541', u'name': u'Nicole Basly Arredondo'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}], u'summary': {u'total_count': 5, u'has_liked': False, u'can_like': True}}",¡Sigue nuestro taller de pintura en la Corporación para Ciegos! Estamos preparando maravillosas obras de arte para exposiciones venideras.,{u'count': 1},photo,1
9,9,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-07 17:23:57,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1241992939152485,"{u'paging': {u'cursors': {u'after': u'MTAyMDk1NTY5ODE5MDA0NjAZD', u'before': u'MTAxNTQwNjMwOTM4MzkwNzAZD'}}, u'data': [{u'id': u'10154063093839070', u'name': u'Tania Moreno Novoa'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'155642244513795', u'name': u'Laboratorio Biblioredes Rancagua'}, {u'id': u'10209556981900460', u'name': u'Johana Belmar'}], u'summary': {u'total_count': 4, u'has_liked': False, u'can_like': True}}","La obra más destacada del escritor Pablo Simonetti, “Madre que estás en los cielos”, habla de cuando Julia Bartolini, mujer de 77 años, es diagnóstica con un cáncer terminal, toma la decisión de pasar sus últimos días escribiendo sus memorias. Los recuerdos le entregan la fortaleza necesaria para enfrentar su enfermedad. Julia evoca sus temores y rencores no resueltos desde su infancia"", De esta y otras obras del escritor se hablarán mañana en el coloquio literario en la Corporación para Ciegos desde las 15:30 horas. Todos invitados,",{u'count': 1},photo,0
10,12,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-02 21:59:02,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1238953536123092,"{u'paging': {u'cursors': {u'after': u'MTAyMDkzNjM4MzQ0NzExODgZD', u'before': u'MTc0MjM3MzE2MjY0ODUyMgZDZD'}}, u'data': [{u'id': u'1742373162648522', u'name': u'Alejandra Nahmias'}, {u'id': u'1717092138544990', u'name': u'Roberto Cortes'}, {u'id': u'10210288100025420', u'name': u'Marcela Betsabe Perez Fuentealba'}, {u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}, {u'id': u'10153796252496865', u'name': u'Tiare Morales Echeverría'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10209556981900460', u'name': u'Johana Belmar'}, {u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}, {u'id': u'10154129310667370', u'name': u'Oscar Alejandro Mancilla'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10154227784820929', u'name': u'Karina León'}, {u'id': u'10209363834471188', u'name': u'Fran Álvarez Cabezas'}], u'summary': {u'total_count': 12, u'has_liked': False, u'can_like': True}}","Estimada Comunidad de la Corporación para Ciegos. 

En el marco del taller denominado “Literatura chilena, un espacio para todos”, desarrollado por la Corporación para Ciegos con el apoyo del Servicio Nacional de la Discapacidad, se llevará a cabo un interesante coloquio literario junto al escritor chileno, Pablo Simonetti, autor de reconocidas obras, tales como “Madre que estás en los cielos”, “La barrera del pudor” y “La razón de los amantes”.

En esta oportunidad, los estudiantes de literatura y aquellos seguidores del escritor que nos visiten, tendrán la posibilidad única de participar en un diálogo cercano y directo con Pablo Simonetti sobre sus escritos, su experiencia, proceso creativo y contexto, entre tantos otros temas que surgirán durante la tertulia.

Posteriormente tendremos una pequeña recepción en el hall de la Sala Cultura.

Fecha: miércoles, 8 de junio de 2016.

Hora:  15:30 horas

Lugar: Corporación para Ciegos, primer piso.

Solicitamos a cada inscrito pedir a Huguette Cavieres (hcavieres@ciegos.cl), el libro de Simonetti que más les plazca para leer.",{u'count': 2},photo,1
11,13,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-06-01 22:06:01,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1238366529515126,"{u'paging': {u'cursors': {u'after': u'MTAyMDkzMTc4NTI4NDQ2MzMZD', u'before': u'NTg3ODMxODI0NzE1MjQ4'}}, u'data': [{u'id': u'587831824715248', u'name': u'Corinila Redelsolar'}, {u'id': u'1642774429323501', u'name': u'Biblioteca Central Para Ciegos I'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10209448159509847', u'name': u'C.l. Sol'}, {u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}, {u'id': u'10153404052656854', u'name': u'Myriam Lillo Rodriguez'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}], u'summary': {u'total_count': 7, u'has_liked': False, u'can_like': True}}","La Biblioteca Central Para Ciegos I y el Fondo de Educación Previsional los invitan a participar del proyecto “Educación Previsional Inclusiva. El objetivo es orientar e informar a las personas en situación de discapacidad sobre el Sistema Previsional Chileno. Se realizarán 4 charlas educativas en el Edificio Telefónica en Bustamante 10, los días, Miércoles 1, Viernes 3, Jueves 9 y viernes 10, durante el mes de Junio, de las 15:00 a las 17:00 horas. La primera etapa, estará dirigida a las personas en situación de discapacidad visual y actores relacionados y familiares, la segunda y tercera etapa, estarán dirigida a las personas en situación de discapacidad auditiva y física.
Se ruega confirmar su participación al correo, 
ecaballeria@gmail.com al fono 22356891",{u'count': 1},photo,1
12,14,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-05-31 17:51:19,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1237636026254843,"{u'paging': {u'cursors': {u'after': u'MTAyMDkzMTc4NTI4NDQ2MzMZD', u'before': u'MTQ4MDAyMTE4NTUxNTc4'}}, u'data': [{u'id': u'148002118551578', u'name': u'Corporación para Ciegos'}, {u'id': u'577070085799152', u'name': u'Bobby Beauprés'}, {u'id': u'10154209098273695', u'name': u'Daj X Dos'}, {u'id': u'10209388628531352', u'name': u'PAula Alejandra Caballeria Aguilera'}, {u'id': u'1712224752350993', u'name': u'Javiera Zamorano'}, {u'id': u'155642244513795', u'name': u'Laboratorio Biblioredes Rancagua'}, {u'id': u'876159482493200', u'name': u'Macarena Figueroa Del Real'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}], u'summary': {u'total_count': 9, u'has_liked': False, u'can_like': True}}","El alumno Juan Carlos Rojas, junto a Nuestra destacada profesora de piano, Cristina Álvarez nos muestran un poco de las clases que se imparten en la Corporación para Ciegos de esta disciplina. Los invitamos a reproducir este vídeo.",{u'count': 2},video,0
13,15,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-05-30 17:51:11,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1237013136317132,"{u'paging': {u'cursors': {u'after': u'MTAyMDkzMTc4NTI4NDQ2MzMZD', u'before': u'NjA1MzU1MTQ5NjE0NDEw'}}, u'data': [{u'id': u'605355149614410', u'name': u'Fabiola Delgado'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}], u'summary': {u'total_count': 2, u'has_liked': False, u'can_like': True}}","¿No sabes cómo tratar a una persona con discapacidad?, Revisa el siguiente vídeo creado por Senadis y Woki Toki que te enseñará la mejor manera de hacerlo. #Inclusión",{u'count': 5},video,0
14,16,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-05-27 19:23:03,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1235208526497593,"{u'paging': {u'cursors': {u'after': u'MTAyMDkxMTA0MDk4NTYzODkZD', u'before': u'MTAyMDkzMTc4NTI4NDQ2MzMZD'}}, u'data': [{u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}], u'summary': {u'total_count': 3, u'has_liked': False, u'can_like': True}}","Los invitamos a leer la columna de opinión de Mario Parra, creador de la Expo ""Tocan los ojos"", titulada ""Un indiferente menos"". Sigue el siguiente link http://bit.ly/1UiCAl4 #tocanlosojos",{u'count': 1},photo,1
15,17,"{u'paging': {u'cursors': {u'after': u'MQZDZD', u'before': u'MQZDZD'}}, u'data': [{u'message': u'video videooo de este artista gigante!', u'from': {u'name': u'Guillermo Antonio Castillo Palma', u'id': u'10154098093391358'}, u'id': u'1234604733224639_1234661239885655'}], u'summary': {u'total_count': 1, u'can_comment': True, u'order': u'ranked'}}",2016-05-26 19:08:15,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1234604733224639,"{u'paging': {u'cursors': {u'after': u'MTAyMDkxMTA0MDk4NTYzODkZD', u'before': u'MTAyMDkxNDcxMzA0NTQwMTcZD'}}, u'data': [{u'id': u'10209147130454017', u'name': u'Maricarmen Bulboa Cortés'}, {u'id': u'10153653047798087', u'name': u'Christine Stockins'}, {u'id': u'10153404052656854', u'name': u'Myriam Lillo Rodriguez'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10153749768199541', u'name': u'Nicole Basly Arredondo'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10209110409856389', u'name': u'Diana Camacho Briceño'}], u'summary': {u'total_count': 7, u'has_liked': False, u'can_like': True}}","El destacado usuario de la Corporación para Ciegos, Emanuel Ortíz, quien desde hace 6 meses pertenece al Ballet Folclórico de Chile #Bafochi, nos deleitó con su voz en un evento de la #Corporacionparaciegos. Conoce más de su historia en una entrevista realizada hace unas semanas en el siguiente link http://bit.ly/1TLT5Yb",{u'count': 1},photo,1
16,18,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-05-25 18:22:01,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1233939403291172,"{u'paging': {u'cursors': {u'after': u'MTAyMDkxMTEzMzcwODYyNzcZD', u'before': u'MTAxNTM2NTMwNDc3OTgwODcZD'}}, u'data': [{u'id': u'10153653047798087', u'name': u'Christine Stockins'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}], u'summary': {u'total_count': 3, u'has_liked': False, u'can_like': True}}","Recuerda que hasta el jueves 26 de mayo puedes disfrutar de la Expo Tocan los Ojos en la Sala de Arte de la CCU ubicada en Vitacura, 2670. Santiago. Compartimos con ustedes algunas fotos de su lanzamiento. http://bit.ly/1WTNDFm",{u'count': 1},link,1
17,19,"{u'data': [], u'summary': {u'total_count': 0, u'can_comment': True, u'order': u'ranked'}}",2016-05-24 18:31:33,"{u'name': u'Corporación para Ciegos', u'id': u'148002118551578'}",148002118551578_1233289926689453,"{u'paging': {u'cursors': {u'after': u'MTAyMDkzMTc4NTI4NDQ2MzMZD', u'before': u'MTAyMDk2NTkyMzg2OTc4NDgZD'}}, u'data': [{u'id': u'10209659238697848', u'name': u'María Paz Jorquera'}, {u'id': u'10209111337086277', u'name': u'Jessy Romero Viza'}, {u'id': u'10209317852844633', u'name': u'Juan Cristóbal Vial'}], u'summary': {u'total_count': 3, u'has_liked': False, u'can_like': True}}","El profesor Juan David Arroyo, tocando los acordes del nuevo repertorio musical del coro CPC para este 2016.",,photo,1
18,20,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEkwTmprMU5qZA3lPRFkxTmpBNU5qb3hORFkxT1RVNU9ETTUZD', u'before': u'WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEkwTmprMU5qZA3lPRFkxTmpBNU5qb3hORFkxT1RVNU9ETTUZD'}}, u'data': [{u'message': u'Hola! así es: escríbenos a info@ciegos.cl saludos', u'from': {u'name': u'Corporaci\xf3n para Ciegos', u'id': u'148002118551578'}, u'id': u'1232794123405700_1246956828656096'}], u'summary': {u'total_count': 1, u'can_comment': True, u'order': u'chronological'}}",2016-05-23 23:52:00,"{u'name': u'Editha Cordova', u'id': u'1712794455675907'}",148002118551578_1232794123405700,"{u'data': [], u'summary': {u'total_count': 0, u'has_liked': False, u'can_like': True}}","hola amigos, una consulta hay algun lugar donde se reúnan personas de baja visión, saludos",,status,0
