,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,polarity
0,0,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-02-02 17:11:33,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_815951085218107,"{u'paging': {u'cursors': {u'after': u'MTA5MTM3NDM1NzU0NDU5NA==', u'before': u'MTA5MTM3NDM1NzU0NDU5NA=='}}, u'data': [{u'id': u'1091374357544594', u'name': u'Rayen Chirimoya'}], u'summary': {u'total_count': 1}}","Con talleres de baby fútbol los niños de Melipilla son visitados por el Canal Deportivo CDF y también por el ex defensa de Colo Colo, Luis Mena...

Cerca de 30 niños, hijos e hijas de los pobladores de la Villa Bicentenario Jazmines I y II de la comuna de Melipilla, participaron de los Talleres de baby-futbol, instancia gestionada por los vecinos al alero del proyecto “Vida en Comunidad”, de FOSIS, e implementado por la Corporación Solidaridad y Desarrollo (SODEM).

Según señalaron los organizadores de los talleres deportivos, el propósito es “fomentar la actividad saludable y la identificación con el sector, para que así puedan socializar entre vecinos”.

En esta ocasión, los encargados de la actividad, el Club Pitch-Ball FC, gestionaron el acompañamiento del canal de televisión deportivo CDF,  quienes invitaron al ex defensa colocolino Luis Mena, el cual compartió fotografías y autógrafos con pequeños y adultos. Además, del canal regalaron a los niños un mini balón y artículos deportivos.

Vanesa Osses, monitora por parte de la comunidad, expresó que esto “ayuda a los padres para que puedan venir con los niños a jugar. Nos juntamos todos los miércoles y tratamos de que sea un buen equipo, para que vengan a participar en forma entusiasta”.

“Este taller se prolongará hasta fines de febrero, pero queremos que esto siga de por vida en el condominio, y que no sea solamente ahora… queremos que se proyecte”, enfatizó la dirigenta social.

El profesor deportivo, Francisco Aranguiz, a cargo de la Escuelita de Verano Celeste, de Pitch-Ball, contó que esta iniciativa viene a entregar “una oportunidad para acercar a la gente más al fútbol, a algo más formativo, no tan competitivo, a algo recreativo…nuestra misión es formar gente para que se entretenga durante el verano y las vacaciones y salgan de las casas para hacer más actividad física y no se lleven pegados en el computador y en el play station; que vengan a hacer actividades físicas al aire libre y lo disfruten”.

En ese sentido, Oscar Rocco Carvajal, Presidente del Comité de Vecinos Bicentenario los Jazmines I, enfatizó expresó sentirse  “muy agradecido de estos proyectos, por la sencilla razón de que con esto vamos sacando a los niños adelante para que no entren en una mala actuación como la droga, alcoholismo o la delincuencia; ellos son el futuro de este sector. Así que a través de estos talleres van generando lo que es la disciplina”.

Por tanto, las 288 familias que viven en este sector nor-poniente de Melipilla solicitan a sus dirigencias hacer más actividades con los niños y  jóvenes del sector, y aunque carecen de espacios adecuados para el desarrollo de los talleres, “han levantado la motivación por implementar un club deportivo que los represente”, declaró Isaac  Figueroa, agente de SODEM en terreno.",,photo,1
1,1,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-28 21:04:33,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_798147093665173,"{u'data': [], u'summary': {u'total_count': 0}}",Certificación de Programa: “Yo Emprendo Semilla Avanzado 2015” [FOSIS – SODEM] Feria de productos artesanales y otros servicios en Provincia de Talagante...,,link,1
2,2,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOems0T1RrNE9EZ3pOVGM1T1RrME9qRTBOVEUwT0RjME16Yz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOems0TVRrek1UWXdNekkzTWpNek9qRTBOVEV6TkRRM09UST0='}}, u'data': [{u'message': u'Felicitaciones al equipo por el trabajo realizado y por los logros, aunque para el Estado ni siquiera existimos. Lo importante es el reconocimiento de las familias con las cuales trabajamos. Que este esfuerzo sea un estimulo para seguir haciendo las cosas bien. Un abrazo', u'from': {u'name': u'Patty Silva Gonzalez', u'id': u'1048265375212494'}, u'id': u'798103370336212_798193160327233'}, {u'message': u'Gracias Patty Silva Gonzalez por tus palabras de aliento... y como equipo de SODEM seguiremos haciendo lo que corresponde en el trabajo social y en cada uno de los territorios intervenidos! ;)', u'from': {u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}, u'id': u'798103370336212_798998883579994'}], u'summary': {u'total_count': 2, u'order': u'chronological'}}",2015-12-28 18:47:07,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_798103370336212,"{u'paging': {u'cursors': {u'after': u'MTAyMDgwNDkwNjIwMDE2Njc=', u'before': u'MTAyMDU4OTA5MDU2ODc0NTA='}}, u'data': [{u'id': u'10205890905687450', u'name': u'Mariela Carrasco Saavedra'}, {u'id': u'10208049062001667', u'name': u'Arnaldo Oviedo'}], u'summary': {u'total_count': 2}}","Educación financiera escolar en 4 comunas 
La ONG SODEM ejecutó Torneo Regional de Karukinka, un Programa Piloto de Educación Financiera para Niños y Niñas de enseñanza básica

A través del Fondo de Solidaridad e Inversión Social (FOSIS) instancia dependiente del Ministerio de Desarrollo Social desarrollaron el Programa Piloto Educación Financiera (2015), el cual fue   ejecutado por la Corporación SODEM apuntado para alumnos de 5to y 6to básico de 4 comunas diferentes de la Región Metropolitana: Escuela República de Filipinas E 586, Lo Espejo; Colegio Padre Hurtado, Puente Alto; Escuela Gil de Castro, Quinta Normal; Escuela G-352 Plazuela de Polpaico, Til Til...",{u'count': 1},link,0
3,3,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-09 18:27:11,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_787631808050035,"{u'data': [], u'summary': {u'total_count': 0}}",Recuerden mañana a las 9:30!!!,,photo,1
4,4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-09 15:00:00,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_798094850337064,"{u'data': [], u'summary': {u'total_count': 0}}","La ONG SODEM ejecutó Torneo Regional de Karukinka, un Programa Piloto de Educación Financiera para Niños y Niñas de enseñanza básica   

A través del Fondo de Solidaridad e Inversión Social (FOSIS) instancia dependiente del Ministerio de Desarrollo Social desarrollaron el Programa Piloto Educación Financiera (2015), el cual fue   ejecutado por la Corporación SODEM apuntado para alumnos de 5to y 6to básico de 4 comunas diferentes de la Región Metropolitana: Escuela República de Filipinas E 586, Lo Espejo; Colegio Padre Hurtado, Puente Alto; Escuela Gil de Castro, Quinta Normal; Escuela G-352 Plazuela de Polpaico, Til Til. 

El lugar del encuentro fue la Biblioteca de Santiago, en Sala Multiuso (Zócalo Norte) en Matucana 151, comuna de Santiago. 

Por su parte Paula García, agende de la ONG SODEM, quien estuvo a cargo del focus group con los 16 estudiantes, que participaron de este torneo expresó que, “la  gracia de haber hecho este focus group justo antes del torneo era tratar de visibilizar varios aspectos del desarrollo del proyecto, pero principalmente escuchar la voz de los niños y de las niñas, por lo que los alumnos estuvieron vinculados a trabajar en equipo, a jugar, a establecer reglas, a generar sistemas solidarios para poder tomar decisiones”. 

García apuntó además que “el objetivo fue relevar el aprendizaje, conceptos claves, y lo más imprescindible, fue reconocer las relaciones humanas con sus compañeros, tomando en cuenta que ellos tuvieron que generar instancias organizativas entre ellos”.

Para Constanza Muñoz, quien participó de forma muy entusiasta del Torneo de Karukinka, y que cursa sexto básico en el Colegio Padre Hurtado de Puente Alto, destacó que ella lo pasó “súper bien porque aprendí mucho del juego y los compañeros me cayeron muy bien (…) aprendí a ahorrar y ahora no es como antes, que me gastaba toda la plata al tiro”.

Otro alumno que también jugó a la educación financiera para niños fue, Diego Morales, del sexto básico “El juego es bueno para desarrollar mejor la mente y explayarse mejor. Fue muy entretenido porque conocimos a otros amigos… y lo que más me llamó la atención fue la historia que hay detrás fue interesante y me sorprendió mucho”.

Angélica Tapia es apoderada del Colegio Plazuela Polpaico de la comuna de Til Til, y también dio su opinión, “me parece estupendo que los niños sepan de esto porque en el futuro ellos sabrán cómo ahorrar. Es buena la iniciativa y  creo que será de utilidad para su juventud futura”.

El profesor de historia, Andrés Alarcón, de la Escuela Básica, Gil de Castro de la comuna Quinta Normal dijo respecto al juego financiero que “es muy innovador y llamativo para los chiquillos, además les sirve para enfrentarse con la realidad que ellos viven, con el tema del ahorro para poder conseguir metas. Para conocer conceptos nuevos y motivadores y que lo hagan a través de forma lúdica… es una complementación para su educación. Podrían seguir replicando estos talleres para el próximo año”.

En tanto, para Josué Cubillos, director de la Escuela Gil de Castro de Quinta Normal explicó que “cuando nos ofrecieron participar de esto dije inmediatamente que sí, ni siquiera conversé con los profesores porque creo que es importante que los muchachos aprendan desde ya lo que es la educación financiera, que es el ahorro más que el gasto; entonces generando en ellos podemos tener chiquillos que no estén sobre endeudados cuando sean adultos”.

Por último, Gonzalo Alfaro, agente del Desarrollo Local de FOSIS en el Área de Emprendimiento señaló que él está a cargo de la supervisión de que se ejecute este programa en la región, “este es un programa piloto que tenemos de educación financiera dirigido a niños y niñas, entre 5to y 6to básico, que tiene como objetivo básicamente fomentar en los chicos prácticas de ahorro y aprendan a manejar conceptos como inversión del dinero y cómo manejarlo. Esto se está haciendo a nivel nacional y estamos en 5 regiones del país”.",,photo,1
5,5,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-05 18:58:05,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_785823161564233,"{u'data': [], u'summary': {u'total_count': 0}}","Seminario; Cambio Constitucional “Desafío para la Ciudadanía”

El Consorcio por los Derechos Ciudadanos (C.P.D.C) tiene el agrado de invitar a usted a participar del Seminario el día jueves 10 de diciembre de 2015, a las 9:30 de la mañana en el Salón Auditorio del Profesor, ubicado en Avda. Vicuña Mackenna 0383-A, Melipilla.",,photo,0
6,6,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-05 18:53:19,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_785822258230990,"{u'data': [], u'summary': {u'total_count': 0}}","El Consorcio por los Derechos Ciudadanos (C.P.D.C) tiene el agrado de invitar a usted a participar del Seminario el día jueves 10 de diciembre de 2015, a las 9:30 de la mañana en el Salón Auditorio del Profesor, ubicado en Avda. Vicuña Mackenna 0383-A, Melipilla.",{u'count': 3},photo,0
7,7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-04 15:00:00,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_798142490332300,"{u'data': [], u'summary': {u'total_count': 0}}","Certificación de Programa: “Yo Emprendo Semilla Avanzado 2015”  

El Fondo de Solidaridad e Inversión Social (FOSIS) en un trabajo conjunto con la Corporación SODEM beneficiaron en total a 89 personas micro emprendedores en la Provincia de Talagante.
 
Las beneficiarias del programa  “Yo Emprendo Semilla Avanzado 2015” de FOSIS recibieron 300 mil pesos cada una, quienes además instalaron sus stands en la Plaza de Talagante. 

En su mayoría eran mujeres emprendedoras provenientes de 5 comunas diferentes (Talagante, Peñaflor, Padre Hurtado, Isla de Maipo y el Monte) cuyo presupuesto entregado ascendió a los 55 millones de pesos en total.    

María Eugenia Dabadie, Agente de Desarrollo Local (ADL) del programa de empleabilidad del FOSIS, quien está a cargo de la provincia de Talagante explicó que  “la actividad de consiste en dos cosas: la primera es una feria de comercialización de emprendedores, en la cual están participando personas que ganaron un segundo programa del proyecto FOSIS. Y la segunda instancia, es la certificación de ellas mismas por estar participando en el “Programa Yo emprendo Semilla Avanzado”.

Para Constanza Gutiérrez, que es una de las beneficiarias de este programa de FOSIS dice que “yo me dedico a la fabricación de jabones y velas artesanales desde el año 2012, que fue cuando me gané la primera vez el beneficio FOSIS… bueno esta iniciativa  me parece muy buena porque es un impulso para gente. Yo en lo personal tengo tres hijos y me ha ayudado demasiado a salir a delante con ellos. De a poco logré desarrollar el proyecto que tenía en mente”. 

Marcela Machuca, también es emprendedora y nos cuenta que “primero empezó  con un hornito y gracias a eso comencé a tirar para arriba y ahora soy una pyme. Tengo un servicio de banquetería y un pequeño almacén que estoy emprendiendo, pero igual sigo con mi pan amasado todos los días además de empanadas y muchas cositas más. Me parece “bacán” que sigan ayudando a quien lo necesita de verdad para poder emprender”.

María Fredes tiene un puesto en la feria de ropa femenina junto a su hija, y cuenta que “llevo 7 años en este rubro y para mí ha sido muy bueno acceder a este beneficio porque me ha ayudado para poder capacitarme como microempresaria. En general me ha ido muy bien en este rubro. Ya me he ganado tres veces el beneficio de FOSIS y sólo gracias a mi esfuerzo”            

Otro caso es el de Marisol Rivera, quien trabaja en el diseño y artesanía de joyas. La artesana cuenta que “trabajo joyas de plata, y hago anillos, aros, pulseras, cadenas, collares, etc. Actualmente estoy trabajando con un joyero-artesano. Ya me he ganado 3 proyectos y he podido avanzar con mi pequeña empresa”.
En esa línea, Ximena Carrasco es artesana en tejidos a crochet, palillos y telar, y confiesa que “yo llevo postulando a estos proyectos en tres procesos con FOSIS quienes me han dado la opción de aumentar mi capacidad de creatividad, de seguridad y de emprendimiento”. 

Finalmente, el perfil de las usuarias beneficiadas es de personas que han continuado su emprendimiento en forma perseverante, a quienes se les hicieron talleres de capacitación, los cuales estuvieron enfocados a la gestión, comercialización, marketing, importación de productos, educación financiera, alfabetización digital, taller de redes, entre otros.",,photo,1
8,8,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-02 14:35:04,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_784440231702526,"{u'data': [], u'summary': {u'total_count': 0}}","[Plan de Formación Ciudadana de SODEM]

San Pedro de Melipilla, 26 nov. | Muy entusiastas recibieron sus certificados como participantes de la Escuela de Formación Cívica diferentes alumnos de enseñanza media del Liceo de San Pedro de Melipilla, quienes fueron galardonados por el equipo de la ONG SODEM debido a su constancia en dichos talleres. 

De esta manera La Corporación Solidaridad y Desarrollo (SODEM) vendría completando un ciclo en lo que respecta el semestre del presente año 2015, y además es un hito ya que es la primera experiencia para el equipo. Según las palabras del profesional y agente de la ONG, Isaac Figueroa: “nosotros elegimos como estrategia vincularnos a liceos… bueno, llegamos a un acuerdo con la encargada de la enseñanza media el año pasado pero por a b c motivo no lo pudimos realizar y ahora estamos materializando esta escuela”.  

El enfoque de esta Escuela de Formación Cívica para Jóvenes apunta a, “no tan solo dar información a los estudiantes en las capacitaciones, sino que también a formar habilidades”, nos explicó Figueroa. Y añadió además que ellos vieron conceptos tan duros como “Estado y democracia.  E hicieron talleres  para aprender a escuchar y a formular preguntas, de tal modo que ellos desarrollen el convivir, porque creemos que la democracia tiene que ver con eso, que cada quien encuentre su espacio y para eso hay que saber dialogar”.         

Por su parte, uno de los actores importantes en la gestación de esta Escuela de Formación Ciudadana fue William Lopez, del primero medio B del Liceo de San Pedro. Él dijo que “fueron súper divertido los talleres. Nos enseñaron varias cosas sobre ser líder. Yo no soy de muchas palabras pero uno de los elementos que rescato fue que  nos apoyaron harto en el liderazgo hacia el curso. Además me dejó hartos valores como la libertad de expresión, que siempre tenemos que dar nuestra opinión ante el mundo; y el tema de trabajar en equipo sobre todo para ayudar a los demás”.

Para Daniel Gallo, alumno de cuarto medio A señaló que fue muy significativo ya que él es Presidente del Centro de Alumnos. “Este taller fue una experiencia muy bonita. Nos sirvió mucho ya que los chiquillos tienen un gran potencial, fuerza y personalidad para seguir adelante. Y lo que rescato de esta escuela es que al no ser gubernamental ve de otra forma el tema democrático”.

Noelia Galleguillos, de segundo medio B dijo que, “estos talleres me parecieron interesantes y prácticos, ya que postulamos como Lista B para el Centro de Alumnos-lamentablemente no salimos electos-  pero igual nos esforzamos para que nos eligieran. Y esto nos ayudó bastante para nuestro desarrollo personal, y para cuando salgamos de cuarto medio para aprender a apoyar a nuestra comunidad”.   

Edith Jerez, alumna de segundo medio D explicó que, “fueron entretenidos los talleres, aprendí harto a trabajar en quipo y a tomar decisiones democráticamente”.  Ella agrega además que esta enseñanza es muy posible que la utilice a futuro “de tal  forma en que podré representar a mi comuna”.    

Rosa Leiva, Encargada del Anexo de Enseñanza Media del Liceo San Pedro destacó que la importancia de la participación de los jóvenes en las distintas organizaciones a nivel nacional, regional y provincial y comunal, y dijo que “es sumamente importante el que desde la enseñanza media, desde la niñez se comience con este tipo de participación para que el día de mañana tengamos personas responsables, participativas, con un rol activo dentro de la sociedad para tomar decisiones para que así esta sociedad cambie y se convierta en una sociedad justa y más armónica”.     

Susana Jiménez, Encargada de Biblioteca de la Enseñanza Media expresó que, “para ser sincera primero noté a los chicos bastante tímidos al representar sus opiniones. Costaba muchos llegar a ellos para que lograran dar una opinión frente a algo, pero en el transcurso de los talleres se fueron soltando más y fueron enganchando. Entonces fue grato ver a los chicos que uno piensa, que no tienen una opinión clara de algunas cosas, pero ellos están ahora están muy bien encaminados en las cosas que quieren logran... fue bonito e interesante ver a los chiquillos empoderados”.         

Juan Carlos Núñez, Secretario Municipal de San Pedro, dijo que, “esto es importante porque educa a los jóvenes específicamente en los derechos que tienen como ciudadanos; y para que sepan decidir por sí mismos y no se dejen llevar por terceras personas, que los pueden inducir a un error. Para poder declamar tengo que conocer bien cuáles son mis derechos y deberes. Y seguir todos los procesos de cómo se pueden hacer, a través de qué medios… ser dirigente y poder conducir una organización para lograr sus objetivos”.",,photo,1
9,9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-11-28 13:37:46,"{u'category': u'Community', u'name': u'Sodem', u'id': u'743167589163124'}",743167589163124_782792961867253,"{u'paging': {u'cursors': {u'after': u'MTA5MTM3NDM1NzU0NDU5NA==', u'before': u'MTA5MTM3NDM1NzU0NDU5NA=='}}, u'data': [{u'id': u'1091374357544594', u'name': u'Rayen Chirimoya'}], u'summary': {u'total_count': 1}}","´Planes de gestión pública de salud´ 

Comité Local de CESFAM Dr. Francisco Boris Soler más equipo profesional de salud y ONG SODEM desarrollan reunión ampliada con la comunidad usuaria

Melipilla, 19 noviembre de 2015. Cerca de 50 dirigencias sociales circunscritas a la atención del  CESFAM Dr. Francisco Boris Soler se  reunieron en el Centro Día del Adulto Mayor donde participaron de una jornada ampliada, la cual se enmarcó en presentar a los y las asistentes la relación entre los planes de gestión pública en salud y su vínculo con la comunidad usuaria. 

La exposición estuvo a cargo de profesionales de la salud de dicho centro y de ONG SODEM. A la cita asistió como invitada la Gobernadora Provincial, Cristina Soto Mesina, quien dirigió unas palabras de compromiso a la audiencia y respondió a algunas inquietudes. 

En este sentido, Ximena Carrasco Hernández, encargada de Participación Social de este centro de salud pública expresó “es un compromiso que tiene que ver con mantenernos permanentemente vinculados con la comunidad y entregar información,  estar a su disposición y darnos a conocer para resolver sus inquietudes y sus necesidades, por lo tanto, la  actividad se enmarca en el Plan de Trabajo del Comité Local Salud año 2015, que también nos va a dejar insumos para realizar la programación 2016 del mismo Comité.

Por su parte, Hilda Martínez Berrios, Presidenta del Comité Local de Salud del CESFAM señaló “cada  vez que nosotros nos reunimos en estos ampliados, son todas importantes estas instancias para nosotros, ya que en cada una de ellas se tocan diferentes temas de salud, por lo tanto, tienen una importancia muy relevante para nuestros socios y usuarios. Estar en contacto y en conocimiento de todo lo que sea en beneficio de ellos”.

“Nosotros como dirigentes a veces venimos a darnos nuestras vueltas como observadores para ver cómo se atiende al usuario, no sólo que nos cuenten, sino que nosotros también visualicemos el tema y observamos una buena atención hacia el usuario. Y si de repente a alguien no se le atendió bien para eso están las oficinas de la OIRS en la cual hay documentos que pueden llenar y hacer las reclamaciones respectivas”, redondeó la dirigente melipillana.

Para Claudia Vargas, Matrona del CESFAM Dr. Francisco Boris Soler, nos contó de la importancia de estar informado, y para qué sirve este centro de salud, y dijo que ellos “están enfocados al trabajo con familias, y esto significa que atendemos a todo el ciclo vital, o sea, a las familias por completo; conocemos a los niños, a los abuelos, a todos los integrantes de la familia, y muchas de las problemáticas que tienen son muy puntuales”.

La profesional de la salud nos confiesa de la estrategia para acercar a la comunidad usuaria de Melipilla al CESFAM y dijo que, “nosotros realizamos distintas actividades, visitas domiciliarias, hay trabajos con equipos, pero hay algo que es súper importante, puesto que se realizan consejerías para las familias, o sea, si hay alguna familia que tenga un problema; cómo la podemos orientar, se busca un equipo de trabajo y se asocian tres profesionales, y se realiza una gran conversación con ellos, y eso es una consejería. Se les da un tiempo adecuado y ellos logran en una o dos sesiones superar esta crisis familiar”.

En esa misma línea de trabajo, Juan José Rojas, Nutricionista de este CESFAM señaló   ""destacar la participación comunitaria en esta jornada y reforzar la idea de que la participación se sustenta en el protagonismo de la comunidad y en la medida en que ésta asuma que podamos mejorar los resultados en salud, generando personas y comunidades más empoderadas que vayan asumiendo un rol protagónico en la construcción de su bienestar"".

Y desde la ONG SODEM manifiestan “continuaremos colaborando en generar y apoyar espacios de trabajo en función de fortalecer a la sociedad civil para que pueda adquirir mayor protagonismo, ya sea en su inclusión para la elaboración y ejecución de programas que les afecten, más profundizar en su responsabilidad complementaria a nivel de estilos de vida personales para con la sociedad”.     

Respecto a las proyecciones que tienen como Centro de Salud Familiar de Melipilla, los profesionales a cargo coinciden en que tienen que seguir trabajando en forma articulada con la comunidad, para así poder aumentar el número de organizaciones  socias a su institución. Además se comprometieron a realizar “un Diálogo Participativo para el año 2016 referido a la atención primaria de salud y  poner énfasis al Compromiso de Gestión N° 13, referido al ámbito de la satisfacción usuaria”.",,photo,1
