,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,polarity
0,0,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNeE1qSTNNREUzTXpVNU1qYzZNVFExTVRRME5UVXhNZz09', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNeE1qSTNNREUzTXpVNU1qYzZNVFExTVRRME5UVXhNZz09'}}, u'data': [{u'message': u'Carla Meyer Veronica Cisternas Karen Díaz', u'from': {u'name': u'Iv\xe1n Navarro', u'id': u'10153968236173217'}, u'id': u'10153121406940927_10153122701735927'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-12-29 12:53:58,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_10153121406940927,"{u'paging': {u'cursors': {u'after': u'MTAxNTMzODkxMjk5NzM0NDE=', u'before': u'MTI3NjkxNjc1OTI2'}}, u'data': [{u'id': u'127691675926', u'name': u'Galerna'}, {u'id': u'10208518313097643', u'name': u'Veronica Cisternas'}, {u'id': u'10153968236173217', u'name': u'Iván Navarro'}, {u'id': u'10208277329471824', u'name': u'Marianela Peña Rodriguez'}, {u'id': u'821325861277457', u'name': u'Marjorie Silva'}, {u'id': u'10153389129973441', u'name': u'Catalina Ramirez'}], u'summary': {u'total_count': 6}}",Preparando la muestra en el cierre del prograna Reemprende Valparaiso,,photo,0
1,1,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNd056QTRNVGd5TXpVNU1qYzZNVFEwT0RreU56VTJOQT09', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNd056QTRNVGd5TXpVNU1qYzZNVFEwT0RreU56VTJOQT09'}}, u'data': [{u'message': u'A mi nadie me invito. Snif... Para la proxima.', u'from': {u'name': u'Marjorie Silva', u'id': u'821325861277457'}, u'id': u'10153068412825927_10153070818235927'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-11-29 12:32:18,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_10153068412825927,"{u'paging': {u'cursors': {u'after': u'MTI3NjkxNjc1OTI2', u'before': u'MTAyMDM3MDg2Njg3MzQxNTI='}}, u'data': [{u'id': u'10203708668734152', u'name': u'Marisella Miranda Silva'}, {u'id': u'10203202906370950', u'name': u'Alberto Blest Iceta'}, {u'id': u'702037126606833', u'name': u'Daniela Villanueva'}, {u'id': u'10205610927853933', u'name': u'Katherine García Campos'}, {u'id': u'10203616076615917', u'name': u'Gmo. Poveda O'}, {u'id': u'10153968236173217', u'name': u'Iván Navarro'}, {u'id': u'10204284347206694', u'name': u'Tatiana Silva G'}, {u'id': u'10156508426525321', u'name': u'Andrea Ordenes'}, {u'id': u'10209161684943073', u'name': u'Karla Andrea Gas Henriquez'}, {u'id': u'10205130890208935', u'name': u'Beth Dubois'}, {u'id': u'127691675926', u'name': u'Galerna'}], u'summary': {u'total_count': 12}}","Gracias a todos y todas por su participación en el seminario. Los y las esperamos en futuras actividades de este tipo para que el conocimiento se siga democratizando.

Saludos cordiales,

Equipo Área de Estudios
Corporación Galerna.",,photo,1
2,2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-11-11 13:29:32,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_10153041614070927,"{u'paging': {u'cursors': {u'after': u'MTI3NjkxNjc1OTI2', u'before': u'NzAyMDM3MTI2NjA2ODMz'}}, u'data': [{u'id': u'702037126606833', u'name': u'Daniela Villanueva'}, {u'id': u'1544423242552751', u'name': u'Polilla Polilla'}, {u'id': u'10207015287876454', u'name': u'Paula Gonzalez'}, {u'id': u'10205063043878800', u'name': u'Karem Olguin'}, {u'id': u'10205610927853933', u'name': u'Katherine García Campos'}, {u'id': u'10204284347206694', u'name': u'Tatiana Silva G'}, {u'id': u'10209161684943073', u'name': u'Karla Andrea Gas Henriquez'}, {u'id': u'127691675926', u'name': u'Galerna'}], u'summary': {u'total_count': 9}}","En el seminario presentaremos los resultados de la investigación donde analizamos el proceso de reincorporación al grupo familiar de padres y madres que han cumplido penas privativas de libertad en la Región de Valparaíso, explorando sus impactos en la dinámica familiar, contexto situacional, generación de recursos, vulnerabilidades y riesgos emergentes. Los y las esperamos!",,event,0
3,4,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNd05ERTFPVFEwTURBNU1qYzZNVFEwTnpJME56TXdOUT09', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNd05ERTFPVFEwTURBNU1qYzZNVFEwTnpJME56TXdOUT09'}}, u'data': [{u'message': u'Los esperamos el miércoles 25 de noviembre. Inscripciones en el correo: seminario@galerna.cl', u'from': {u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}, u'id': u'10153030657770927_10153041594400927'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-11-04 00:55:23,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_10153030657770927,"{u'paging': {u'cursors': {u'after': u'MTAxNTI4MjA5NTA3Nzk1NTg=', u'before': u'MTAyMDQ5MjU0NzAxOTIwMzM='}}, u'data': [{u'id': u'10204925470192033', u'name': u'Katherinne Lisdy Fontecha Inzulza'}, {u'id': u'127691675926', u'name': u'Galerna'}, {u'id': u'10207115379620637', u'name': u'Silvana Avalos Morales'}, {u'id': u'10205063043878800', u'name': u'Karem Olguin'}, {u'id': u'10205799361603824', u'name': u'Geri Salinas Miranda'}, {u'id': u'10209161684943073', u'name': u'Karla Andrea Gas Henriquez'}, {u'id': u'753341378143893', u'name': u'TrabajoSocial Udla Viña del Mar'}, {u'id': u'10156508426525321', u'name': u'Andrea Ordenes'}, {u'id': u'10153389129973441', u'name': u'Catalina Ramirez'}, {u'id': u'10203202906370950', u'name': u'Alberto Blest Iceta'}, {u'id': u'10152820950779558', u'name': u'Francisca Ignacia Castro'}], u'summary': {u'total_count': 11}}","El miércoles 25 de Noviembre se realizará el Seminario ""Después de la cárcel: Procesos de reincorporación al grupo familiar"". La actividad será en el Salón de Honor de la PUCV, av. Brasil 2950, tercer piso, Valparaíso. La Entrada es Liberada.

Inscripciones en el correo: seminario@galerna.cl.
El seminario es financiado por el Fondo Nacional de Seguridad Pública - Ministerio del Interior y Seguridad Pública.",{u'count': 13},photo,0
4,5,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-10-23 14:11:43,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_10153014054180927,"{u'paging': {u'cursors': {u'after': u'MTAyMDA0NjY2MjY3MDYwNjQ=', u'before': u'MTAxNTI5OTk3MTIyNjM5Mzg='}}, u'data': [{u'id': u'10152999712263938', u'name': u'Ingrid Robert'}, {u'id': u'10152820950779558', u'name': u'Francisca Ignacia Castro'}, {u'id': u'10204284347206694', u'name': u'Tatiana Silva G'}, {u'id': u'1655520528029996', u'name': u'Jessica Burgos'}, {u'id': u'657770051011761', u'name': u'Kori Dvarte'}, {u'id': u'10153389129973441', u'name': u'Catalina Ramirez'}, {u'id': u'127691675926', u'name': u'Galerna'}, {u'id': u'10200466626706064', u'name': u'Constanza Fernández Quiñones'}], u'summary': {u'total_count': 8}}","Seminario: Mujeres, trayectorias laborales y privación de libertad",,photo,0
5,6,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRNd01Ea3hNekU0TURBNU1qYzZNVFEwTlRNd016RTVOUT09', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEF4TlRJNU9EazROelUzTlRBNU1qYzZNVFEwTkRFMk1EY3pOQT09'}}, u'data': [{u'message': u'No requiere confirmación de asistencia', u'from': {u'name': u'Cleo Lobos Vergara', u'id': u'10207728054295934'}, u'id': u'10152988094890927_10152989875750927'}, {u'message': u'Mira Parra Fraile, la Adelita :)', u'from': {u'name': u'Ximena Alfaro Eyzaguirre', u'id': u'1468157076790676'}, u'id': u'10152988094890927_10152989915600927'}, {u'message': u'si adelita quisera ser mi esposa....si adelita ya fuera mujer......la seguiría por mar  y  por tierra.....', u'from': {u'name': u'Parra Fraile', u'id': u'10153558365813044'}, u'id': u'10152988094890927_10152989925575927'}, {u'message': u'Escuela Trabajo-Social', u'from': {u'name': u'Hellen Cisternas B.', u'id': u'10204780265130864'}, u'id': u'10152988094890927_10152990399340927'}, {u'message': u'la semana pasada mande mis datos para inscripcion pero no he tenido respuesta :/', u'from': {u'name': u'Karem Olguin', u'id': u'10205063043878800'}, u'id': u'10152988094890927_10153007337850927'}, {u'message': u'Karem, por favor confírmanos si recibiste respuesta a tu inscripción, saludos', u'from': {u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}, u'id': u'10152988094890927_10153009131800927'}], u'summary': {u'total_count': 6, u'order': u'chronological'}}",2015-10-05 14:14:08,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_10152988094890927,"{u'paging': {u'cursors': {u'after': u'MTAyMDU2MTA5Mjc4NTM5MzM=', u'before': u'MTQ5MjY5NjcwMTAxNjM0NA=='}}, u'data': [{u'id': u'1492696701016344', u'name': u'Nicolás Díaz Jra'}, {u'id': u'10203202906370950', u'name': u'Alberto Blest Iceta'}, {u'id': u'10202062523919343', u'name': u'David Andrés Pino Wittenberg'}, {u'id': u'10203714983610936', u'name': u'Paula Tocigl'}, {u'id': u'1468157076790676', u'name': u'Ximena Alfaro Eyzaguirre'}, {u'id': u'10206958951030426', u'name': u'Carla Andrea Soto Bravo'}, {u'id': u'1726701787542995', u'name': u'Ong Convive'}, {u'id': u'10207728054295934', u'name': u'Cleo Lobos Vergara'}, {u'id': u'10203662465755313', u'name': u'María José Olmedo'}, {u'id': u'10200466626706064', u'name': u'Constanza Fernández Quiñones'}, {u'id': u'10206078987706552', u'name': u'Paola Novoa Mancilla'}, {u'id': u'761795227196100', u'name': u'Leandra Antonia Rodríguez Durán'}, {u'id': u'10204747801956593', u'name': u'Verónica Ruipérez Gallardo'}, {u'id': u'127691675926', u'name': u'Galerna'}, {u'id': u'668890819869307', u'name': u'Yasna Marina Olivares Narbona'}, {u'id': u'10153968236173217', u'name': u'Iván Navarro'}, {u'id': u'10204284347206694', u'name': u'Tatiana Silva G'}, {u'id': u'10208420852735836', u'name': u'Evelyn Farías Vargas'}, {u'id': u'1274331859340589', u'name': u'Aä Kiaf'}, {u'id': u'10209161684943073', u'name': u'Karla Andrea Gas Henriquez'}, {u'id': u'10205610927853933', u'name': u'Katherine García Campos'}], u'summary': {u'total_count': 21}}","El próximo viernes 23 de Octubre se realizará el Seminario ""Mujeres, Trayectorias Laborales y Privación de Libertad"".
La actividad sera en el Anfiteatro de Estensión Edificio Cousiño DUOC-UC, Blanco 997, Valparaíso. La Entrada es Liberada.
Inscripciones en el correo: seminario@galerna.cl.
El seminario es financiado por el Fondo: Chile de todas y todos - Corporaciones y Fundaciones del Ministerio de Desarrollo Social",{u'count': 33},photo,1
6,7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2011-06-12 17:18:52,"{u'name': u'Tierra De Afal Capacitaciones Y Terapias', u'id': u'953527181366989'}",127691675926_10150198969170927,"{u'data': [], u'summary': {u'total_count': 0}}","Taller de Plantas Medicinales Chilenas.
Taller teórico práctico dirigido a todas aquellas personas, interesadas en conocer las propiedades de las plantas y aprender de ellas. Como en aprender a elaborar productos fitoterapeuticos y de fitocosmeticas.Para más información llamar al 84928273 o 7 443.7761 o 7 423.00.28 o visite nuestro blog: http://plantasmedicinalesycosmeticavegetal.blogspot.com",,status,1
7,16,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2010-03-03 22:08:38,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_365742351196,"{u'data': [], u'summary': {u'total_count': 0}}",Interesante iniciativa colaborativa,,link,1
8,18,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2010-01-26 09:36:45,"{u'name': u'Juan Castillo', u'id': u'10153972251485972'}",127691675926_270729415926,"{u'paging': {u'cursors': {u'after': u'MTI3NjkxNjc1OTI2', u'before': u'MTI3NjkxNjc1OTI2'}}, u'data': [{u'id': u'127691675926', u'name': u'Galerna'}], u'summary': {u'total_count': 1}}",Qué tal Galerna? Un abrazo a todos - JC,,status,1
9,25,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2009-10-14 20:07:23,"{u'name': u'Paulina Lorena Guzmán Soto', u'id': u'10207679063674520'}",127691675926_156500015926,"{u'paging': {u'cursors': {u'after': u'MTI3NjkxNjc1OTI2', u'before': u'MTI3NjkxNjc1OTI2'}}, u'data': [{u'id': u'127691675926', u'name': u'Galerna'}], u'summary': {u'total_count': 1}}",Es más que una plataforma es una comunidad y un espacio de trabajo muy agradable,,status,1
10,26,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2009-08-30 05:39:40,"{u'category': u'Organization', u'name': u'Galerna', u'category_list': [{u'id': u'176831012360626', u'name': u'Professional Services'}], u'id': u'127691675926'}",127691675926_168484385224,"{u'paging': {u'cursors': {u'after': u'MTAyMDgyOTE5MTczNTUyNDg=', u'before': u'MTAyMDIwNjI1MjM5MTkzNDM='}}, u'data': [{u'id': u'10202062523919343', u'name': u'David Andrés Pino Wittenberg'}, {u'id': u'10208291917355248', u'name': u'Pau Le Tte'}], u'summary': {u'total_count': 2}}","GALERNA es una Plataforma de Trabajo enfocada al Desarrollo Social, que junto con su labor promocional cuenta con un equipo de Consultores Profesionales que nos permite, mediante una acción integral, profundizar y ampliar la cobertura del trabajo d ...e intervención psico-social y comunitaria, que como institución venimos desarrollando en diversos territorios desde el año 2002 a la fecha.",,status,1
