,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,Unnamed: 9,Unnamed: 10,polarity
0,0,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-02-08 13:27:05,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_840893112703931,"{u'paging': {u'cursors': {u'after': u'MTU3NDk0ODY3NTk3OTg4Ng==', u'before': u'MTAyMDQzOTM4Njk1NDkxMjk='}}, u'data': [{u'id': u'10204393869549129', u'name': u'Viviana La Regla Valenzuela'}, {u'id': u'10205142875997112', u'name': u'Marcela Lee Gonzalez'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'1425752074401235', u'name': u'Robin Moya Baeza'}, {u'id': u'917200161691614', u'name': u'Ana María Caceres Yañez'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'779844782080996', u'name': u'Felipe Andres Campos Gonzalez'}, {u'id': u'10205042000239049', u'name': u'Mariela Sotelo Poblete'}, {u'id': u'10153507228399138', u'name': u'Francisca Chereau Causa'}, {u'id': u'1574948675979886', u'name': u'Irinia Lopez'}], u'summary': {u'total_count': 10}}","PROGRAMAS PREVENTIVOS: DESDE LA REACCIÓN A LA PLANIFICACIÓN. 

El consumo de alcohol y otras drogas en jóvenes escolares, y sus conductas de riesgo, pueden ser abordados de manera eficaz a través de la elaboración de un Programa Preventivo, en el que se involucre a toda la comunidad educacional.  

Continúa leyendo aquí. http://bit.ly/1nSAE7e",{u'count': 3},photo,,,0
1,1,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRFF3TWpReU5qVXlOelk0T1RjM09qRTBOVFE0TVRJNU5UYz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRFF3TVRrMU1qQXlOemN6TnpJeU9qRTBOVFE0TURReU9UYz0='}}, u'data': [{u'message': u'El más lindo de todos.. !!!', u'from': {u'name': u'Irinia Lopez', u'id': u'1574948675979886'}, u'id': u'840190846107491_840195202773722'}, {u'message': u'Así es 💕', u'from': {u'name': u'Nicol Mendoza Y\xe1\xf1ez', u'id': u'10205343692529288'}, u'id': u'840190846107491_840212566105319'}, {u'message': u'Un muy buen centro y los terapeutas que se dedican ayudar a los jóvenes', u'from': {u'name': u'Dany Fuentes Ramirez', u'id': u'10208631673407250'}, u'id': u'840190846107491_840242652768977'}], u'summary': {u'total_count': 3, u'order': u'chronological'}}",2016-02-07 00:01:13,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_840190846107491,"{u'paging': {u'cursors': {u'after': u'MTAyMDgxNzE1MDI0MjU3MDM=', u'before': u'OTMwNDIyNzYwMzQ5Mzg5'}}, u'data': [{u'id': u'930422760349389', u'name': u'Ursula Garrido Badilla'}, {u'id': u'10203094155808717', u'name': u'Marisol Gonzalez Olivares'}, {u'id': u'10204006439782812', u'name': u'Andrea Condiciones'}, {u'id': u'10205416487746355', u'name': u'Rodrigo Rojas'}, {u'id': u'10152862627481063', u'name': u'Daniela Gil'}, {u'id': u'10153507228399138', u'name': u'Francisca Chereau Causa'}, {u'id': u'852252698159570', u'name': u'Carolita Araneda'}, {u'id': u'10206000728843435', u'name': u'Mela Zaldívar'}, {u'id': u'10208377159247061', u'name': u'Novelia Apablaza'}, {u'id': u'10204395648787580', u'name': u'Maria Soledad Escobar Sánchez'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'827870177252364', u'name': u'Gabriel Dus'}, {u'id': u'10207291565233331', u'name': u'Sergio Tapia'}, {u'id': u'10152988401112838', u'name': u'Ricardo Luis Bascuñán Cisternas'}, {u'id': u'10207618165107977', u'name': u'Ma Cristina Escobar'}, {u'id': u'10206007394723017', u'name': u'María José López Moraga'}, {u'id': u'1027109163989297', u'name': u'Claudia Damiani Castillo'}, {u'id': u'10203615505769803', u'name': u'Blanca Torres Caceres'}, {u'id': u'10207184143546200', u'name': u'Nancy Maturana Lemus'}, {u'id': u'10208631673407250', u'name': u'Dany Fuentes Ramirez'}, {u'id': u'219446955062826', u'name': u'Jeannette Bustos Perez'}, {u'id': u'10202939503721044', u'name': u'Erika Luz Contreras Duran'}, {u'id': u'10208124391366805', u'name': u'Jennifer Inostroza Morales'}, {u'id': u'10203607785375524', u'name': u'Denny Montenegro Jimenez'}, {u'id': u'10208738807288126', u'name': u'Yanina Zuñiga'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'10204616685916405', u'name': u'Johana Barría Santander'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'10205142875997112', u'name': u'Marcela Lee Gonzalez'}, {u'id': u'10206930521718615', u'name': u'Yael VG'}, {u'id': u'1574948675979886', u'name': u'Irinia Lopez'}, {u'id': u'1606197772997694', u'name': u'Isabel Andrea Valencia Monsalvez'}, {u'id': u'1196032127088944', u'name': u'E'steban Morales'}, {u'id': u'10208171502425703', u'name': u'Marcelo Labrin'}], u'summary': {u'total_count': 34}}","Nuestro Programa San Vicente de Paul, ubicado en la comuna de Padre Hurtado, acoge a hombres adolescentes en situación de pobreza y consumo problemático de alcohol y otras drogas. 
www.fundacionparentesis.cl",{u'count': 4},photo,,,1
2,2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-02-05 18:48:48,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_839505189509390,"{u'paging': {u'cursors': {u'after': u'MTAyMDUwNDIwMDAyMzkwNDk=', u'before': u'MTAyMDY0ODMxNDY1NzE5MDE='}}, u'data': [{u'id': u'10206483146571901', u'name': u'Paula Martínez Hormazábal'}, {u'id': u'10204058730643150', u'name': u'Sofia Ceron'}, {u'id': u'10208377159247061', u'name': u'Novelia Apablaza'}, {u'id': u'10205244067608377', u'name': u'Mariely Orellana Zuñiga'}, {u'id': u'1606197772997694', u'name': u'Isabel Andrea Valencia Monsalvez'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'10207184143546200', u'name': u'Nancy Maturana Lemus'}, {u'id': u'10153760476812225', u'name': u'Paola Arriagada'}, {u'id': u'10205770668532315', u'name': u'Monica Graciela Valencia Marin'}, {u'id': u'280477378821885', u'name': u'Maritza Toro Morales'}, {u'id': u'10205642401595681', u'name': u'María José López'}, {u'id': u'1196032127088944', u'name': u'E'steban Morales'}, {u'id': u'10153933243154465', u'name': u'Francisco Vera Bustos'}, {u'id': u'10202703771067669', u'name': u'Daniela Anmary Queupul Queupul'}, {u'id': u'867828446602733', u'name': u'Andrea Berríos Valenzuela'}, {u'id': u'10152543956502709', u'name': u'Mónica Contreras Jacob'}, {u'id': u'10207945864982899', u'name': u'Brigitte Briseis Molina Sabatie'}, {u'id': u'10203020525068909', u'name': u'Jose DLitros-k Catalan Z'}, {u'id': u'10206973045988670', u'name': u'Jovy Escobar Duran'}, {u'id': u'658080467580559', u'name': u'Claudia Lagos Roa'}, {u'id': u'10153297892859105', u'name': u'Loreto Ramirez Morales'}, {u'id': u'10205042000239049', u'name': u'Mariela Sotelo Poblete'}], u'summary': {u'total_count': 22}}","Nuestros usuarios del Programa para Personas en Situación de Calle de Concepción realizan diversos talleres durante su proceso, como el de mosaicos. 
www.fundacionparentesis.cl",{u'count': 2},photo,,,0
3,3,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-02-04 15:29:58,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_838835832909659,"{u'paging': {u'cursors': {u'after': u'MTAxNTM0NTg1MDIwNTg2MTc=', u'before': u'MTAyMDQ3MTgwMjk2NTI3NjQ='}}, u'data': [{u'id': u'10204718029652764', u'name': u'María Paz Francisco Yáñez'}, {u'id': u'10205458219878553', u'name': u'Mary Uribe'}, {u'id': u'10207291565233331', u'name': u'Sergio Tapia'}, {u'id': u'10154583599078957', u'name': u'Valeska Fernanda Véliz Mardones'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'10203883298948829', u'name': u'Pattysiel Puertomontina'}, {u'id': u'10153933243154465', u'name': u'Francisco Vera Bustos'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'646538702145122', u'name': u'Rodrigo Muñoz'}, {u'id': u'10207249696382838', u'name': u'Betsy Delgado Lewin'}, {u'id': u'10153458502058617', u'name': u'Paulina Tapia Retamal'}], u'summary': {u'total_count': 11}}","Nuestra campaña ""Aquí estamos"" buscó sensibilizar en torno a las personas en situación de calle. ¿Cuántas veces has escuchado lo que necesitan las personas en situación de calle?
www.fundacionparentesis.cl",{u'count': 6},video,,,0
4,4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-02-02 17:53:40,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_837768616349714,"{u'paging': {u'cursors': {u'after': u'MTAxNTIxOTEwODc5MjkyMTU=', u'before': u'MTU0OTkwMzk2MTk5MDgzMA=='}}, u'data': [{u'id': u'1549903961990830', u'name': u'Caro Ramirez'}, {u'id': u'1535554063327975', u'name': u'Alexi Henriquez Henriquez'}, {u'id': u'10155100875515160', u'name': u'Pancha Ganga'}, {u'id': u'1158345180849201', u'name': u'Hde Cristo'}, {u'id': u'1502185663360246', u'name': u'Kevin Martinez Vasquez'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'10152543956502709', u'name': u'Mónica Contreras Jacob'}, {u'id': u'10152203870182096', u'name': u'Nataly Piña Silva'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'708479229277614', u'name': u'Diana Sastre de Sonrisas'}, {u'id': u'10152191087929215', u'name': u'Aura-Lee Palza Ordóñez'}], u'summary': {u'total_count': 12}}","Usuarios de los programas Santa Ana, San Francisco y Calle Santiago participaron del libro ""Pasión de Leer"", homenaje que las Fundaciones Hogar de Cristo realizaron a Gabriela Mistral. 

En un taller literario con el escritor Jaime Bristilo, crearon versos en conmemoración de la Premio Nobel chilena.

En la foto, algunos de los poemas creados por los representantes de Paréntesis: Alejandro, Marco, Gabriel y Jorge. 

Puedes ver más aquí. http://bit.ly/1Rc7kox",,photo,,,1
5,5,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-02-01 17:32:47,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_837265999733309,"{u'paging': {u'cursors': {u'after': u'MTAxNTMwNzM3ODEwOTA3OTY=', u'before': u'OTMwNDIyNzYwMzQ5Mzg5'}}, u'data': [{u'id': u'930422760349389', u'name': u'Ursula Garrido Badilla'}, {u'id': u'10207184143546200', u'name': u'Nancy Maturana Lemus'}, {u'id': u'10204052607028884', u'name': u'Lucia Faundez Estevez'}, {u'id': u'10207291565233331', u'name': u'Sergio Tapia'}, {u'id': u'1027109163989297', u'name': u'Claudia Damiani Castillo'}, {u'id': u'10206728123541347', u'name': u'Susan Vasquez C'}, {u'id': u'10208171502425703', u'name': u'Marcelo Labrin'}, {u'id': u'10205868495173290', u'name': u'Fabito Leia'}, {u'id': u'1502185663360246', u'name': u'Kevin Martinez Vasquez'}, {u'id': u'428106370719524', u'name': u'Antonella Gallardo Zúñiga'}, {u'id': u'10204478516021470', u'name': u'Jimena Pilar Meza Ramirez'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'10153646738245984', u'name': u'Samuel Alejandro Burgoa Pacheco'}, {u'id': u'10203020525068909', u'name': u'Jose DLitros-k Catalan Z'}, {u'id': u'10207945864982899', u'name': u'Brigitte Briseis Molina Sabatie'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'10205416487746355', u'name': u'Rodrigo Rojas'}, {u'id': u'10207073662704839', u'name': u'Karen Paola'}, {u'id': u'10153073781090796', u'name': u'Cata Contreras Orozco'}], u'summary': {u'total_count': 20}}","En Talca contamos con el Progama Terapéutico Ambulatorio ""La Escalera"", el cual acoge a adolescentes en situación de pobreza y consumo problemático de alcohol y otras drogas.
Más información de lo que hacemos en www.fundacionparentesis.cl",{u'count': 1},photo,,,1
6,6,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-31 22:35:17,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_836851409774768,"{u'paging': {u'cursors': {u'after': u'MTAyMDU0MTQzNjY4NTc5NDM=', u'before': u'ODc1NDgzMjI1ODc0MDI5'}}, u'data': [{u'id': u'875483225874029', u'name': u'Lidia Lis Tomasi'}, {u'id': u'930422760349389', u'name': u'Ursula Garrido Badilla'}, {u'id': u'855763247851936', u'name': u'Vero Perez Castillo'}, {u'id': u'10205744481632462', u'name': u'Lucero Hernandez Rey'}, {u'id': u'1158345180849201', u'name': u'Hde Cristo'}, {u'id': u'1106238532726198', u'name': u'Julia Maria Flores Cortes'}, {u'id': u'10152862627481063', u'name': u'Daniela Gil'}, {u'id': u'10207249696382838', u'name': u'Betsy Delgado Lewin'}, {u'id': u'10207291565233331', u'name': u'Sergio Tapia'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'10208111667570220', u'name': u'Emiliano Cerda'}, {u'id': u'10204722342036816', u'name': u'Gaby Gomez'}, {u'id': u'1027109163989297', u'name': u'Claudia Damiani Castillo'}, {u'id': u'10208171502425703', u'name': u'Marcelo Labrin'}, {u'id': u'10204778856332119', u'name': u'Ron Run'}, {u'id': u'10207551737378693', u'name': u'Evelyn Alejandra Aranguiz Hernandez'}, {u'id': u'829942747104101', u'name': u'Maira Frielink Immich'}, {u'id': u'607831472655935', u'name': u'Aurea Fenandez Trullen'}, {u'id': u'10205244067608377', u'name': u'Mariely Orellana Zuñiga'}, {u'id': u'850925191661462', u'name': u'Maica Frielink Immich'}, {u'id': u'10205904428783489', u'name': u'Valentina Sanhueza Zuñiga'}, {u'id': u'10155100875515160', u'name': u'Pancha Ganga'}, {u'id': u'10208354840330627', u'name': u'May Abasolo Iturriaga'}, {u'id': u'10205723887634178', u'name': u'Isabel Andrea Ponce Salinas'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'10153507228399138', u'name': u'Francisca Chereau Causa'}, {u'id': u'1535554063327975', u'name': u'Alexi Henriquez Henriquez'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'10152831061783950', u'name': u'Michael Ordenes Beltran Beltran'}, {u'id': u'10152952341625848', u'name': u'Stefany Diaz B'}, {u'id': u'10152571821511074', u'name': u'Arina Didu'}, {u'id': u'924828424218309', u'name': u'Cyndii Bahena'}, {u'id': u'1597681163852049', u'name': u'Madrey Toanita Ct'}, {u'id': u'10205414366857943', u'name': u'Rodrigo Pino'}], u'summary': {u'total_count': 34}}","¡Tres nuevos voluntarios nos acompañan este verano! Mónica Aguilar (Salvador) y Maica Frielink (Brasil) están apoyando al equipo del programa Mapumalén y Andrés (Colombia) se encuentra trabajando con el área de voluntariado. 

Este intercambio es posible gracias a un convenio con AIESEC (www.aiesec.cl), la organización de jóvenes más grande del mundo que busca generar impacto positivo en la sociedad.

¡Bienvenidos a los tres!",{u'count': 1},photo,,,1
7,7,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRE0xT0RZNU9EYzVPRGN5T1RJeE9qRTBOVFF4TURJME1qYz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRE0xT0RZNU9EYzVPRGN5T1RJeE9qRTBOVFF4TURJME1qYz0='}}, u'data': [{u'message': u'Que buena...justo mi hijo está estudiando eso....muy buena carrera!!!!', u'from': {u'name': u'Irinia Lopez', u'id': u'1574948675979886'}, u'id': u'835844319875477_835869879872921'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-01-29 20:09:01,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_835844319875477,"{u'paging': {u'cursors': {u'after': u'MTAxNTMwNDc3NDkyMTg0Mzk=', u'before': u'MTE1ODM0NTE4MDg0OTIwMQ=='}}, u'data': [{u'id': u'1158345180849201', u'name': u'Hde Cristo'}, {u'id': u'10153346474567227', u'name': u'Patricia Sanjorge'}, {u'id': u'10205962272311001', u'name': u'Andrea Palma'}, {u'id': u'10206973045988670', u'name': u'Jovy Escobar Duran'}, {u'id': u'10206335869617389', u'name': u'Francisca Belén Rivas Mora'}, {u'id': u'1196032127088944', u'name': u'E'steban Morales'}, {u'id': u'1019055801486723', u'name': u'Claudia Carbonell Caris'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'935580503197084', u'name': u'Fanny Agudelo Toro'}, {u'id': u'10206189075784234', u'name': u'Carolina Reyes Acevedo'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}], u'summary': {u'total_count': 12}}","Un interesante taller de Prevención de Riesgos realizaron hoy trabajadores de Paréntesis en Santiago. Un profesional de la ACHS los capacitó en RCP, maniobra de Heimlich y cuidados básicos ante una situación de emergencia.",,photo,,,1
8,8,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRE0wTnpRMk9URTVPVGcxTWpFM09qRTBOVE01TVRJM01EQT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRE0wTnpRMk9URTVPVGcxTWpFM09qRTBOVE01TVRJM01EQT0='}}, u'data': [{u'message': u'Fabian Williamson Yesenia Soto', u'from': {u'name': u'Jose DLitros-k Catalan Z', u'id': u'10203020525068909'}, u'id': u'834732656653310_834746919985217'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-01-27 16:10:20,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_834732656653310,"{u'paging': {u'cursors': {u'after': u'MTAxNTM2NDY3MzgyNDU5ODQ=', u'before': u'MTAxNTI5ODg0MDExMTI4Mzg='}}, u'data': [{u'id': u'10152988401112838', u'name': u'Ricardo Luis Bascuñán Cisternas'}, {u'id': u'10153507228399138', u'name': u'Francisca Chereau Causa'}, {u'id': u'10154207825914358', u'name': u'Fenella Reyes Gonzalo'}, {u'id': u'10205424545026926', u'name': u'Carlos Vöhringer'}, {u'id': u'10205077966842543', u'name': u'AmAndita Velasco Murillo'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'1597681163852049', u'name': u'Madrey Toanita Ct'}, {u'id': u'912281725530100', u'name': u'Ciudadana Papayera Diaguita'}, {u'id': u'10204163528587686', u'name': u'Ignacio Palacios'}, {u'id': u'10207184143546200', u'name': u'Nancy Maturana Lemus'}, {u'id': u'10207540722577417', u'name': u'Camila Cifuentes'}, {u'id': u'10207315047896767', u'name': u'Yesenia Soto'}, {u'id': u'10205868495173290', u'name': u'Fabito Leia'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'930422760349389', u'name': u'Ursula Garrido Badilla'}, {u'id': u'10203020525068909', u'name': u'Jose DLitros-k Catalan Z'}, {u'id': u'10205042000239049', u'name': u'Mariela Sotelo Poblete'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'1502185663360246', u'name': u'Kevin Martinez Vasquez'}, {u'id': u'10207923302617463', u'name': u'Liliana Antilén Lizana'}, {u'id': u'1236683266347448', u'name': u'Blanca Madariaga Segovia'}, {u'id': u'10153646738245984', u'name': u'Samuel Alejandro Burgoa Pacheco'}], u'summary': {u'total_count': 22}}","Paréntesis ASC y Universidad Católica imparten novedoso taller sobre ""Familias Fuertes"". En la jornada, que se realizará durante tres días, se capacitará sobre una  metodología de trabajo con jóvenes y sus padres o cuidadores.
Continúa con esta noticia aquí. http://bit.ly/1ZSL1UF",{u'count': 3},photo,,,0
9,9,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRE0wTXpFME9UUXdNREk0TkRFMU9qRTBOVE00TXprMk1UQT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRE0wTVRZek1qTXdNRFF6TlRnMk9qRTBOVE00TVRJNU56QT0='}}, u'data': [{u'message': u'👏👏👏👏👏👏👏', u'from': {u'name': u'Claudia Lagos Roa', u'id': u'658080467580559'}, u'id': u'834160580043851_834163230043586'}, {u'message': u'un gran saludos a este gran equipo de personas gracias por ser como son y que dios ilumine sus caminos ya que lo que hacen dejan una gran huella besitos y cariños mama de alfredo', u'from': {u'name': u'Ema Juri', u'id': u'10206164428326904'}, u'id': u'834160580043851_834314940028415'}], u'summary': {u'total_count': 2, u'order': u'chronological'}}",2016-01-26 12:49:50,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Paréntesis', u'id': u'102026256590624'}",102026256590624_834160580043851,"{u'paging': {u'cursors': {u'after': u'MTAyMDU2NDgwMjY1NDk4MjI=', u'before': u'MTAyMDU0MzMwNTc5MjE4NTY='}}, u'data': [{u'id': u'10205433057921856', u'name': u'Gonzalo López Muela'}, {u'id': u'1196032127088944', u'name': u'E'steban Morales'}, {u'id': u'827870177252364', u'name': u'Gabriel Dus'}, {u'id': u'10156025235113125', u'name': u'Gidget SirRivera'}, {u'id': u'10204204728695614', u'name': u'Gaby Flores Bugueño'}, {u'id': u'124107094598681', u'name': u'Quenita Escobar'}, {u'id': u'1027109163989297', u'name': u'Claudia Damiani Castillo'}, {u'id': u'10156555269845370', u'name': u'Raúl Oteiza Ulloa'}, {u'id': u'941378952556711', u'name': u'Carmen Gloria Rojas Diaz'}, {u'id': u'10207033210652378', u'name': u'Tamara Sagredo'}, {u'id': u'656234854506695', u'name': u'Maria Cristina Varela Fernandez'}, {u'id': u'10204006439782812', u'name': u'Andrea Condiciones'}, {u'id': u'10205414366857943', u'name': u'Rodrigo Pino'}, {u'id': u'1680858942196349', u'name': u'Yovanka Rubilar Rocha'}, {u'id': u'10204367475247499', u'name': u'Carolina Sanchez Gomez'}, {u'id': u'10206973045988670', u'name': u'Jovy Escobar Duran'}, {u'id': u'656084007837790', u'name': u'Yayi Sayen BG'}, {u'id': u'10153047749218439', u'name': u'María Luisa Galán Ruiz'}, {u'id': u'10153507228399138', u'name': u'Francisca Chereau Causa'}, {u'id': u'10208727568931438', u'name': u'Loreto Moscoso'}, {u'id': u'1574948675979886', u'name': u'Irinia Lopez'}, {u'id': u'124224143270', u'name': u'Hogar de Cristo'}, {u'id': u'10204297647335536', u'name': u'Clau Navarro Gavilán'}, {u'id': u'10205142875997112', u'name': u'Marcela Lee Gonzalez'}, {u'id': u'10205148940424548', u'name': u'Aldo Rodríguez Frachia'}, {u'id': u'942570209138461', u'name': u'Jose Zadi'}, {u'id': u'10209286068007783', u'name': u'Jorge Andres Muñoz Bustos'}, {u'id': u'10152638913223940', u'name': u'Olguita Marina'}, {u'id': u'10205416487746355', u'name': u'Rodrigo Rojas'}, {u'id': u'10206335869617389', u'name': u'Francisca Belén Rivas Mora'}, {u'id': u'666572403379179', u'name': u'Luã Sarmanho'}, {u'id': u'10205189621209813', u'name': u'Francesca Silva'}, {u'id': u'930422760349389', u'name': u'Ursula Garrido Badilla'}, {u'id': u'658080467580559', u'name': u'Claudia Lagos Roa'}, {u'id': u'10207945864982899', u'name': u'Brigitte Briseis Molina Sabatie'}, {u'id': u'10205648026549822', u'name': u'Jossy Garay'}], u'summary': {u'total_count': 36}}","El Programa Terapéutico Residencial Santa Ana, ubicado en la comuna de Peñaflor, acoge a hombres adultos en situación de pobreza y consumo problemático de alcohol y otras drogas.
En la foto, el equipo de Santa Ana junto al Director Ejecutivo de Paréntesis, Paulo Egenau. 
www.fundacionparentesis.cl",{u'count': 12},photo,,,1
