,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,Unnamed: 9,Unnamed: 10,polarity
0,0,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelk1Tnpnek9UQTVPREl5TURZME9qRTBOVFkwTXprNE9UTT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelk1Tnpnek9UQTVPREl5TURZME9qRTBOVFkwTXprNE9UTT0='}}, u'data': [{u'message': u'👍', u'from': {u'name': u'Jimena Avila', u'id': u'585778468232415'}, u'id': u'769594436507678_769783909822064'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-02-25 15:03:33,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_769594436507678,"{u'paging': {u'cursors': {u'after': u'MTAyMDQ5ODk2NDkxNjAxODM=', u'before': u'Njg0MTU4MDgxNjQxMzUy'}}, u'data': [{u'id': u'684158081641352', u'name': u'Alicia Ester Marambio Lavanderos'}, {u'id': u'10152986210208527', u'name': u'Valentina Fisher'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}, {u'id': u'659011050843062', u'name': u'Nacho Torrejon Carrasco'}, {u'id': u'10153520665073985', u'name': u'Lorena Liz Sepulveda Perez'}, {u'id': u'10152745480593744', u'name': u'Esteban Ojeda Agüero'}, {u'id': u'10204130790723877', u'name': u'Alexandro Cea'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}, {u'id': u'10204989649160183', u'name': u'María Victoria Farías Maturana'}], u'summary': {u'total_count': 9}}","Hoy en el Jardin infantil ""Rinconcito de Luz"" ubicado en el sector de Las Pataguas -Miraflores Alto - Viña del Mar 
Esperamos que estas mochilas sean aporte para los niños q asisten a este jardin y son del sector !!! Vamos por este año escolar 2016 💪🏻👏🏻👍🏻😉🌟✨💫#amisimeimporta 
#desafiolevantemoschilevregion
#desafiolevantemoschile",,photo,,,1
1,1,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelk1TXpRMU5UYzVPRFkxT0RrM09qRTBOVFl6TlRjNU16Zz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelk1TXpRMU5UYzVPRFkxT0RrM09qRTBOVFl6TlRjNU16Zz0='}}, u'data': [{u'message': u'👏👏👏eeeee!!', u'from': {u'name': u'Jimena Avila', u'id': u'585778468232415'}, u'id': u'769189756548146_769345579865897'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-02-24 15:34:29,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_769189756548146,"{u'paging': {u'cursors': {u'after': u'MTAxNTIzMzUwMjQ5MDkzNTQ=', u'before': u'MTAyMDYzODg1MjQ0MDQ1MTc='}}, u'data': [{u'id': u'10206388524404517', u'name': u'Loreto Mancilla Osses'}, {u'id': u'711295962336298', u'name': u'Constanza Aguirre'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}, {u'id': u'855957651155875', u'name': u'Andrés Pizarro Ríos'}, {u'id': u'10205261363790908', u'name': u'Yasna CaroLina'}, {u'id': u'10153520665073985', u'name': u'Lorena Liz Sepulveda Perez'}, {u'id': u'1401460516813983', u'name': u'Diego Ignacio Chermac Díaz'}, {u'id': u'787698454682988', u'name': u'Luna Arroyo Giusti'}, {u'id': u'10204130790723877', u'name': u'Alexandro Cea'}, {u'id': u'10152335024909354', u'name': u'Enrique Sánchez Martínez'}], u'summary': {u'total_count': 11}}","El equipo de tías del jardin Las Lomitas de Achupallas recibiendo donación de mochilas que beneficiaran a 20 niños y niñas que comenzaran sus clases este primero de Marzo  ! 

Gracias Tia Mariela Salazar por que siempre nos recibe tan bien ! 

Gracias a Quienes confían en nosotros y nuestra labor 
#amisimeimporta #desafiolevantemoschilevregion 
#desafiolevantemoschile",{u'count': 2},photo,,,1
2,4,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelU0TWpnd016RTBNekExTnpVM09qRTBOVFF5T1RjME9EWT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelU0TWpnd016RTBNekExTnpVM09qRTBOVFF5T1RjME9EWT0='}}, u'data': [{u'message': u'Buenaaaa!!!', u'from': {u'name': u'Jimena Avila', u'id': u'585778468232415'}, u'id': u'758223494311439_758280314305757'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-01-31 23:49:50,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_758223494311439,"{u'paging': {u'cursors': {u'after': u'Mjc5MDE3NDE1NTY1Mzg1', u'before': u'MTAxNTI4MTQ5ODE0OTk3MjU='}}, u'data': [{u'id': u'10152814981499725', u'name': u'Pilar Pantoja'}, {u'id': u'10203922820925837', u'name': u'Francisca Zárate Medina'}, {u'id': u'10207321071210779', u'name': u'Myriam Veas'}, {u'id': u'10207757592079624', u'name': u'Esteban Haeger'}, {u'id': u'10154173637868747', u'name': u'Francisco Troncoso'}, {u'id': u'10202318655127874', u'name': u'Cristian Martinez'}, {u'id': u'10152442062907815', u'name': u'Camila Lazo Chacana'}, {u'id': u'10152559291537862', u'name': u'Gonzalo Méndez'}, {u'id': u'10204097907461606', u'name': u'Jose Morales'}, {u'id': u'10204892458569267', u'name': u'Claudia Zamora Saavedra'}, {u'id': u'914069838622465', u'name': u'Viviana Ojeda'}, {u'id': u'10204936549395671', u'name': u'Ernesto Javier Sáez Castillo'}, {u'id': u'122089234795926', u'name': u'Mauricio Cortés Tavilo'}, {u'id': u'10207993863346496', u'name': u'Mariela Soto Hinostroza'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}, {u'id': u'10205081027246735', u'name': u'Ju Carvajal Arrouch'}, {u'id': u'10152639221348019', u'name': u'Diego Bravo Sagues'}, {u'id': u'1612592302357915', u'name': u'Aletia Painemal'}, {u'id': u'10153520290482645', u'name': u'Raffaello Criscuoli Ruiz'}, {u'id': u'10153514782674621', u'name': u'Álvaro Williams Vinagre'}, {u'id': u'10204159324477985', u'name': u'Gonzalo Mellado Montes'}, {u'id': u'10206682296113088', u'name': u'Pedro Francisco Gonzalez Avila'}, {u'id': u'10203853345914790', u'name': u'Fabián Figueroa'}, {u'id': u'10152651729723382', u'name': u'Alvaro Morales'}, {u'id': u'10205743387598799', u'name': u'Gabriel Lara Martinez'}, {u'id': u'10205342271773252', u'name': u'Catalina Ignacia Poblete Gutiérrez'}, {u'id': u'193264540691578', u'name': u'Club de Montaña Frontera Vertical'}, {u'id': u'10152720442893073', u'name': u'Eduardo Farías'}, {u'id': u'911172982297294', u'name': u'Macarena Romero Espinoza'}, {u'id': u'10152335024909354', u'name': u'Enrique Sánchez Martínez'}, {u'id': u'10155361203715151', u'name': u'Eduardo Gomien'}, {u'id': u'10204636837384772', u'name': u'Fernando Roa Brito'}, {u'id': u'10205836021314441', u'name': u'Alvaro Roberto Massardo Delgado'}, {u'id': u'10205473174139021', u'name': u'Samuel Ignacio Rubio Wiedman'}, {u'id': u'414211452083389', u'name': u'Thirza Noemí'}, {u'id': u'10204857695059729', u'name': u'Constanza Hermosilla'}, {u'id': u'1633768150207097', u'name': u'Matías Alcayaga Todorović'}, {u'id': u'10204989649160183', u'name': u'María Victoria Farías Maturana'}, {u'id': u'10202933833560235', u'name': u'Fernando Antonio Vigil Rojas'}, {u'id': u'10152550170631989', u'name': u'Samira Chahuán Akle'}, {u'id': u'10203918525176859', u'name': u'Diego Villalobos León'}, {u'id': u'10205109589962619', u'name': u'Karen Mylene Contreras Peralta'}, {u'id': u'10204392612670811', u'name': u'Camila Alejandra Leger Correa'}, {u'id': u'1588540381422295', u'name': u'Cam Pezoa'}, {u'id': u'10152694913183905', u'name': u'María Francisca Aguirre Salgado'}, {u'id': u'10207357608396586', u'name': u'Paola Pardo'}, {u'id': u'10205431806051554', u'name': u'Carla Fica'}, {u'id': u'10204130790723877', u'name': u'Alexandro Cea'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}], u'summary': {u'total_count': 49}}","Compartimos la entrevista a nuestro Coordinador Regional, Alexandro Cea, hoy en la Revista Domingo de El Mercurio de Valparaíso.

Revisa el reportaje completo aquí: http://www.mercuriovalpo.cl/impresa/2016/01/31/full/cuerpo-reportajes/16/",{u'count': 12},photo,,,1
3,7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-23 19:55:56,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_754683007998821,"{u'paging': {u'cursors': {u'after': u'Mjc5MDE3NDE1NTY1Mzg1', u'before': u'NTg1Nzc4NDY4MjMyNDE1'}}, u'data': [{u'id': u'585778468232415', u'name': u'Jimena Avila'}, {u'id': u'10206169199053265', u'name': u'Claudia Farias Serrano'}, {u'id': u'1401460516813983', u'name': u'Diego Ignacio Chermac Díaz'}, {u'id': u'10205132921154221', u'name': u'Marisol Romero Balladares'}, {u'id': u'10205831377482615', u'name': u'Catalina Andrea Oyarzún'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}], u'summary': {u'total_count': 6}}",Todo listo en Cachagua!,,photo,,,1
4,8,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-21 15:30:23,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_753712444762544,"{u'paging': {u'cursors': {u'after': u'NTg1Nzc4NDY4MjMyNDE1', u'before': u'Mjc5MDE3NDE1NTY1Mzg1'}}, u'data': [{u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}, {u'id': u'10207357608396586', u'name': u'Paola Pardo'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}], u'summary': {u'total_count': 3}}","""Educacion y Felicidad""
#2doencuentrointernacionalmunicipiosporlafelicidadbienestarygestionpública",,photo,,,1
5,9,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelV6TXpRME9URXhORFkxT1RZME9qRTBOVE16TVRrM01qQT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelV6TXpRME9URXhORFkxT1RZME9qRTBOVE16TVRrM01qQT0='}}, u'data': [{u'message': u'Ohhh qie buenoo me alegroo muchooo !!', u'from': {u'name': u'Jimena Avila', u'id': u'585778468232415'}, u'id': u'753340188133103_753344911465964'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-01-20 19:34:05,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_753340188133103,"{u'paging': {u'cursors': {u'after': u'NTg1Nzc4NDY4MjMyNDE1', u'before': u'MTAyMDY3NjkwNTgwNTMzMTY='}}, u'data': [{u'id': u'10206769058053316', u'name': u'Mara Gašić'}, {u'id': u'10152795664434479', u'name': u'Ale Paulina'}, {u'id': u'10202913546855542', u'name': u'Sebastián Dueñas Müller'}, {u'id': u'1401460516813983', u'name': u'Diego Ignacio Chermac Díaz'}, {u'id': u'10207199302047334', u'name': u'Tamara Patricia Luco Barrera'}, {u'id': u'10206593576137416', u'name': u'Carlita De las Mercedes'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}, {u'id': u'10205261363790908', u'name': u'Yasna CaroLina'}, {u'id': u'10205277832969479', u'name': u'Francisco Guerrero Q'}, {u'id': u'10153520665073985', u'name': u'Lorena Liz Sepulveda Perez'}, {u'id': u'10204989649160183', u'name': u'María Victoria Farías Maturana'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}], u'summary': {u'total_count': 12}}",Felicessssss !!! 🎉🎊👏🏻👏🏻 haciendo entrega de maquina conservadora a Sra Sandra😊 🎉👏🏻🎉 gracias a quienes confían en el #amisimeimporta gracias Gisela Wiesner  y a todas tus amigas que  aportaron para la solución de este caso 🎉🎊🎉 #desafiolevantemoschile #desafiolevantemoschilevregion,{u'count': 2},photo,,,1
6,13,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-15 00:00:01,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_750492265084562,"{u'paging': {u'cursors': {u'after': u'NTg1Nzc4NDY4MjMyNDE1', u'before': u'MTAyMDQzNzU5NDc4NTI0MDU='}}, u'data': [{u'id': u'10204375947852405', u'name': u'Pablo Olivares'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}], u'summary': {u'total_count': 2}}","SUNSET DESAFIO
¡El mejor atardecer del verano! 
Objetivo: Reconstrucción escuela especial ""Amanecer""

Lugar: Club de Golf Cachagua.
Día: Sábado 23 de enero.
Hora: 19.30 hrs.
Adhesión: $7.000.

¡No te lo pierdas!",{u'count': 1},photo,,,1
7,14,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-12 23:08:04,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_750031568463965,"{u'paging': {u'cursors': {u'after': u'Mjc5MDE3NDE1NTY1Mzg1', u'before': u'MTAyMDczMjEwNzEyMTA3Nzk='}}, u'data': [{u'id': u'10207321071210779', u'name': u'Myriam Veas'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}, {u'id': u'10202604760613263', u'name': u'Samuel Cornejo Reyes'}, {u'id': u'10205431806051554', u'name': u'Carla Fica'}, {u'id': u'10207649870268165', u'name': u'Virginia Roswitha Rojas Hube'}, {u'id': u'10204130790723877', u'name': u'Alexandro Cea'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}], u'summary': {u'total_count': 7}}","Hoy estuvo nuestro Coordinador Regional, Alexandro Cea, en el programa ""Estamos Organizados"" de Fundación Piensa, contando un trozo de la historia de Desafío Levantemos Chile en en país y la región.",,video,,,1
8,15,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-12 20:53:27,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_750000301800425,"{u'paging': {u'cursors': {u'after': u'NTg1Nzc4NDY4MjMyNDE1', u'before': u'MTAyMDQxMzA3OTA3MjM4Nzc='}}, u'data': [{u'id': u'10204130790723877', u'name': u'Alexandro Cea'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}, {u'id': u'845579148795622', u'name': u'Marcela Vergara Venegas'}, {u'id': u'10204989649160183', u'name': u'María Victoria Farías Maturana'}, {u'id': u'585778468232415', u'name': u'Jimena Avila'}], u'summary': {u'total_count': 5}}",Visitando a Magdalena y a Valeria,,status,,,1
9,16,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-12 13:43:40,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Desafío Levantemos Chile V Región', u'id': u'279017415565385'}",279017415565385_749871125146676,"{u'paging': {u'cursors': {u'after': u'Mjc5MDE3NDE1NTY1Mzg1', u'before': u'ODQ1NTc5MTQ4Nzk1NjIy'}}, u'data': [{u'id': u'845579148795622', u'name': u'Marcela Vergara Venegas'}, {u'id': u'10207357608396586', u'name': u'Paola Pardo'}, {u'id': u'10205132921154221', u'name': u'Marisol Romero Balladares'}, {u'id': u'10204989649160183', u'name': u'María Victoria Farías Maturana'}, {u'id': u'279017415565385', u'name': u'Desafío Levantemos Chile V Región'}], u'summary': {u'total_count': 5}}",Visita domiciliaria,,status,,,1
