,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,Unnamed: 9,polarity
0,1,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFU1TXpJMU9UYzNORFEyTnpNM09qRTBORGcxTnpRME1UYz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFU1TXpJMU9UYzNORFEyTnpNM09qRTBORGcxTnpRME1UYz0='}}, u'data': [{u'message': u'Les invitamos a visitar nuestra pagina, y revisar las opciones de: Clases de Canto e Instrumentos, Talleres, Cantantes y Grupos de Cámara para Graduaciones, Licenciaturas, Conciertos Líricos, Coro. www.idamconcepcion.cl  41-2132422

* Talleres y Clases Regulares
* Taller Iniciación Musical 
* Taller Música en Colores - Talleres de Verano.', u'from': {u'category': u'Education', u'name': u'IDAM Concepci\xf3n', u'category_list': [{u'id': u'133436743388217', u'name': u'Arts & Entertainment'}, {u'id': u'151676848220295', u'name': u'Education'}], u'id': u'1699796753586965'}, u'id': u'957914234254578_959325977446737'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-11-23 15:30:38,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_957914234254578,"{u'paging': {u'cursors': {u'after': u'MTAyMDM2NzA0NTIwMTUxNjI=', u'before': u'ODkxMTY0OTY3NTk0NTQ0'}}, u'data': [{u'id': u'891164967594544', u'name': u'Gustavo Zuñiga Muñoz'}, {u'id': u'10203389936850573', u'name': u'Rodrigo Antonio Rg'}, {u'id': u'10152419761833882', u'name': u'Michael Zschweigert'}, {u'id': u'10153066695094479', u'name': u'Cristian Alejandro Ruz Ugarte'}, {u'id': u'525337657622225', u'name': u'Felipe Álvarez Orellana'}, {u'id': u'10203547935920360', u'name': u'Alisson Ramirez'}, {u'id': u'10203670452015162', u'name': u'Carlos Conejeros González'}], u'summary': {u'total_count': 7}}",¿Conoces Semana Empresa? Te invitamos a conocer el programa que incentiva la practica para estudiantes de liceos técnicos! 📝👍🏣,,link,,0
1,2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-11-11 14:47:14,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_953233304722671,"{u'paging': {u'cursors': {u'after': u'MTAxNTIyODcxNDc5NzcyOTc=', u'before': u'NTI5OTUwMjY3MDc1OTc0'}}, u'data': [{u'id': u'529950267075974', u'name': u'Artes UAH'}, {u'id': u'10154035193624271', u'name': u'Javier Parra'}, {u'id': u'1527633874136372', u'name': u'Necoli Ancralo'}, {u'id': u'10202805012900739', u'name': u'Patricio Alejandro'}, {u'id': u'10152419761833882', u'name': u'Michael Zschweigert'}, {u'id': u'10152480553848108', u'name': u'César Eduardo Muñoz Varela'}, {u'id': u'10204288799324458', u'name': u'Felix Miranda Honeyman'}, {u'id': u'10205337928065058', u'name': u'Enrique De Santiago'}, {u'id': u'10153246465665784', u'name': u'Antonella Castiglione'}, {u'id': u'10205609861425260', u'name': u'Soledad A. Ossandón'}, {u'id': u'10153350678755450', u'name': u'Andrés Morales Poll'}, {u'id': u'10152287147977297', u'name': u'Caro Carrasco Cahis'}], u'summary': {u'total_count': 12}}","Te invitamos a la clase magistral ""En torno a Vivian Maier, la fotógrafa revelada"" con Luis Poirot, no te lo pierdas! 📷📝👀",{u'count': 8},photo,,1
2,3,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFUzTVRZMU1qUXdPVGsyTVRRME9qRTBORGd4TWprNU1EYz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFUzTVRZMU1qUXdPVGsyTVRRME9qRTBORGd4TWprNU1EYz0='}}, u'data': [{u'message': u'Entre finales de marzo y principios de abril de 1958 estuvo Vivian Maier en Chile ☝🏻️', u'from': {u'name': u'Viviana Pantoja Mej\xedas', u'id': u'10152010056762109'}, u'id': u'951137398265595_957165240996144'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-11-06 12:49:53,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_951137398265595,"{u'paging': {u'cursors': {u'after': u'MTAxNTM5MDQ0ODA3NzI2NDE=', u'before': u'MTAyMDUwMTYwMjg5NzU5OTA='}}, u'data': [{u'id': u'10205016028975990', u'name': u'Esteban Escalona'}, {u'id': u'10203092270321427', u'name': u'Cecilia Carrasco M'}, {u'id': u'1590935807852162', u'name': u'Ximena Araneda Ben'}, {u'id': u'414742408676243', u'name': u'Anny Vargas Pango'}, {u'id': u'354496581397410', u'name': u'Boris Fres'}, {u'id': u'10203934955630551', u'name': u'Rodrigo Cerda'}, {u'id': u'10205182292459757', u'name': u'Hugo Castro Hernández'}, {u'id': u'10153119379639823', u'name': u'Javi Sparrow Way'}, {u'id': u'10207047412007635', u'name': u'Genoveva De Las Nieves Berríos'}, {u'id': u'10152810436909000', u'name': u'Jesús Castel'}, {u'id': u'10152419761833882', u'name': u'Michael Zschweigert'}, {u'id': u'10205337928065058', u'name': u'Enrique De Santiago'}, {u'id': u'10152287147977297', u'name': u'Caro Carrasco Cahis'}, {u'id': u'10202805012900739', u'name': u'Patricio Alejandro'}, {u'id': u'10208088215740339', u'name': u'Mariela Rubilar'}, {u'id': u'10152529442706721', u'name': u'Gideon de Beer'}, {u'id': u'10206682728326813', u'name': u'Camila R. Veas'}, {u'id': u'10153904480772641', u'name': u'Yuriko Takahashi'}], u'summary': {u'total_count': 18}}","📷 ¿Sabias que Vivian Maier visitó Chile en 1957?

 Hazte parte de este descubrimiento y conócela en la exhibición ""Vivian Maier, la fotógrafa revelada"" ! 🗻🌅☀",{u'count': 1},photo,,1
3,4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-11-05 16:00:46,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_950805778298757,"{u'paging': {u'cursors': {u'after': u'MzcxMTE4NjQ2MjM5Mzgx', u'before': u'MTAyMDI4Mzk5MzM0MjI1MTQ='}}, u'data': [{u'id': u'10202839933422514', u'name': u'Rey Hernandez'}, {u'id': u'10204288799324458', u'name': u'Felix Miranda Honeyman'}, {u'id': u'10154042951537089', u'name': u'Constanza Gebhard'}, {u'id': u'10152287147977297', u'name': u'Caro Carrasco Cahis'}, {u'id': u'10205337928065058', u'name': u'Enrique De Santiago'}, {u'id': u'371118646239381', u'name': u'Pinacoteca UdeC'}], u'summary': {u'total_count': 6}}","Si eres de Concepción o solo estás de paso, desde hoy y hasta el día 20 de Diciembre se expone parte del Programa de Itinerancia 2015 del Museo Nacional de Bellas Artes en la Pinacoteca UdeC 🎨😊",,photo,,0
4,5,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-11-04 15:48:40,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_950477358331599,"{u'paging': {u'cursors': {u'after': u'MTAxNTMyNDY0NjU2NjU3ODQ=', u'before': u'MTAyMDMwOTIyNzAzMjE0Mjc='}}, u'data': [{u'id': u'10203092270321427', u'name': u'Cecilia Carrasco M'}, {u'id': u'10202839933422514', u'name': u'Rey Hernandez'}, {u'id': u'943621549041980', u'name': u'Karina Villalobos Beltrán'}, {u'id': u'10153426219848004', u'name': u'Pepa Torres'}, {u'id': u'525337657622225', u'name': u'Felipe Álvarez Orellana'}, {u'id': u'10152639868750923', u'name': u'Sergio Gonzalez'}, {u'id': u'10204288799324458', u'name': u'Felix Miranda Honeyman'}, {u'id': u'10202278788305977', u'name': u'Novaes Leti'}, {u'id': u'332858200140824', u'name': u'MAC / Museo de Arte Contemporáneo'}, {u'id': u'10205287671463515', u'name': u'Eny Arancibia Villanueva'}, {u'id': u'10203547935920360', u'name': u'Alisson Ramirez'}, {u'id': u'360671947421497', u'name': u'Roxana Donoso'}, {u'id': u'10203389936850573', u'name': u'Rodrigo Antonio Rg'}, {u'id': u'10152810436909000', u'name': u'Jesús Castel'}, {u'id': u'10153246465665784', u'name': u'Antonella Castiglione'}], u'summary': {u'total_count': 15}}",No pierdas la posibilidad de visitar junto a tu familia o amigos la exhibición  Colección MAC: Una Suma de Actualidades en #MACparqueforestal 😊🎨📝,{u'count': 2},photo,,1
5,6,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-11-02 12:40:02,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_949644088414926,"{u'paging': {u'cursors': {u'after': u'MTQyNzQ0MjQwNDI0MTcwMA==', u'before': u'MTAyMDI4Mzk5MzM0MjI1MTQ='}}, u'data': [{u'id': u'10202839933422514', u'name': u'Rey Hernandez'}, {u'id': u'525337657622225', u'name': u'Felipe Álvarez Orellana'}, {u'id': u'244331422279533', u'name': u'Fundación Itaú Chile'}, {u'id': u'414742408676243', u'name': u'Anny Vargas Pango'}, {u'id': u'10206777115886740', u'name': u'Maximiano Sepúlveda'}, {u'id': u'10207022983362496', u'name': u'Luiz Henrique Piazentini'}, {u'id': u'1427442404241700', u'name': u'Romina L. Figueroa'}], u'summary': {u'total_count': 7}}","Te invitamos a conocer los tesoros escondidos del Museo de Arte Contemporaneo con Colección MAC: Una Suma de Actualidades muestra que exhibe obras de la segunda mitad del siglo XX! 👀✨

Desde el 29 de Octubre al 29 de Enero, martes a sábado 11:00 – 19:00 h y domingos 11:00 – 18:30 h",,link,,1
6,7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-10-27 14:41:17,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_947264995319502,"{u'paging': {u'cursors': {u'after': u'MTAyMDI4MDUwMTI5MDA3Mzk=', u'before': u'MTAxNTI4MTA0MzY5MDkwMDA='}}, u'data': [{u'id': u'10152810436909000', u'name': u'Jesús Castel'}, {u'id': u'332858200140824', u'name': u'MAC / Museo de Arte Contemporáneo'}, {u'id': u'10204825744541536', u'name': u'Carmen L. Benavides'}, {u'id': u'244331422279533', u'name': u'Fundación Itaú Chile'}, {u'id': u'10203389936850573', u'name': u'Rodrigo Antonio Rg'}, {u'id': u'10153246465665784', u'name': u'Antonella Castiglione'}, {u'id': u'10152419761833882', u'name': u'Michael Zschweigert'}, {u'id': u'525337657622225', u'name': u'Felipe Álvarez Orellana'}, {u'id': u'10202805012900739', u'name': u'Patricio Alejandro'}], u'summary': {u'total_count': 9}}","¿Buscando un panorama para este Jueves 29? Te invitamos a la inauguración de Colección MAC: Una suma de actualidades, muestra que reúne una selección de alrededor de 200 obras del Museo de Arte Contemporáneo! ¿Dónde? Sede MAC Parque Forestal, a las 19.30hrs 
😻☺🏫",{u'count': 1},photo,,1
7,8,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-10-23 12:01:34,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_945542128825122,"{u'paging': {u'cursors': {u'after': u'MTAxNTQwNDI5NTE1MzcwODk=', u'before': u'MjQ0MzMxNDIyMjc5NTMz'}}, u'data': [{u'id': u'244331422279533', u'name': u'Fundación Itaú Chile'}, {u'id': u'10202952377866257', u'name': u'María Paz Valencia Leguía'}, {u'id': u'10152419761833882', u'name': u'Michael Zschweigert'}, {u'id': u'10202278788305977', u'name': u'Novaes Leti'}, {u'id': u'10154042951537089', u'name': u'Constanza Gebhard'}], u'summary': {u'total_count': 5}}","¿Has pensado en algún panorama para esta noche? 
Te proponemos ir a Museos de Medianoche entre las 18.00hrs a 00.00hrs y la entrada es liberada! 🏯😻😊",{u'count': 1},photo,,1
8,9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-10-22 12:11:42,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_945128892199779,"{u'paging': {u'cursors': {u'after': u'MTAxNTIzNzcyNTQ1MzkyNzU=', u'before': u'MTAxNTI4Mzc3OTA0ODkzODA='}}, u'data': [{u'id': u'10152837790489380', u'name': u'Joanna Helm'}, {u'id': u'10153246465665784', u'name': u'Antonella Castiglione'}, {u'id': u'244331422279533', u'name': u'Fundación Itaú Chile'}, {u'id': u'10206888651359976', u'name': u'Fabiola Lucia Flores'}, {u'id': u'10202805012900739', u'name': u'Patricio Alejandro'}, {u'id': u'525337657622225', u'name': u'Felipe Álvarez Orellana'}, {u'id': u'10152377254539275', u'name': u'Sofía Vitale'}], u'summary': {u'total_count': 7}}","¿Sabías que Vivian Maier viajó por el mundo retratándolo, con su cámara Rolleiflex? 🌄 📷 😻
Te invitamos a conocer a esta gran fotógrafa en nuestro Espacio ArteAbierto de Lunes a Viernes desde las 9 a 14 hrs. 
Entrada liberada.",{u'count': 1},photo,,1
9,11,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFEwTkRVNU5UZzFOakF3TURRek9qRTBORFV6TlRVNU9Uaz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFEwTkRVNU5UZzFOakF3TURRek9qRTBORFV6TlRVNU9Uaz0='}}, u'data': [{u'message': u'Hola, cuando la repiten? 🙏', u'from': {u'name': u'Patricio Alejandro', u'id': u'10202805012900739'}, u'id': u'944000628979272_944459585600043'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-10-19 15:17:33,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Itaú Chile', u'category_list': [{u'id': u'151676848220295', u'name': u'Education'}, {u'id': u'133436743388217', u'name': u'Arts & Entertainment'}], u'id': u'244331422279533'}",244331422279533_944000628979272,"{u'paging': {u'cursors': {u'after': u'MjQ0MzMxNDIyMjc5NTMz', u'before': u'MzMyODU4MjAwMTQwODI0'}}, u'data': [{u'id': u'332858200140824', u'name': u'MAC / Museo de Arte Contemporáneo'}, {u'id': u'10202805012900739', u'name': u'Patricio Alejandro'}, {u'id': u'10205055802132699', u'name': u'Marcela Meza'}, {u'id': u'10208360485912692', u'name': u'Muriel Lorca Puls'}, {u'id': u'10153395121552009', u'name': u'Ana Paula Aleixo'}, {u'id': u'10152287147977297', u'name': u'Caro Carrasco Cahis'}, {u'id': u'10152419761833882', u'name': u'Michael Zschweigert'}, {u'id': u'678726125572757', u'name': u'Judith Gomezharder'}, {u'id': u'244331422279533', u'name': u'Fundación Itaú Chile'}], u'summary': {u'total_count': 9}}","¿Ya conoces a Vivian Maier? Si quieres saber más sobre la fascinante historia de esta fotógrafa, puedes ver hoy el documental nominado al Óscar “Finding Vivian Maier""
22:00 hrs.  HBO",{u'count': 2},video,,1
