,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,polarity
0,0,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelUxTmpFd01qSXhNak00TnprNE9qRTBOVFExTWpjek16ST0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelUxTmpFd01qSXhNak00TnprNE9qRTBOVFExTWpjek16ST0='}}, u'data': [{u'message': u'Felicitaciones a todo vuestro equipo y colaboradores.', u'from': {u'name': u'Hache Arancibia', u'id': u'1028643233865330'}, u'id': u'755530261246794_755610221238798'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-02-03 14:54:10,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_755530261246794,"{u'paging': {u'cursors': {u'after': u'MTAyMDgwNTE2NzA3NTAxNTE=', u'before': u'MTAyMDMwNjk4Mzc4ODAxNDY='}}, u'data': [{u'id': u'10203069837880146', u'name': u'Rodrigo Mendoza Arancibia'}, {u'id': u'10153465977544938', u'name': u'Paquita DelasNavajas'}, {u'id': u'10208802395879464', u'name': u'Jenny Jara Rojas'}, {u'id': u'10205156001361238', u'name': u'Ingrid Aguilera'}, {u'id': u'10204986702886718', u'name': u'Macarena Paz Arellano Perez'}, {u'id': u'10153170607797202', u'name': u'Constanza Peña Arancibia'}, {u'id': u'10204452982098069', u'name': u'Daniela Juárez Arancibia'}, {u'id': u'577106232412913', u'name': u'Francisca Concha Miranda'}, {u'id': u'10206459726030524', u'name': u'Lissette Andrade Deboni'}, {u'id': u'10207034510214854', u'name': u'Melissa Fernanda Araneda Gonzalez'}, {u'id': u'674693875970815', u'name': u'Erica Moreno Gaete'}, {u'id': u'10208559751413178', u'name': u'Romina Paulette Hidalgo Bravo'}, {u'id': u'10208037704916932', u'name': u'Felipe Contreras Espinoza'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'10208051670750151', u'name': u'Karen Janet Fernandez Carcamo'}], u'summary': {u'total_count': 15}}",Registro de los alumnos en el inicio de los talleres prácticos del curso de Panadería y Pastelería del Curso Más Capaz Línea jóvenes con discapacidad del Sence que el IRV se encuentra ejecutando en el Liceo de turismo y gastronomía en Quilpué.,{u'count': 2},photo,1
1,1,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-21 14:10:46,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_749930718473415,"{u'paging': {u'cursors': {u'after': u'MTA5OTcwMjkxNjcyNDU4OA==', u'before': u'MTY4MzQzMDgzNTE3OTIz'}}, u'data': [{u'id': u'168343083517923', u'name': u'Discapacidad Quillota'}, {u'id': u'10205655821447802', u'name': u'Jorge Valdés'}, {u'id': u'10207807897336912', u'name': u'Ellie Jamett Rodriguez'}, {u'id': u'10153170607797202', u'name': u'Constanza Peña Arancibia'}, {u'id': u'577106232412913', u'name': u'Francisca Concha Miranda'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'944227512313551', u'name': u'Daniela Rojas G'}, {u'id': u'10206017351211652', u'name': u'Felipe Antonio Arancibia Olguin'}, {u'id': u'699269073523301', u'name': u'Liliana Henriquez Fonoaudiologia'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}], u'summary': {u'total_count': 10}}","Seguimos con el curso Más Capaz de Quilpué en el oficio de Panadería y Pastelería. Para conocer la gestión de IRV y los detalles desde la perspectiva de SENCE visita:

http://www.sence.cl/portal/Prensa/Noticias/5238:Linea-Discapacidad-del-programa-+Capaz-abre-oportunidades-laborales-en-Quilpue",{u'count': 4},link,1
2,2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-12 14:26:02,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_746060255527128,"{u'paging': {u'cursors': {u'after': u'MTAyMDQ5OTg2ODIxNzkwNjE=', u'before': u'MTAxNTM5MDYzODE2MTk5MTk='}}, u'data': [{u'id': u'10153906381619919', u'name': u'Francisco Alexis Espinosa Llanos'}, {u'id': u'752292194865525', u'name': u'Marimar Aurora Flores'}, {u'id': u'10204452982098069', u'name': u'Daniela Juárez Arancibia'}, {u'id': u'10204046371951129', u'name': u'Camii Rivas'}, {u'id': u'10203470824864801', u'name': u'Anita María Bernales Fernández'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}, {u'id': u'10153723965140159', u'name': u'Vita Herrera Munizaga'}, {u'id': u'10153170607797202', u'name': u'Constanza Peña Arancibia'}, {u'id': u'10206017351211652', u'name': u'Felipe Antonio Arancibia Olguin'}, {u'id': u'10207458173673881', u'name': u'Javiera Bravo Bastidas'}, {u'id': u'10204998682179061', u'name': u'David Guerra Suárez'}], u'summary': {u'total_count': 11}}",Inauguración +Capaz Quilpué con Corporación de Sordos de Valparaíso,{u'count': 7},photo,1
3,3,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelEyTVRReE9UZzRPRFV5TWpnNE9qRTBOVEkyTWpNNU1UVT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelEyTVRReE9UZzRPRFV5TWpnNE9qRTBOVEkyTWpNNU1UVT0='}}, u'data': [{u'message': u'Un gran comienzo para un gran proyecto!!!!!!', u'from': {u'name': u'Vicky Chamorro', u'id': u'10204854081208823'}, u'id': u'746040998862387_746141988852288'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-01-12 13:40:10,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_746040998862387,"{u'paging': {u'cursors': {u'after': u'MTAxNTM0MTE5Njg3MjM2Nzk=', u'before': u'MTAyODY0MzIzMzg2NTMzMA=='}}, u'data': [{u'id': u'1028643233865330', u'name': u'Hache Arancibia'}, {u'id': u'10203069837880146', u'name': u'Rodrigo Mendoza Arancibia'}, {u'id': u'752292194865525', u'name': u'Marimar Aurora Flores'}, {u'id': u'10204748464004014', u'name': u'Cecy Eugenia Jimenez Castillo'}, {u'id': u'674693875970815', u'name': u'Erica Moreno Gaete'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'10206038981826279', u'name': u'Luisa Oyarzun Carrasco'}, {u'id': u'10153723965140159', u'name': u'Vita Herrera Munizaga'}, {u'id': u'10207272023696282', u'name': u'Monica Flores Aranda'}, {u'id': u'10205655821447802', u'name': u'Jorge Valdés'}, {u'id': u'10153170607797202', u'name': u'Constanza Peña Arancibia'}, {u'id': u'10206380311123119', u'name': u'Leslyhe Vanessa Muñoz Quiroga'}, {u'id': u'692454090862323', u'name': u'Enrique Iván Mendoza Estrada'}, {u'id': u'10206331100057197', u'name': u'Cote Vera Quijanes'}, {u'id': u'10204452982098069', u'name': u'Daniela Juárez Arancibia'}, {u'id': u'10204237190109447', u'name': u'Francisca Letelier Paredes'}, {u'id': u'10153411968723679', u'name': u'Jennifer Puebla Romo'}], u'summary': {u'total_count': 17}}",Hoy comienza primer curso +Capaz Línea Jóvenes con Discapacidad en el Oficio de panadería y pastelería de IRV en Quilpué.,{u'count': 6},photo,1
4,4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-07 16:24:16,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_743681979098289,"{u'paging': {u'cursors': {u'after': u'MTAyMDYzMzExMDAwNTcxOTc=', u'before': u'MTA5OTYyNzcxNjczMzY5NQ=='}}, u'data': [{u'id': u'1099627716733695', u'name': u'Andrea Soledad Mejias Flores'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}, {u'id': u'10152412002461384', u'name': u'Ximena Rozas Torrejón'}, {u'id': u'10204998682179061', u'name': u'David Guerra Suárez'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'10206331100057197', u'name': u'Cote Vera Quijanes'}], u'summary': {u'total_count': 6}}","Ayer en evento para la primera entrega de ayudas técnicas del programa Vínculos del Ministerio de Desarrollo Social y Senadis V región en la comuna de Quillota. Proyecto que IRV ejecuta desde el año 2015, para la prescripción de entrega de ayudas técnicas de apoyo físico a adultos mayores de la Región de Valparaíso.",{u'count': 1},photo,1
5,5,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelF4TmpZM01UQTVNams1TnpjMk9qRTBOVEUzTlRNMU9EWT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOelF4TmpZM01UQTVNams1TnpjMk9qRTBOVEUzTlRNMU9EWT0='}}, u'data': [{u'message': u'Igual para Uds. Chicos!!!!!
Gracias!!!!!!!', u'from': {u'name': u'Vicky Chamorro', u'id': u'10204854081208823'}, u'id': u'741662229300264_741667109299776'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2016-01-02 16:44:36,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_741662229300264,"{u'paging': {u'cursors': {u'after': u'MTAyMDQ4NTQwODEyMDg4MjM=', u'before': u'MTUyODQ0Njg3NDA4MDY2MQ=='}}, u'data': [{u'id': u'1528446874080661', u'name': u'Ivonne Mondaca Jerez'}, {u'id': u'10206017351211652', u'name': u'Felipe Antonio Arancibia Olguin'}, {u'id': u'10204046371951129', u'name': u'Camii Rivas'}, {u'id': u'10205045062100030', u'name': u'María José Fuentes Montenegro'}, {u'id': u'10152412002461384', u'name': u'Ximena Rozas Torrejón'}, {u'id': u'10207458173673881', u'name': u'Javiera Bravo Bastidas'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}], u'summary': {u'total_count': 8}}","El equipo de IRV les desea un feliz año lleno de trabajo en comunidad y de logros con y para todos. Despedimos el 2015 esperanzados en que la inclusión por la que día a día trabajamos se puede alcanzar.

Feliz 2016!

(Foto creada por Susana Rivas, ilustradora IRV)",{u'count': 5},photo,1
6,6,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-30 14:52:17,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_740416606091493,"{u'paging': {u'cursors': {u'after': u'MTAyMDU0MzIxMjk1ODI2NDI=', u'before': u'MTAyMDYyNzAzNjU4NTU0OTY='}}, u'data': [{u'id': u'10206270365855496', u'name': u'Teru Valdivia Estay'}, {u'id': u'745084902259756', u'name': u'Claudia Eugenia Nuñez Muñoz'}, {u'id': u'10204998682179061', u'name': u'David Guerra Suárez'}, {u'id': u'10203069837880146', u'name': u'Rodrigo Mendoza Arancibia'}, {u'id': u'1099627716733695', u'name': u'Andrea Soledad Mejias Flores'}, {u'id': u'10204452982098069', u'name': u'Daniela Juárez Arancibia'}, {u'id': u'10153170607797202', u'name': u'Constanza Peña Arancibia'}, {u'id': u'10152892309729530', u'name': u'Lucia Bustamante'}, {u'id': u'10208051670750151', u'name': u'Karen Janet Fernandez Carcamo'}, {u'id': u'452769094853710', u'name': u'Luis San Martín'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}, {u'id': u'577106232412913', u'name': u'Francisca Concha Miranda'}, {u'id': u'10152771508962420', u'name': u'Su Per Rivas'}, {u'id': u'10206017351211652', u'name': u'Felipe Antonio Arancibia Olguin'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'10205047435604816', u'name': u'Raisa Alvarez'}, {u'id': u'10205432129582642', u'name': u'Andrea Miranda Veliz'}], u'summary': {u'total_count': 17}}","Ayer junto a ONG Paso a Paso, ONG Avanza, Casa Club y Senadis Valparaíso en lanzamiento de campaña inclusiva de ONEMI",{u'count': 2},photo,0
7,7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-22 19:51:25,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_736536279812859,"{u'paging': {u'cursors': {u'after': u'MTAyMDY0NTk3MjYwMzA1MjQ=', u'before': u'MTI5NzEzODQwMDMwMzYxMw=='}}, u'data': [{u'id': u'1297138400303613', u'name': u'Ni Mo'}, {u'id': u'10208051670750151', u'name': u'Karen Janet Fernandez Carcamo'}, {u'id': u'10152540631668903', u'name': u'Joedith Lopez'}, {u'id': u'10207571634068532', u'name': u'Nicolas Espinoza'}, {u'id': u'10204452982098069', u'name': u'Daniela Juárez Arancibia'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}, {u'id': u'10203069837880146', u'name': u'Rodrigo Mendoza Arancibia'}, {u'id': u'10208037704916932', u'name': u'Felipe Contreras Espinoza'}, {u'id': u'10207272023696282', u'name': u'Monica Flores Aranda'}, {u'id': u'10152771508962420', u'name': u'Su Per Rivas'}, {u'id': u'10206459726030524', u'name': u'Lissette Andrade Deboni'}], u'summary': {u'total_count': 12}}","Con esta imagen damos la bienvenida a una gran ilustradora a nuestro equipo de IRV, Susana Rivas, para conocernos y conocerla:

http://www.irvalpo.cl/#!quienes-somos3/cqnm",{u'count': 6},photo,1
8,8,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOek0xTVRjd09EVTJOakUyTURZNE9qRTBOVEExTlRJME5EVT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOek0wT0RZNE16TTVPVGM1TmpVek9qRTBOVEEwT0RNNU1qRT0='}}, u'data': [{u'message': u'La Florencia!! 😊👏', u'from': {u'name': u'Paulina Sanhueza Torres', u'id': u'10207122313714001'}, u'id': u'734827989983688_734868339979653'}, {u'message': u'Felicitaciones a Instituto de Rehabilitación de Valparaíso.....y gracias por compartir esta alegría de Flo y su familia......Bendiciones a la familia....', u'from': {u'name': u'Emerana Cuevas', u'id': u'10205306321959231'}, u'id': u'734827989983688_734931736639980'}, {u'message': u'Felicidades...k hermosa labor la k hacen?!!!!!', u'from': {u'name': u'Pablo Andr\xe9 C\xe1ceres Arancibia', u'id': u'10206964457611910'}, u'id': u'734827989983688_735170856616068'}], u'summary': {u'total_count': 3, u'order': u'chronological'}}",2015-12-18 21:44:29,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_734827989983688,"{u'paging': {u'cursors': {u'after': u'NTc3MTA2MjMyNDEyOTEz', u'before': u'MTAyMDY2MjYwMDU5MDkzNzA='}}, u'data': [{u'id': u'10206626005909370', u'name': u'Pame Ramírez Donoso'}, {u'id': u'10208330203440509', u'name': u'Alberto Vergara Flores'}, {u'id': u'10203069837880146', u'name': u'Rodrigo Mendoza Arancibia'}, {u'id': u'1117528541600455', u'name': u'Nicole Wagner Bobadilla'}, {u'id': u'1583372081950207', u'name': u'Trulus Lupre'}, {u'id': u'10152412002461384', u'name': u'Ximena Rozas Torrejón'}, {u'id': u'10206017351211652', u'name': u'Felipe Antonio Arancibia Olguin'}, {u'id': u'10205514573121220', u'name': u'Carlita Perez'}, {u'id': u'10204543732326968', u'name': u'Javiera Flores Zepeda'}, {u'id': u'10207115420340650', u'name': u'Natalia Muñoz'}, {u'id': u'10152717821471312', u'name': u'Paula Machado'}, {u'id': u'897542330360763', u'name': u'Laura Ester Zuñiga Herrera'}, {u'id': u'517569158378871', u'name': u'Marisela Rojas'}, {u'id': u'10206700483010300', u'name': u'Meilyn Fernández Acuña'}, {u'id': u'10205082908529484', u'name': u'Cristian Suarez'}, {u'id': u'10208559751413178', u'name': u'Romina Paulette Hidalgo Bravo'}, {u'id': u'10208903740895118', u'name': u'Tamara Janeth'}, {u'id': u'509528979216366', u'name': u'Marlis Fuchs'}, {u'id': u'10203282970652542', u'name': u'Maximiliano Andres Fernández'}, {u'id': u'10208614564059765', u'name': u'Vania Muñoz'}, {u'id': u'10152721884027777', u'name': u'Pame Muñoz'}, {u'id': u'10208322768247529', u'name': u'Madtzu Gaete'}, {u'id': u'10205826361877766', u'name': u'Daniela Neyra Valdivia'}, {u'id': u'10206158486933562', u'name': u'Paula Navarro Palomino'}, {u'id': u'10205555320864691', u'name': u'Nery Aileen'}, {u'id': u'10206453707801919', u'name': u'Loreto Olivares Araya'}, {u'id': u'10152807942271908', u'name': u'Paula Saavedra'}, {u'id': u'10208336320863577', u'name': u'Daniela Alejandra Arancibia Alvarado'}, {u'id': u'10205208134817313', u'name': u'Mauricio Alexis'}, {u'id': u'10204854081208823', u'name': u'Vicky Chamorro'}, {u'id': u'10208802395879464', u'name': u'Jenny Jara Rojas'}, {u'id': u'10203723956716507', u'name': u'Palin Pivet Erices'}, {u'id': u'10153967788052704', u'name': u'Bea Pereira'}, {u'id': u'10152423270978435', u'name': u'Sandra Briceño Baeza'}, {u'id': u'1019020078171349', u'name': u'Paulina Vega Caceres'}, {u'id': u'10153411968723679', u'name': u'Jennifer Puebla Romo'}, {u'id': u'10207122313714001', u'name': u'Paulina Sanhueza Torres'}, {u'id': u'10206172070522342', u'name': u'Emilia Lagunas'}, {u'id': u'10205357409312592', u'name': u'Carolina Palacios Ruz'}, {u'id': u'10208433637459670', u'name': u'Vale Alvarez'}, {u'id': u'253336834999105', u'name': u'Madee Miño Gómez'}, {u'id': u'10153204483518219', u'name': u'Camilo Lui-gi Osorio'}, {u'id': u'10152892093608039', u'name': u'Vieroshka Pino Vargas'}, {u'id': u'10153424242489861', u'name': u'Manecita Coq'}, {u'id': u'10204237190109447', u'name': u'Francisca Letelier Paredes'}, {u'id': u'10154850773520006', u'name': u'Javiera Conta Rojas'}, {u'id': u'10152671609663335', u'name': u'Janitza Fernandez'}, {u'id': u'10205539763037890', u'name': u'Carmen Gloria Cruz Molina'}, {u'id': u'10206270365855496', u'name': u'Teru Valdivia Estay'}, {u'id': u'10207458173673881', u'name': u'Javiera Bravo Bastidas'}, {u'id': u'10208107598305192', u'name': u'Danitaa Chavez'}, {u'id': u'10205264475432906', u'name': u'Tahía Franchesca Bugueño Gonzalez'}, {u'id': u'10205509701402745', u'name': u'Claudia Cuevas Godoy'}, {u'id': u'560977324057330', u'name': u'Felo Hernández Pizarro'}, {u'id': u'10208769827739352', u'name': u'Sebastián Rivera R'}, {u'id': u'1099702916724588', u'name': u'Catalina Aparicio'}, {u'id': u'10206038981826279', u'name': u'Luisa Oyarzun Carrasco'}, {u'id': u'10206294746508207', u'name': u'Nestor Pablo Medina Vega'}, {u'id': u'10205655821447802', u'name': u'Jorge Valdés'}, {u'id': u'10209000109588865', u'name': u'Francisca Yáñez'}, {u'id': u'10208051670750151', u'name': u'Karen Janet Fernandez Carcamo'}, {u'id': u'10153409997941475', u'name': u'Constanza Paz Torres Guzmán'}, {u'id': u'10205249454733050', u'name': u'Vanessa Martínez Adriazola'}, {u'id': u'10204452982098069', u'name': u'Daniela Juárez Arancibia'}, {u'id': u'893825490659305', u'name': u'Carolina Alejandra Fuentes Sepulveda'}, {u'id': u'10205473866070666', u'name': u'Marisol Noemy Aedo Diaz'}, {u'id': u'10207272023696282', u'name': u'Monica Flores Aranda'}, {u'id': u'10204937229325432', u'name': u'Gabriela Constanza Velasco Moncada'}, {u'id': u'10203368347668636', u'name': u'Everly Nicole Nuñez'}, {u'id': u'577106232412913', u'name': u'Francisca Concha Miranda'}], u'summary': {u'total_count': 71}}","Flo tiene 3 años y nació prematura y con Hipoacusia unilateral, por las características de su pérdida auditiva no pudo obtener un beneficio en alguna modalidad especial. Gracias a una donación de Solar Ear que pudimos destinar a ella, oirá completamente!

En IRV compartimos su felicidad y la de su familia!",{u'count': 8},photo,1
9,9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-12-18 14:16:47,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Instituto de Rehabilitación de Valparaíso', u'id': u'308543909278767'}",308543909278767_734674103332410,"{u'paging': {u'cursors': {u'after': u'Nzk5MzEzNzkzNTEzNjcw', u'before': u'Nzk5MzEzNzkzNTEzNjcw'}}, u'data': [{u'id': u'799313793513670', u'name': u'Joaquin Ortega Raggio'}], u'summary': {u'total_count': 1}}","Informamos que se encuentran abiertas las inscripciones para los cursos que IRV impartirá pertenecientes al programa Más Capaz del Sence. SOLO PARA PERSONAS EN SITUACIÓN DE DISCAPACIDAD.

Inscripciones acá:

http://www.irvalpo.cl/#!ms-capaz/c1uxq

Si tienes dudas o presentas alguna dificultad al momento de inscribirte no dudes en llamarnos o escribirnos: social@irvalpo.cl - 032 2599775",{u'count': 1},link,0
