,Unnamed: 0,comments,created_time,from,id,likes,content,shares,type,polarity
0,0,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-22 15:57:34,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1064730653587899,"{u'paging': {u'cursors': {u'after': u'MTAyMDQzMTYyMDM3NDM2NTU=', u'before': u'MTAxNTI3Mjk1OTk2MzY1MDc='}}, u'data': [{u'id': u'10152729599636507', u'name': u'Cristian Vallejos'}, {u'id': u'10204316203743655', u'name': u'Paola Andrea Guerrero Guerrero'}], u'summary': {u'total_count': 2}}","VEN A CONOCER MI BARRIO Y APROVECHA DE VER LA ORQUESTA SINFÓNICA INFANTIL Y JUVENIL CORMUVAL EL MARTES 26 ALAS 20HRS EN LA MATRIZ, COMPARTAN,COMPARTAN",,photo,1
1,1,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-22 15:51:05,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1064729056921392,"{u'paging': {u'cursors': {u'after': u'ODgxNjY5NjI4NTMzODYw', u'before': u'ODgxNjY5NjI4NTMzODYw'}}, u'data': [{u'id': u'881669628533860', u'name': u'Oscar Saavedra Puente'}], u'summary': {u'total_count': 1}}","BARRIO PUERTO,MARTES 26 DE ENERO, 20HRS FRONTIS PARROQUIA LA MATRIZ, VEN A CONOCER MI BARRIO",,photo,0
2,2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-22 15:49:26,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1064728563588108,"{u'data': [], u'summary': {u'total_count': 0}}","VEN A CONOCER MI BARRIO Y APROVECHA DE VER LA ORQUESTA SINFÓNICA INFANTIL Y JUVENIL CORMUVAL EL MARTES 26 ALAS 20HRS EN LA MATRIZ, COMPARTAN,COMPARTAN",,status,1
3,3,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-19 00:48:54,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1062913050436326,"{u'paging': {u'cursors': {u'after': u'MTAxNTI3Mjk1OTk2MzY1MDc=', u'before': u'MTAxNTI3Mjk1OTk2MzY1MDc='}}, u'data': [{u'id': u'10152729599636507', u'name': u'Cristian Vallejos'}], u'summary': {u'total_count': 1}}","MUSICA: ESTE 26 DE ENERO LA ORQUESTA SINFÓNICA INFANTIL Y JUVENIL CORMUVAL SE PRESENTA EN EL BARRIO PUERTO, QUE TAL? TODOS BIENVENIDOS!!!! AYUDEN A DIFUNDIR Y RECUERDEN NUESTRO LLAMADO ""VEN A CONOCER MI BARRIO""",{u'count': 2},photo,1
4,4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2016-01-17 23:12:49,"{u'name': u'Panchita Guerrero', u'id': u'10207234339447141'}",559037650823871_1062350373825927,"{u'data': [], u'summary': {u'total_count': 0}}",a que hora comienza cevas y en que lugar ? porfa necesito la información mañana se supone que comienza  gracias,,status,1
5,5,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEExT0RFM05EZ3lOREkwTXpRNE1qb3hORFV5TXpjM01qUXc=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEExT0RFM05EZ3lOREkwTXpRNE1qb3hORFV5TXpjM01qUXc='}}, u'data': [{u'message': u'A mi me gustaría ser monitora', u'from': {u'name': u'Magdalena Del Carmen Santiba\xf1ez Leiva', u'id': u'647511578721693'}, u'id': u'1057125124348452_1058174824243482'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2016-01-07 20:28:29,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1057125124348452,"{u'paging': {u'cursors': {u'after': u'NjQ3NTExNTc4NzIxNjkz', u'before': u'NjQ3NTExNTc4NzIxNjkz'}}, u'data': [{u'id': u'647511578721693', u'name': u'Magdalena Del Carmen Santibañez Leiva'}], u'summary': {u'total_count': 1}}",AMIGOS NOS FALTAN 4 MONITORES PARA CEVAS LOS INTERESADOS ESCRIBIR A corporacionlamatriz@gmail.com O COMUNICARSE POR ACÁ ENVIÁNDONOS SUS DATOS PARA CONTACTARNOS CON USTEDES,,status,1
6,6,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-07 14:55:17,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1056994717694826,"{u'paging': {u'cursors': {u'after': u'MTAyMDQ4MzI5NjE0OTc4MDk=', u'before': u'MTAxNTMzMjAwMTM2NTU5NjU='}}, u'data': [{u'id': u'10153320013655965', u'name': u'Fiorella Velez Pepe'}, {u'id': u'10204832961497809', u'name': u'Sergio Manuel Miranda Rojas'}], u'summary': {u'total_count': 2}}","NUESTRO PROYECTO EMBLEMA ESTA DE CUMPLEAÑOS Y TIENE VIDA PARA HARTO RATO FELICITACIONES A SU LIDER Nicole Volantín Arredondo Fuentealba Y A TODO EL EQUIPO QUE TRABAJA PARA MANTENER UNA INICIATIVA NOTABLE, ESTOS SOM LOS VERDADEROS CAMPEONES DE AMERICA
https://www.youtube.com/watch?v=v7XC8V5rjOk",,video,1
7,7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-07 14:37:42,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1056987967695501,"{u'paging': {u'cursors': {u'after': u'MTAyMDcyMzQzMzk0NDcxNDE=', u'before': u'MTAyMDcyMzQzMzk0NDcxNDE='}}, u'data': [{u'id': u'10207234339447141', u'name': u'Panchita Guerrero'}], u'summary': {u'total_count': 1}}","Quieres saber lo que es CEVAS? Mira acá https://www.youtube.com/watch?v=ajAMNkoaiJU …
INSCRIBETE",,video,1
8,8,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEEyTURJeU1EazVOREF6T0RnMk5Ub3hORFV5TnpBMk1UQXk=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZNVEEyTURJeU1EazVOREF6T0RnMk5Ub3hORFV5TnpBMk1UQXk='}}, u'data': [{u'message': u'y los horarios cuando', u'from': {u'name': u'Panchita Guerrero', u'id': u'10207234339447141'}, u'id': u'1056548507739447_1060220994038865'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2016-01-06 18:32:11,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1056548507739447,"{u'paging': {u'cursors': {u'after': u'MTAyMDQzMTYyMDM3NDM2NTU=', u'before': u'MTAyMDcyMzQzMzk0NDcxNDE='}}, u'data': [{u'id': u'10207234339447141', u'name': u'Panchita Guerrero'}, {u'id': u'10207680821002443', u'name': u'Jessica Zamora'}, {u'id': u'886956857988689', u'name': u'Aida Giovana'}, {u'id': u'10204316203743655', u'name': u'Paola Andrea Guerrero Guerrero'}], u'summary': {u'total_count': 4}}","HORARIOS DE CEVAS SE PUBLICARAN ESTE LUNES 11
HORARIOS DE CEVAS SE PUBLICARAN ESTE LUNES 11
HORARIOS DE CEVAS SE PUBLICARAN ESTE LUNES 11
HORARIOS DE CEVAS SE PUBLICARAN ESTE LUNES 11
HORARIOS DE CEVAS SE PUBLICARAN ESTE LUNES 11",,status,1
9,9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-06 18:23:41,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Corporación La Matriz', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'559037650823871'}",559037650823871_1056545391073092,"{u'paging': {u'cursors': {u'after': u'MTAyMDUwMDEwMjkwODQwNjI=', u'before': u'MTAxNTI3MDEyMjYxNzY2NTI='}}, u'data': [{u'id': u'10152701226176652', u'name': u'Carla Gomez Boza'}, {u'id': u'10205001029084062', u'name': u'Francisco Bustamante'}], u'summary': {u'total_count': 2}}",ATENCIÓN VECINOS BARRIO PUERTO INVITACIÓN GRATUITA DE NUESTROS AMIGOS DE LA UNIVERSIDAD DE VALPARAISO DIFUNDANLO,{u'count': 2},photo,1
