,Unnamed: 0,A,date,C,D,content,polarity
0,0,687301659861585920,2016-01-13 15:54:19,1,1,"EMPEZANDO MUY BIEN EL AÑO!!! ADJUDICADO PROYECTO SENADIS ""La Escuela al Hogar"", para ofrecer instancias... https://t.co/sXsX52RN0D",1
1,1,677216169397481473,2015-12-16 19:58:11,0,0,"El 2015, ha sido un año donde queremos rescatar la confianza, el amor y el compromiso de todas nuestras familias,... https://t.co/mFCK62T49T",1
2,2,677215308021686276,2015-12-16 19:54:46,0,0,"El 2015 fue un año con algunas complicaciones, pero juntos como Familia hemos podido sobrellevar, aún nos quedan... https://t.co/xSicpzlFY5",0
3,3,676785246101225472,2015-12-15 15:25:51,0,0,"Familia ASPAUT:  Les recordamos que estamos en proceso de Matrículas para el año 2016, en entrega de los informes... https://t.co/d5KelQhuiL",1
4,4,675123487875457025,2015-12-11 01:22:37,0,0,"He publicado 135 fotos en Facebook en el álbum ""CAMPAMENTO 2015"". https://t.co/zrGwyNoi8g",1
5,5,673682221115564032,2015-12-07 01:55:32,1,1,@Senadis_Valpo gracias por acompañarnos en tan especial fiesta!!!,1
6,6,673681548458246144,2015-12-07 01:52:52,0,1,RT @Senadis_Valpo: Cierre proceso educativo - terapéutico de @CentroAspaut .Felicitaciones ! https://t.co/9jqVFg84Yf,1
7,7,673647412733460480,2015-12-06 23:37:13,0,0,"Reconocimiento a la Trayectoria, gracias Astrid Olea por 15 años de entrega en Centro Aspaut",1
8,8,673212266335084544,2015-12-05 18:48:06,0,0,La Conferencia de América Latina de IDA https://t.co/jb3iv8Zzig,1
9,9,672823933536702464,2015-12-04 17:05:00,0,0,"He publicado 384 fotos en Facebook en el álbum ""más acto fin año 2015"". https://t.co/8CaQLirbEI",1
10,10,672820933111975937,2015-12-04 16:53:05,0,0,"He publicado 384 fotos en Facebook en el álbum ""ACTO FINALIZACIÓN AÑO ESCOLAR 2015"". https://t.co/Mdxwzs2UIt",1
11,11,672613142090878976,2015-12-04 03:07:24,0,0,CELEBRANDO A NUESTRAS QUERIDAS SECRETARIAS VERONICA Y Gilda Lorena !!! SÓLO FALTAS TÚ Joeimi Beardesley Farias TE... https://t.co/HbY1xbPFYe,1
12,12,672174022755487744,2015-12-02 22:02:30,0,0,"Familia y Amigos:  Les recordamos que el Acto de Cierre de nuestro Año Escolar, es el día viernes 04 de Diciembre... https://t.co/NAkUJphPAN",1
13,13,669684170902343680,2015-11-26 01:08:43,0,0,"FELICES Y ORGULLOSOS DE UN NUEVO DESAFÍO, PROYECTO ADJUDICADO PARA POTENCIAR EL MICROEMPRENDIMIENTO DE SERVICIOS... https://t.co/3P6LuEeX6l",1
14,14,668874530627133441,2015-11-23 19:31:29,0,1,"He publicado 25 fotos en Facebook en el álbum ""Actividad Finalización Estimulación Sonora"". https://t.co/1wY3gzge8e",1
15,15,666976289178451969,2015-11-18 13:48:33,0,0,https://t.co/CX6rx8Gndi,1
16,16,663889050277969920,2015-11-10 01:20:58,0,0,"Antes que el día cierre sus ojitos para descansar y soñar, queremos hacer un alto para desear a nuestra psicóloga... https://t.co/HSlrqFs9v2",1
17,17,662984535710281728,2015-11-07 13:26:45,0,0,"He publicado 2 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/5SZMABB2go",1
18,18,662833993231032320,2015-11-07 03:28:33,0,0,"He publicado 6 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/oHbj3wac9m",1
19,19,662833990429208576,2015-11-07 03:28:32,0,0,"He publicado 6 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/D0YofnTQvI",1
20,20,662833987728105472,2015-11-07 03:28:32,0,0,"He publicado 4 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/OT1qtKbGa6",1
21,21,662833985119211521,2015-11-07 03:28:31,0,0,"He publicado 2 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/89aclhftTb",1
22,22,662833982300622848,2015-11-07 03:28:30,0,0,"He publicado 3 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/T7XRyXEGYD",1
23,23,662833979469512704,2015-11-07 03:28:30,0,0,"He publicado 2 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/FiZBzXIPsS",1
24,24,662833977049391104,2015-11-07 03:28:29,0,0,"He publicado 5 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/dazNpw62YK",1
25,25,662833974784475136,2015-11-07 03:28:29,0,0,"He publicado 2 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/ne7r0GVdRt",1
26,26,662833972049784832,2015-11-07 03:28:28,0,0,"He publicado 9 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/xqrlENUhKV",1
27,27,662833969302515712,2015-11-07 03:28:27,0,0,"He publicado 5 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/7o6JAQH6kW",1
28,28,662833965993205760,2015-11-07 03:28:27,0,0,"He publicado 3 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/nWnYdStogm",1
29,29,662833963963150336,2015-11-07 03:28:26,0,0,"He publicado 12 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/6NwoErDD59",1
30,30,662833961132023808,2015-11-07 03:28:25,0,0,"He publicado 7 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/9khIIrK5vK",1
31,31,662833959148105728,2015-11-07 03:28:25,0,0,"He publicado 6 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/q24NY0d6c5",1
32,32,662833956727992322,2015-11-07 03:28:24,0,0,"He publicado 5 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/p9MNhTQ7KQ",1
33,33,662833954073018369,2015-11-07 03:28:24,0,0,"He publicado 5 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/cDhHsr163x",1
34,34,662833951317352448,2015-11-07 03:28:23,0,0,"He publicado 4 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/OM4L5pFjJ1",1
35,35,662833948934987776,2015-11-07 03:28:22,0,0,"He publicado 3 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/Ofoizy2krc",1
36,36,662833946296741888,2015-11-07 03:28:22,0,0,"He publicado 5 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/9Vghy6ZIjp",1
37,37,662833944363143168,2015-11-07 03:28:21,0,0,"He publicado 9 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/4gg97Y5X1Q",1
38,38,662833942014402560,2015-11-07 03:28:21,0,0,"He publicado 6 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/13bRbV02bi",1
39,39,662833938726023168,2015-11-07 03:28:20,0,0,"He publicado 2 fotos en Facebook en el álbum ""OLIMPIADAS AUTISTICAS 2015!!!!!"". https://t.co/L70QK8zOvA",1
40,40,662833936230412288,2015-11-07 03:28:19,0,0,Publiqué una nueva foto en Facebook https://t.co/OvJRC2Sbld,1
41,41,662833933579591680,2015-11-07 03:28:19,0,0,Publiqué una nueva foto en Facebook https://t.co/cCiqJnvnpj,1
42,42,662833931293732864,2015-11-07 03:28:18,0,0,Publiqué una nueva foto en Facebook https://t.co/VGMIPSFesk,1
43,43,662833928626118656,2015-11-07 03:28:18,0,0,Publiqué una nueva foto en Facebook https://t.co/FNys6aGxks,1
44,44,662833925765615616,2015-11-07 03:28:17,0,0,Publiqué una nueva foto en Facebook https://t.co/XOTVa9Aj6z,1
45,45,662833922263416833,2015-11-07 03:28:16,0,0,Publiqué una nueva foto en Facebook https://t.co/rjdvgnxdd4,1
46,46,662833919352561664,2015-11-07 03:28:15,0,0,Publiqué una nueva foto en Facebook https://t.co/dsFC0SKrRy,1
47,47,662833916475269120,2015-11-07 03:28:15,0,0,Publiqué una nueva foto en Facebook https://t.co/rjvU6lAkdX,1
48,48,662833914193530880,2015-11-07 03:28:14,0,0,Publiqué una nueva foto en Facebook https://t.co/1N8G4RRz9R,1
49,49,662833911819591680,2015-11-07 03:28:14,0,0,Publiqué una nueva foto en Facebook https://t.co/U3TVbmi7Pp,1
50,50,662833909143576576,2015-11-07 03:28:13,0,0,Publiqué una nueva foto en Facebook https://t.co/mJf474MARc,1
51,51,662833907142930432,2015-11-07 03:28:12,0,0,Publiqué una nueva foto en Facebook https://t.co/jVfZwSXEdS,1
52,52,662833904378859520,2015-11-07 03:28:12,0,0,Publiqué una nueva foto en Facebook https://t.co/x6VRPVvJun,1
53,53,662833901547687936,2015-11-07 03:28:11,0,0,Publiqué una nueva foto en Facebook https://t.co/Adf1C5eD1Q,1
54,54,662833898494271489,2015-11-07 03:28:10,0,0,Publiqué una nueva foto en Facebook https://t.co/pvNVy0o03p,1
55,55,662833895625347072,2015-11-07 03:28:10,0,0,Publiqué una nueva foto en Facebook https://t.co/9D8NDmueho,1
56,56,662833892873867264,2015-11-07 03:28:09,0,0,Publiqué una nueva foto en Facebook https://t.co/J3jmNg3mlZ,1
57,57,662833890063699968,2015-11-07 03:28:08,0,0,Publiqué una nueva foto en Facebook https://t.co/9VoCFocEYv,1
58,58,662833887794589696,2015-11-07 03:28:08,0,0,Publiqué una nueva foto en Facebook https://t.co/EIvVQN7hLV,1
59,59,662833884883771392,2015-11-07 03:28:07,0,0,Publiqué una nueva foto en Facebook https://t.co/hDL7YHSEPm,1
60,60,662833882375593984,2015-11-07 03:28:07,0,0,Publiqué una nueva foto en Facebook https://t.co/Rh8Kgmqsnh,1
61,61,662833878520963072,2015-11-07 03:28:06,0,0,Publiqué una nueva foto en Facebook https://t.co/B7ckmdtEmM,1
62,62,656944431690461184,2015-10-21 21:25:32,0,0,"Familia ASPAUT:  Les recordamos que mañana jueves, tenemos nuestra Fiesta Zoo Aspaut, esto se realizará dentro de... https://t.co/SBDzH81U6q",1
63,63,654975051247153154,2015-10-16 10:59:55,0,0,"¡¡¡¡¡FELIZ DÍA A NUESTR@S MAESTR@S!! Gracias por su dulzura, amor, respeto y permanente compromiso hacia nuestros... http://t.co/RGPFYBCOYY",1
64,64,653905070879182848,2015-10-13 12:08:12,0,0,"Con un lindo sol llenando de bellas energías nuestras salidas de clases, comenzamos esta nueva semana en nuestro ASPAUT :)",1
65,65,649315787300319232,2015-09-30 20:12:02,0,0,"Familia! Se nos va Septiembre, mes cargado de celebraciones, colores e inicio de la primavera, esperamos que... http://t.co/EHd3QL8X20",0
66,66,649315680060354560,2015-09-30 20:11:36,0,0,"Famila! Se nos va Septiembre, mes cargado de celebraciones, colores e inicio de la primavera, esperamos que... http://t.co/icvGILvhc1",0
67,67,646312592538009600,2015-09-22 13:18:24,0,0,"ESTIMADOS Y ESTIMADAS, AGRADECEMOS COMPARTIR!!  Centro Aspaut requiere contrata de:  - Educadora o Educador... http://t.co/0KbcTqRy7H",1
68,68,643448152041910272,2015-09-14 15:36:08,0,0,"Familia Aspaut,  Les recordamos que las puertas de nuestras salas de clases se han tomado esta semana de receso... http://t.co/UjpqP0mGGo",0
69,69,642742264490520576,2015-09-12 16:51:12,0,0,"He publicado 194 fotos en Facebook en el álbum ""FIESTAS PATRIAS EN CENTRO ASPAUT 2015"". http://t.co/K7oNSHtcOt",1
70,70,642446257403875328,2015-09-11 21:14:58,0,0,"Familia y Amigos! Mañana a partir de las 10:00 de la mañana, los esperamos en nuestra Fonda 'Onde Pinto! Tenemos... http://t.co/yQqX5WthAB",1
71,71,641637456694112256,2015-09-09 15:41:05,0,0,"Familias: Recuerden, mañana nuestro colegio se viste de los colores de nuestra bandera y comenzamos a disfrutar... http://t.co/wHLG1Q4c9u",1
72,72,641637148261748737,2015-09-09 15:39:51,0,0,Familias:  Recuerden que los esperamos mañana a nuestro día de Juegos típicos a partir de las 11:00 de la mañana!... http://t.co/Dxzhek9ShS,1
73,73,641259656464211968,2015-09-08 14:39:50,0,0,"Familia y Amigos!!!!! Nos estamos preparando para este 18 con muchas actividades! El jueves 10 de Septiembre, los... http://t.co/hK03wLSZrM",1
74,74,639797474174070784,2015-09-04 13:49:39,1,0,Entrega de Módulo Donado por Marítima Valparaíso para implementar nuestro puesto de Ventas AMAsandería Centro... http://t.co/I4Jul8Wf06,1
75,75,639538990161502208,2015-09-03 20:42:31,0,0,"He publicado 39 fotos en Facebook en el álbum ""FORMACIÓN ADI-R 2015"". http://t.co/Aby7A9036S",1
76,76,638726806699307008,2015-09-01 14:55:12,1,0,Segunda jornada ADIR,1
77,77,638434995632230400,2015-08-31 19:35:39,0,0,http://t.co/7l0PCv8Qvb,1
78,78,638434547504431104,2015-08-31 19:33:52,0,0,"He publicado 38 fotos en Facebook en el álbum ""SEGUNDA Y TERCERA JORNADA ADOS 2"". http://t.co/JcX37rKJzW",1
79,79,638395566637064192,2015-08-31 16:58:58,0,0,"He publicado 62 fotos en Facebook en el álbum ""SEGUNDA Y TERCERA JORNADA ADOS 2"". http://t.co/wqPSVIwHMA",1
80,80,638387731958222848,2015-08-31 16:27:50,0,0,"He publicado 50 fotos en Facebook en el álbum ""SEGUNDA Y TERCERA JORNADA ADOS 2"". http://t.co/9JUHD7YYq3",1
81,81,638378093833490432,2015-08-31 15:49:32,1,0,He publicado 111 fotos en Facebook http://t.co/hko0D49jZy,1
82,82,636756133571633152,2015-08-27 04:24:27,0,0,http://t.co/qreZ4LpZvq,1
83,83,636684981067218944,2015-08-26 23:41:43,0,0,"He publicado 34 fotos en Facebook en el álbum ""Primer día Formación Internacional ADOS-2"". http://t.co/JFuSZ6X1kU",1
84,84,635645710491385856,2015-08-24 02:52:01,0,0,SÁBADO 29!!!  INSCRIPCIONES EN: seminarioaspaut@gmail.com http://t.co/4AaSIyvcn5,1
85,85,635605017467179008,2015-08-24 00:10:19,0,2,"ESTIMADOS Y ESTIMADAS, AGRADECEMOS COMPARTIR!! Centro Aspaut requiere contrata de Educadora o Educador Diferencial... http://t.co/guUaBrdfuJ",1
86,86,628054573056401409,2015-08-03 04:07:33,0,0,@leonardofarkas estás tan cerca! en pié invitación para conocernos junto a nuestros niños con Autismo del @CentroAspaut (notable chaqueta!),0
87,87,626399794228011008,2015-07-29 14:32:03,0,2,"Junto al Seremi de Desarrollo Social Abel Gallardo , Directora Regional de Senadis Valparaíso Marisol Torres,... http://t.co/kA5fXtqMNw",0
88,88,626398143140233216,2015-07-29 14:25:29,0,4,"RT @Senadis_Valpo: En UCV radio con @dsocial_V, @CentroAspaut y familia conversando sobre los desafíos para la inclusión http://t.co/Sv2xOB…",1
89,89,626375515977457664,2015-07-29 12:55:35,0,0,"Amigos!, sintonicen radio UCV en el dial 103.5 o a través de la señal on line... http://t.co/07lkwM4djH",1
90,90,626009656230608896,2015-07-28 12:41:47,0,0,INSCRIPCIONES ABIERTAS!! SEMINARIO DE ACTUALIZACIÓN EN TEA ESTADO DE LA INVESTIGACIÓN EN EL DIAGNÓSTICO DEL... http://t.co/p7igxPY0DQ,1
91,91,625459301340086273,2015-07-27 00:14:52,0,0,BIENVENIDO SEGUNDO SEMESTRE!!!!  A NUESTRAS FAMILIAS Y NUESTRO QUERIDO EQUIPO TODA LA ENERGÍA Y ALEGRÍA PARA... http://t.co/0zj3PXrUKQ,1
92,92,621720105819459584,2015-07-16 16:36:38,0,0,"He publicado 24 fotos en Facebook en el álbum ""TIJERALES NUEVA CONSTRUCCIÓN!!!"". http://t.co/3D1H3zjPqt",1
93,93,621716016196943873,2015-07-16 16:20:23,0,0,"He publicado 3 fotos en Facebook en el álbum ""PASEO PROGRAMA DEPENDENCIA PROYECTO SENADIS"". http://t.co/46Mlne57Fr",1
94,94,621713129769144320,2015-07-16 16:08:55,0,0,"He publicado 173 fotos en Facebook en el álbum ""PASEO PROGRAMA DEPENDENCIA PROYECTO SENADIS"". http://t.co/HrQv0UzW5I",1
95,95,619942519690932224,2015-07-11 18:53:09,0,0,"Familia Aspaut! A disfrutar, descansar, regalonear y recargar energías en estas vacaciones de invierno!  Cerramos... http://t.co/1y5o4JdIm8",1
96,96,619941607832424448,2015-07-11 18:49:31,0,0,"Saludamos a todas las familias Aspaut, a disfrutar, descansar, regalonear y recargar energías en estas vacaciones... http://t.co/coyBM0p712",1
