,Unnamed: 0,A,date,C,D,content,polarity
0,0,697533712431476737,2016-02-10 21:32:51,0,0,Te invitamos a revisar el siguiente video de nuestro capitulo uno en la region de Tarapaca #EnterrenoJuntoATi... https://t.co/9dDZeCXlJV,1
1,1,696352376119279617,2016-02-07 15:18:38,0,0,https://t.co/hBnydoWld9 Te invitamos a ver el cuarto capítulo de nuestro programa #EnTerrenoJuntoATi  de la #ONGSOCIAL @ChilenoDecision,1
2,2,696352210410676224,2016-02-07 15:17:59,0,1,RT @Christobravo: https://t.co/47dh1ME2SV Te invitamos a ver el cuarto capítulo de nuestro programa #EnTerrenoJuntoATi  de la #ONGSOCIAL @C…,1
3,3,696351732633358336,2016-02-07 15:16:05,0,0,Atención  todas las organizaciones sociales. se habilita el fondo presidente de la república. fecha de... https://t.co/2MMYEWHwg7,0
4,4,696350538422681600,2016-02-07 15:11:20,0,0,Te invitamos a ver el cuarto capítulo de nuestro programa #EnTerrenoJuntoATi  de la #ONGSOCIAL #ChilenosconDecisión https://t.co/2CYxShSSNt,1
5,5,696138508541435905,2016-02-07 01:08:48,0,0,#Chilenoscondecisión#Atacama#en terrenojuntó ti https://t.co/VSQbEOqsfo,1
6,6,696137862379499520,2016-02-07 01:06:14,0,0,#chilenoscondecisión#atacama #en terreno juntó ati #en esta ocacion se le dio una tarde a los niños del salado... https://t.co/B4Mnpr48bB,0
7,7,696108255223881730,2016-02-06 23:08:35,0,0,parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama... https://t.co/A9ZgawOQLI,1
8,8,696107660798636032,2016-02-06 23:06:14,0,0,parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama... https://t.co/YSblJYFydW,1
9,9,696105147164966912,2016-02-06 22:56:14,0,0,parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama... https://t.co/cHiZgZP3s7,1
10,10,696094873435402244,2016-02-06 22:15:25,0,0,parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama... https://t.co/IWXKG306AU,1
11,11,696079510027034624,2016-02-06 21:14:22,0,0,parte de lo que hacemos a nivel nacional  #ChilenosconDecisión #ONGSOCIAL  #EnTerrenoJuntoATi #Tarapaca #Atacama... https://t.co/KVGkQVspHB,1
12,12,696031736199835648,2016-02-06 18:04:32,1,1,Sumate  y apoya nuestro trabajo social  #ChilenosconDecisión @ChilenoDecision #ONGSOCIAL… https://t.co/CTgunB2w9i,1
13,13,695557522242019328,2016-02-05 10:40:10,0,0,https://t.co/hBnydoWld9  Te invitamos a ver nuestro capítulo  #4 de #EnTerrenoJuntoATi de la #ONGSOCIAL... https://t.co/BwZK8w15cF,1
14,14,695483772565921792,2016-02-05 05:47:07,0,0,"Nuestro equipo de Chilenos con Decision Region Metropolitana, tuvo la oportunidad de compartir una mañana... https://t.co/qmJBkyFxEJ",1
15,15,695423537947881478,2016-02-05 01:47:46,0,0,AYÚDENNOS con esta campaña Chilenos con Decisión Atacama. Necesitamos útiles escolares. 61696844 @solangesolar https://t.co/ebnK7nqi5H,0
16,16,695386511307485189,2016-02-04 23:20:38,1,1,#ChilenosconDecisión #ONGSOCIAL apoya a la pequeña  #Emily en la campaña #FarkasAyudaEmily @leonardofarkas https://t.co/nU540K2yIM,1
17,17,695386043193778177,2016-02-04 23:18:47,0,0,Nuestra #ONGSOCIAL #ChilenosconDecisión apoya a la pequeña Emily  en su proceso de lucha y mejora con su... https://t.co/7bKzvakNpQ,1
18,18,695061601620201473,2016-02-04 01:49:34,0,0,Hola AYUDENMOS con esta nueva campaña con la ONG Chilenos Con Decisión Atacama. Si van a comprar la lista de... https://t.co/6bFbD0seNe,1
19,19,695042495416307712,2016-02-04 00:33:38,0,0,nuestro Coordinador de la región metropolitana Claudio Cava junto a nuestro presidente  Christopher Bravo Ramirez... https://t.co/0a2qN8MXIw,1
20,20,694975488960417794,2016-02-03 20:07:23,0,0,#ChilenosConDecisión #Araucania #ONGsocial #EnTerrenoJuntoaTi https://t.co/3rPQ6e1RQk,1
21,21,694974987158077443,2016-02-03 20:05:23,0,0,#ChilenosConDecisión #Araucania #ONGsocial #EnTerrenoJuntoATi https://t.co/S6LagJwObd,1
22,22,694922614943289344,2016-02-03 16:37:17,0,0,#chilenoscondecision#CHAÑARAL#ENTERRENOJUNTOATI# ESTARÁ ESTE SÁBADO CON UNA TARDE DE PISCINAS Y UNA COMPLETADA... https://t.co/yFAJjeBd2s,1
23,23,694670736015888390,2016-02-02 23:56:24,0,0,Hola comenzamos nuestra nueva campaña con la Ong Chilenos Con Decisión Atacama.  Si van a comprar la lista de... https://t.co/naR0R0eY5M,1
24,24,694215642539364352,2016-02-01 17:48:01,0,0,Con unos amigos desde Bolivia acompañando en la entrega de cartas a las librerías gracias Chiquinquirá y Marcos... https://t.co/Gww16v1pEO,1
25,25,693797211080122368,2016-01-31 14:05:19,0,0,"Junto a la Presidenta de la Unión Comunal de Temuco, luego de nuestra reunión  e inicio  de alianza de trabajo en... https://t.co/8rAjCGGj6P",1
26,26,693517794395164676,2016-01-30 19:35:01,0,0,Hola!!! seguimos apoyando a esta pequeña luchadora. @todos apadrinemos a Emily Vergara. Necesitamos que suban... https://t.co/DVn2cadn3n,1
27,27,693490931350249472,2016-01-30 17:48:17,0,0,Ahora nuestro equipo de #ChilenosconDecisión  #Araucania en la plaza de Temuco  entregando perritos en adopción... https://t.co/B5NDOlUjPY,1
28,28,693252232649777152,2016-01-30 01:59:46,0,0,nuestro presidente Christopher Roberto Bravo Ramirez inicia viaje #EnTerrenoJuntoATi  junto al equipo de... https://t.co/Nf0L2mJTkR,1
29,29,693057014243672065,2016-01-29 13:04:03,0,0,El día sábado 30 de enero nuestro equipo de #ChilenosConDecision #Araucania estará regalando perritos en la plaza... https://t.co/EWJfLST5xz,1
30,30,692414120948338688,2016-01-27 18:29:25,0,0,"Hola!!!! Si eres solidario, actuas por tratar de mejorar un poquito más este mundo, eres de las personas que de... https://t.co/wYBj8xOFHD",0
31,31,691609388667240449,2016-01-25 13:11:42,0,0,Todos invitados  a ver el Capítulo  3 de nuestro programa Social #EnTerrenoJuntoATi de #ONGSOCIAL... https://t.co/Q8eu8SfQ2K,1
32,32,691600604607619072,2016-01-25 12:36:48,0,0,"Presentamos nuestro tercer capitulo en la Region de Atacama. Nuestro equipo social estuvo en Copiapo,... https://t.co/lOmFM5Yon4",1
33,33,691558345765974017,2016-01-25 09:48:52,0,0,"Presentamos nuestro tercer capitulo en la Region de Atacama. Nuestro equipo social estuvo en Copiapo,... https://t.co/RdfElclSsB",1
34,34,691000981627224068,2016-01-23 20:54:06,0,0,hoy vivimos una hermosa jornada en el zoologico metropolitano junto al equipo de #ChilenosconDecisión... https://t.co/tdbN6n7B69,1
35,35,690920749083795457,2016-01-23 15:35:17,0,0,Ahora nuestro equipo de #ChilenosconDecisión #Metropolitana  junto a las niñas del hogar San Francisco de Regis.... https://t.co/WJJw2AfBdj,1
36,36,690637354160230400,2016-01-22 20:49:11,0,0,"He publicado 83 fotos en Facebook en el álbum ""PASEO ABUELITOS PADAM TIERRA AMARILLA - COPIAPÓ"". https://t.co/ti1tGkVTCl",1
37,37,689978750658822149,2016-01-21 01:12:07,0,1,Nuestro equipo de #ChilenosconDecisión #LosLagos trabajando en proyectos sociales para su comunidad en la isla de... https://t.co/qEayDWeAkd,1
38,38,688905614584614912,2016-01-18 02:07:52,0,1,URGENTE!!!!  CAMBIO DE FECHA DEL PASEO DE LOS ABUELITOS PARA EL JUEVES 21 DE ENERO. Necesitamos ayuda para... https://t.co/wtKMNMMQxz,1
39,39,688535118189846532,2016-01-17 01:35:39,1,0,Hoy durante nuestra actividad para los niños del campamento en #Chañaral  el gran equipo de #ChilenosconDecisión... https://t.co/zXn5Y8TDfs,1
