,Unnamed: 0,A,date,C,D,content,polarity
0,0,694654679431643140,2016-02-02 22:52:36,0,7,RT @casiopeadelmar: Barrio La Matriz de Valparaíso 1955 @CorpLaMatriz https://t.co/PO4lav0I67,1
1,1,693064325435535360,2016-01-29 13:33:06,0,2,RT @GonzaloBravo15: Una entrevista que da cuenta del esfuerzo de Corfo y la Corporación La Matriz en el Barrio Puerto de Valparaíso: https:…,1
2,2,692787163080069120,2016-01-28 19:11:45,0,1,"Entrevista ""Hablemos Hoy"" al Padre Gonzalo Bravo y Héctor Leiva, subdirector de CORFO Valparaíso  https://t.co/lI8lPjzMkG",1
3,3,692338161813446657,2016-01-27 13:27:35,1,0,TODO UN ÉXITO EL CONCIERTO DE AYER EN LA MATRIZ. FELICITACIONES A LA ORQUESTA INFANTIL Y JUVENIL @cormuval   https://t.co/GNtpN0nZgo,1
4,4,692087770077138945,2016-01-26 20:52:37,0,1,"AÚN TIENES TIEMPO, VEN A ESCUCHAR A LA SINFÓNICA INFANTIL JUVENIL EN LA MATRIZ. ¡TE ESPERAMOS A LAS 20:00 HRS! https://t.co/i2f6SVkqV8",0
5,5,692071297388548096,2016-01-26 19:47:10,0,5,RT @comunidadpucv: PUCV desarrolla innovadora ruta turística en el barrio La Matriz de Valparaíso - #PUCV https://t.co/ezbBttpISe,1
6,6,692067475228327936,2016-01-26 19:31:58,2,4,TE ESPERAMOS HOY A LAS 20:00 EN LA MATRIZ ¡NO TE LO PIERDAS! @punto7valpo @TeAmoValpo @RadioRecreoCL @soyvalparaiso https://t.co/dRPApc5p7L,0
7,7,691973491906736129,2016-01-26 13:18:31,2,3,HOY TE ESPERAMOS EN @LaMatrizIglesia CONCIERTO DE VERANO. ¡ENTRADA LIBERADA!  RT  @radio_festival @RadioStellaMari https://t.co/8lX2cWMvM7,1
8,8,691730303103209472,2016-01-25 21:12:10,4,4,"VEN A CONOCER MI BARRIO, MAÑANA ORQUESTA SINFÓNICA EN LA MATRIZ. @cormuval @punto7valpo @soyvalparaiso @TeAmoValpo https://t.co/coDtYeKa6y",0
9,9,690976663845392384,2016-01-23 19:17:29,0,1,"TENEMOS INVITACIONES PARA EL CONCIERTO, NO TE LO PIERDAS @TeAmoValpo @punto7valpo @radio_festival @RadioValparaiso https://t.co/28NKy20VIi",1
10,10,690563599463534592,2016-01-22 15:56:06,0,2,"VEN A CONOCER MI BARRIO.LA ORQUESTA  CORMUVAL SE PRESENTA EL MARTES 26 ALAS 20HRS EN LA MATRIZ,TE LO VAS A PERDER?RT https://t.co/QVbsoTFW61",1
11,11,690528731002204164,2016-01-22 13:37:33,0,3,¡TENEMOS INVITACIONES PARA EL CONCIERTO! VEN A LA PARROQUIA LA MATRIZ @RodrigoOgalde @ucvradio @radio_festival https://t.co/CFyY0RNdLU,1
12,12,690191596936101888,2016-01-21 15:17:54,1,2,VEN A BUSCAR TU INVITACIÓN EN LA PARROQUIA LA MATRIZ @TeAmoValpo @punto7valpo @laestrellavalpo @soyvalparaiso https://t.co/kQOaC18xto,0
13,13,689809458378182656,2016-01-20 13:59:25,0,0,TODOS A LA MATRIZ EL PRÓXIMO MARTES 26 A LAS 20 HRS.  https://t.co/PC2DGjCDVA,1
14,14,689803611656851456,2016-01-20 13:36:11,0,1,VEN A ESCUCHAR LA ORQUESTA INFANTIL Y JUVENIL CORMUVAL EN LA MATRIZ MARTES 26 A LAS 20:00 HRS @cormuval RT https://t.co/zBYKPe9kQT,1
15,15,689574752780980224,2016-01-19 22:26:47,1,1,VEN A MI BARRIO Y APROVECHA A VER LA ORQUESTA SINFÓNICA INFANTIL Y JUVENIL CORMUVAL EL MARTES 26 EN LA MATRIZ  https://t.co/RXKBCNd1Wu,1
16,16,689451022876413953,2016-01-19 14:15:07,1,1,VEN A CONOCER MI BARRIO Y APROVECHA VER EL CONCIERTO DE VERANO @ucvradio @UPLATV @soychilecl @Quintavision https://t.co/xhfpfKbSnb,1
17,17,689252160018735105,2016-01-19 01:04:55,1,0,REGALA UN RT Y VEN A CONOCER MI BARRIO @AgendaValpo @dsocial_V @senamavalpo @UOCT_Valpo @ValpoInterviene https://t.co/qOI4aFnHyg,1
18,18,689251576104513537,2016-01-19 01:02:36,1,6,REGALA UN RT Y VEN A CONOCER MI BARRIO @CorpLaMatriz @CongresoFm @mercuriovalpo @ucvradio @valparaiso @sientevalpo https://t.co/Lv902J12wr,1
19,19,689248884317618176,2016-01-19 00:51:54,0,0,"VEN A CONOCER MI BARRIO, 26 DE ENERO MÚSICA SINFÓNICA GRATIS, QUIEN VIENE? INVITEN A TODO EL MUNDO @radio_festival https://t.co/xF631wje3s",0
20,20,689246687882276864,2016-01-19 00:43:10,0,1,"DEL HIP HOP A LA MUSICA SINFÓNICA, RECUERDEN,""VEN A CONOCER MI BARRIO""  DIFUNDAN @twittcafechile @laestrellavalpo https://t.co/8Q3yGpzu9N",0
