,Unnamed: 0,A,date,C,D,content,polarity
0,0,698527839054929921,2016-02-13 15:23:09,0,2,"RT @DesafioChile: EMPRENDIMIENTO  El 5, 6 y 7 de enero se realizó la primera Feria Itinerante  Sustentable Desafío Emprendedor... https://t…",1
1,1,693945926122086401,2016-01-31 23:56:16,4,2,Revisa aquí la entrevista a nuestro Coordinador Regional @AlexandroCea cc @DesafioChile    https://t.co/oRtQQGG3Lm https://t.co/yrlQX1JXV5,1
2,2,693566954339241984,2016-01-30 22:50:22,0,1,"RT @DesafioChile: Sigue todas nuestras actividades y participa de ellas, suscribiéndote a nuestro newsletter https://t.co/UGtr8b73HW",1
3,3,691773365292507136,2016-01-26 00:03:17,0,3,"RT @AlexandroCea: Gran homenaje de @jmartinezvalpo a jóvenes universitarios voluntarios de Chile, los ""rotos chilenos"" de hoy https://t.co/…",1
4,4,691650727886856193,2016-01-25 15:55:58,0,1,"RT @DesafioChile: He publicado 42 fotos en Facebook en el álbum ""Exitoso Sunset Desafío"". https://t.co/spJ8GpmgPB",1
5,5,691650342413602816,2016-01-25 15:54:26,0,5,"RT @DesafioChile: Sigue todas nuestras actividades y participa de ellas, suscribiéndote a nuestro newsletter https://t.co/UGtr8b73HW",1
6,6,687793837461225472,2016-01-15 00:30:04,2,2,"SUNSET DESAFIO ¡El mejor atardecer del verano! 23 de enero, Club de Golf Cachagua. ¡No te lo puedes perder! https://t.co/tIEY6sapkK",1
7,7,687047958655856640,2016-01-12 23:06:12,1,1,Hoy nuestro Coordinador Regional @AlexandroCea compartiendo trozos de la historia de @DesafioChile en @PiensaTV https://t.co/5CtdWIdpfX,1
8,8,670054043226652672,2015-11-27 01:38:27,6,8,"Felicitamos a nuestro Coordinador Regional @AlexandroCea, uno de los 33 jóvenes líderes de la región @DesafioChile https://t.co/j1R40s4LWJ",1
9,9,669629291425103873,2015-11-25 21:30:38,2,2,"Avanza la reconstrucción de la escuela de Surf ""La boca"" de Concón. ¡Esperamos inaugurarla a mediados de diciembre! https://t.co/Tr5HoeiQ7P",1
