,Unnamed: 0,A,date,C,D,content,polarity
0,0,664870197531156484,2015-11-12 18:19:42,1,1,"📷 No te pierdas la clase magistral ""En torno a Vivian Maier, la fotógrafa revelada"" con Luis Poirot! 📝😊 https://t.co/HUaK1TAVGv",1
1,1,662618156603727872,2015-11-06 13:10:54,1,0,📷 ¿Sabias que Vivian Maier vino a Chile en 1957? Hazte parte de este descubrimiento y visita Espacio ArteAbierto! 🗻🌅 https://t.co/s6AxqWAJD8,1
2,2,662247306754990080,2015-11-05 12:37:16,0,5,"RT @Educacion2020: ¡Muy buenos días, ya comienza el lanzamiento de #MejoraLaTécnica! https://t.co/VpSryLepHO",1
3,3,661936041461489664,2015-11-04 16:00:25,2,1,Visita junto a tu familia o amigos la exhibición Colección MAC: Una Suma de Actualidades en #MACparqueforestal 🎨😀 https://t.co/MdBtOursHd,1
4,4,661641756283392000,2015-11-03 20:31:02,0,0,Colección MAC: Una Suma de Actualidades 29/10 - 29/01 de 2016 en #MACParqueForestal 🌇😍 https://t.co/XLJ4TjR9AV,1
5,5,661164577615400960,2015-11-02 12:54:53,1,1,¿Y tu ya viste el mundo desde la perspectiva de la fotógrafa Vivian Maier? Espacio ArteAbierto Lu-Vi de 9-14 hrs 📷🌇😍 https://t.co/tTUVdLUbon,1
6,6,659770044008816644,2015-10-29 16:33:31,1,1,"En Noviembre en el Centro Cultural de Las Condes actividades sobre el trabajo de Vivian Maier, todos invitados! 📷🌆 https://t.co/fUy3Z3wLtl",1
7,7,657287552026677249,2015-10-22 20:08:58,1,1,¿Algún panorama para la noche del Viernes? Mañana gratis @museomedianoche entre las 18.00 a 00.00 hrs. https://t.co/WTtT5gyv1D,1
8,8,629285596083695616,2015-08-06 13:39:12,0,3,RT @ItauCulturalArg: ¿Cómo se hace un #RelatoDigital con hipervínculos/videos/fotos? Presentamos la PLATAFORMA DE NARRATIVAS NO LINEALES ht…,1
9,9,617732297798905856,2015-07-05 16:30:31,0,0,Los autores de impactantes fotoreportajes se toman la pantalla de ¿Los artistas no saben hablar? 22:00 hrs @canalartv http://t.co/mloRD5WF7N,0
10,10,617136029267546112,2015-07-04 01:01:09,1,0,El Premio #ItaúCuentoDigital también tiene una categoría Sub 18 ¡Sube tu obra inédita y participa! http://t.co/yC8xDq2baw,0
