,Unnamed: 0,A,date,C,D,content,polarity
0,0,697953723415465990,2016-02-12 01:21:49,4,4,¡Gracias a sus besos nuestros niños podrán recibir útiles y uniformes escolares!  https://t.co/BHc4TjmOTl,1
1,1,697883799917608960,2016-02-11 20:43:58,1,0,@PaulaLuz5 @CostaneraCenter puedes ver todos las fotos en https://t.co/OHfrr3z4Pg Muchas gracias por la sugerencia,1
2,2,697880828576165893,2016-02-11 20:32:10,4,2,¡Con @CostaneraCenter estamos muy felices!Pasamos los 10 mil besos.Gracias a todo los #DonanteDeBesos que se sumaron https://t.co/dDyadNvEPy,1
3,3,697844524060639236,2016-02-11 18:07:54,0,2,RT @ensenachile: Apoya a @Laprotectora c esta campaña q transforma besos en útiles escolares #DonanteDeBesos -el EquipoECh ya se puso https…,1
4,4,697770296854630400,2016-02-11 13:12:57,2,1,¡Estamos a punto de llegar a la meta! Anímate y sube tu beso hoy con #DonanteDeBesos @CostaneraCenter ¡Vamos! https://t.co/7yeiUBMjkJ,0
5,5,697542257612845056,2016-02-10 22:06:48,0,45,RT @SoledadOnetto: Yo también soy #DonanteDeBesos para apoyar a @Laprotectora Participa tú también y gana! 😘❤️🐾 https://t.co/CCGLY0VOWk,1
6,6,697542222812684288,2016-02-10 22:06:40,1,1,@SoledadOnetto gracias por ayudarnos a llegar a los 10 mil besos para nuestros niños,1
7,7,697501996044193792,2016-02-10 19:26:49,2,1,Gracias amigos de @americasolidari por ayudarnos a sumar besos para nuestros niños #DonanteDeBesos @CostaneraCenter  https://t.co/3D13WeOk9P,1
8,8,697448135103291393,2016-02-10 15:52:48,0,9,"RT @CostaneraCenter: Les pedimos donar un beso, pero ellas quisieron entregar cuatro ¡Vamos por esos 10.000! Cada vez más cerca https://t.c…",1
9,9,697435466539397121,2016-02-10 15:02:27,0,4,RT @franzuazola: Soy #donantedebesos 😘😘 para ayudar a que los niños de @laprotectora reciban útiles escolares… https://t.co/x2YsEdXL0w,1
10,10,697422767352889344,2016-02-10 14:11:59,1,2,¡Estamos muy cerca de la meta! Gracias a los #DonanteDeBesos. Quedan 4 días para transformar besos en ayuda.¡Vamos! https://t.co/2QuAMeEWQ0,1
11,11,697237254486544384,2016-02-10 01:54:50,0,4,RT @LaCatitaAntilla: Yo también soy #DonanteDeBesos @CostaneraCenter @Laprotectora https://t.co/NhrbLsqMSL,1
12,12,697207386109513728,2016-02-09 23:56:08,0,1,@JimenaBenavide9 Sigue a @CostaneraCenter y sube una foto de un beso con un familiar o quien quieras con #DonanteDeBesos,0
13,13,697114283453366274,2016-02-09 17:46:11,2,4,Desde el extremo sur de Chile ellos donan sus besos a nuestros niños.Sumemos + #DonanteDeBesos @CostaneraCenter https://t.co/x7g26tqsq3,1
