,Unnamed: 0,A,date,C,D,content,polarity
0,0,699262763542118400,2016-02-15 16:03:29,0,0,Se abre convocatoria para terapeuta ocupacional en la comuna de Renca https://t.co/wo2pJ61G5l,1
1,1,699237845601533952,2016-02-15 14:24:28,0,0,Prensa FASIC - Enero 2016 - RESUMEN DERECHOS HUMANOS EN CHILE https://t.co/qYeyKplxcU,0
2,2,697074969193406465,2016-02-09 15:09:58,0,0,"Consuelo Piccioto, protestó por 30 años detrás de la Casa Blanca en el Campamento Vigilia por la Paz https://t.co/S9UsL5pGka",0
3,3,697072786834116609,2016-02-09 15:01:18,0,0,Conoce el Congreso Mundial contra el Gasto Militar en Berlín: Disarm! For a Climate of Peace.  https://t.co/zN8KJfcvAd,0
4,4,697072408327491584,2016-02-09 14:59:47,0,1,Conoce los detalles de la Campaña 2016 sobre el Día de Acción Global contra el Gasto Militar  https://t.co/mBiB7iBuwi,0
5,5,697069068814262273,2016-02-09 14:46:31,0,0,Critican permisividad en delitos contra los Derechos Humanos https://t.co/G0u6mnraK7,0
6,6,697067736736915457,2016-02-09 14:41:13,0,12,RT @inddhh: Organizaciones de la Sociedad Civil eligen a sus representantes en el Consejo del @inddhh https://t.co/EBTg8wrHBg,1
7,7,697067241989345280,2016-02-09 14:39:16,0,13,RT @inddhh: Justicia admite querella del INDH por torturas en cárcel de Puerto Montt https://t.co/aDwraZPm0b,1
8,8,697066312363810816,2016-02-09 14:35:34,0,0,¿En qué gastan 10 países sus impuestos? observa el gasto en defensa de EE.UU https://t.co/A6IcISWTW3,0
9,9,695691447559983104,2016-02-05 19:32:21,0,0,https://t.co/Qk4fRgxmiz PAIC Oscar Romero de Renca requiere contratar de coordinador/a.,1
10,10,694970363088887808,2016-02-03 19:47:01,0,0,PAI “Centro Mandela” de Vicuña requiere contratar Psicólogo https://t.co/jf99kUeHxZ,1
11,11,694922052525023232,2016-02-03 16:35:03,0,0,PPF Luis Pérez Aguirre de Concón requiere proveer el cargo de secretaria de 20 horas https://t.co/kdUPwWgKvb,1
12,12,694915763489087493,2016-02-03 16:10:03,0,0,PPF en San Felipe abre concurso público para proveer el cargo de psicólogo https://t.co/BkLlEIJ88u,1
13,13,692744437043204096,2016-01-28 16:21:59,1,1,https://t.co/dPUekZ7mnd PAIC de Renca abre concurso para proveer el cargo de Técnico en rehabilitación,1
14,14,692743849630945280,2016-01-28 16:19:38,0,1,https://t.co/RZRrDzi2dj PAIC Oscar Romero de Renca requiere contratar a Auxiliar de enfermería,1
15,15,692442866002628608,2016-01-27 20:23:38,1,0,"https://t.co/Ul02JU5ZR5 Más de 50 niños, niñas y jóvenes del PIE Akapacha de Arica celebran su egreso",0
16,16,692442378544795649,2016-01-27 20:21:42,0,1,https://t.co/ZBW6WjVfN9  Director de Serpaj Aysén participa en seminario “Declaremos ilegal la pobreza”,1
17,17,689126643957391360,2016-01-18 16:46:09,0,0,ASR de Limache abre postulaciones para contratar docentes y psicopedagogos https://t.co/b6DO4L8UMI,1
18,18,687621767536492545,2016-01-14 13:06:19,0,1,"Unidad de drogas San Antonio requiere contratar Psicólogo, Trabajador Social o Terapeuta Ocupacional https://t.co/FLm8VKaYYR",1
19,19,686710526781579264,2016-01-12 00:45:22,0,1,"Se abren postulaciones para el cargo de Asesor/a Técnico perteneciente a la Unidad de Drogas, Serpaj Valparaíso. https://t.co/rB8W7riTY1",0
20,20,686671553174593536,2016-01-11 22:10:30,0,0,"Se abren postulaciones para el cargo de Asesor/a de procesos terapéuticos de la Unidad de Drogas, Serpaj https://t.co/5rbnRC1rHU",1
21,21,686603816519766016,2016-01-11 17:41:20,0,0,PIE de Viña del Mar requiere contratar a profesional del área social o educacional https://t.co/bQjUPFsdcn,1
22,22,686528027153547265,2016-01-11 12:40:11,0,0,"Se abren postulaciones para el cargo de Asesor/a de procesos terapéuticos de la Unidad de Drogas, Serpaj https://t.co/qyt6GZUBgn",1
23,23,686528026365063168,2016-01-11 12:40:11,0,0,"Se abren postulaciones para el  cargo de Asesor/a Técnico perteneciente a la Unidad de Drogas, Serpaj Valparaíso. https://t.co/dCxky11JLi",0
24,24,685450410073698304,2016-01-08 13:18:07,0,1,"PAI de Quillota requiere contratar Técnico en Rehabilitación, Técnico en Enfermería o Técnico en Trabajo Social https://t.co/GmnHQA0Exe",0
25,25,685159034530435072,2016-01-07 18:00:18,0,0,Los Vilos: PAI Raúl Silva Henriquez requiere contratar Psicólogo https://t.co/GwD6LOmab8,1
26,26,685158860835975168,2016-01-07 17:59:36,0,0,PIE Miguel Woodward de Viña del Mar abre postulación para Trabajador/a Social https://t.co/ma2iphjJpU,1
27,27,685158210869837828,2016-01-07 17:57:01,0,0,PIE Miguel Woodward en Viña del Mar abre postulación para cargo de psicólogo https://t.co/i6p1fhIORp,1
28,28,684837470022856704,2016-01-06 20:42:31,0,0,PRM San Felipe requiere contratar Trabajador/a Social https://t.co/JSTzjpAJ9g,1
29,29,684837383557263361,2016-01-06 20:42:10,0,0,PRM San Felipe abre postulación para contratar Psicólogo/a https://t.co/SdEJGBqFUs,1
30,30,684837274920587265,2016-01-06 20:41:44,0,0,PIE Armonía de La Calera requiere contratar psicologo y/o trabajador social https://t.co/DgK6MhDvBT,1
31,31,684824024426373120,2016-01-06 19:49:05,0,0,Marcha Navideña Valparaíso: https://t.co/TUexpmolUm vía @YouTube,1
