,Unnamed: 0,A,date,C,D,content,polarity
0,0,699259323688620033,2016-02-15 15:49:49,0,1,RT @ECCMustakis: ¡No olviden que desde marzo pueden postular a nuestros cursos! Más info en https://t.co/GRLb6miltE https://t.co/UOXuBM4swg,1
1,1,697438199757537280,2016-02-10 15:13:19,0,0,¡Qué rica la #ColaciónEntretenida que preparamos en #Recoleta ! https://t.co/tGB74Ne7JG,1
2,2,697425209234690048,2016-02-10 14:21:42,1,0,"¡En el taller ""Mi Barrio, Mi Reino"" estamos todos dibujando Recoleta juntos! https://t.co/g6U7Autyvo",0
3,3,694914272934117377,2016-02-03 16:04:08,3,0,"¡Estamos disfrutando de ""Cuentos que los trae el viento"" en espacio IF Blanco Recoleta! https://t.co/kVOEe8NfHB",0
4,4,694896006731862016,2016-02-03 14:51:33,0,2,"RT @FabricadeMedios: ¡Ya se realiza el Taller ""Mi propia televisión"" en nuestra fábrica! Una entretenida iniciativa junto a @fundmustakis h…",0
5,5,694893542389477376,2016-02-03 14:41:45,0,1,"¡Ya comenzó nuestro taller ""Mi propia televisión"" junto a @FabricadeMedios en espacio Blanco IF #Recoleta ! https://t.co/mBwncQ9PfB",0
6,6,693829347254218752,2016-01-31 16:13:01,0,1,El #concurso de #teñido y #creatividad escolar #ColorearteChile abrió inscripciones https://t.co/35OwXPC1PV https://t.co/Y2Rua6aIyt,1
7,7,693104321836118017,2016-01-29 16:12:02,0,2,El #concurso de #teñido y #creatividad escolar #ColorearteChile abrió inscripciones https://t.co/35OwXPC1PV https://t.co/ElJnlGW3zm,1
8,8,692878137361719296,2016-01-29 01:13:15,0,2,RT @Educacion2020: CORTO: La Mensajera de la Muerte. Conoce el maravilloso trabajo de estudiantes sobre patrimonio de Arica https://t.co/AG…,1
9,9,692741950164742144,2016-01-28 16:12:06,0,0,El #concurso de #teñido y #creatividad escolar #ColorearteChile abrió inscripciones https://t.co/35OwXPC1PV https://t.co/apxfguwStn,1
10,10,692739819550695424,2016-01-28 16:03:38,1,0,Niños y niñas lideran festival con películas sobre el patrimonio de #Arica vía @Educacion2020 ;) https://t.co/RaRBIv5M6O,0
11,11,692723059451498496,2016-01-28 14:57:02,0,0,Los Mitos de la Región de Arica y Parinacota renacen de la mano del cine escolar 😃✌ https://t.co/A65XYpHzue https://t.co/iYMtQ48F10,1
12,12,692364374107881472,2016-01-27 15:11:44,1,2,El #concurso de #teñido y #creatividad escolar #ColorearteChile abrió inscripciones https://t.co/35OwXPkqYn https://t.co/Oqjyvz85c6,1
13,13,691998049543958528,2016-01-26 14:56:06,0,1,Los Mitos de la Región de Arica y Parinacota renacen de la mano del cine escolar 😃✌ https://t.co/A65XYpHzue https://t.co/EeWSqz04xP,1
14,14,691620650306396160,2016-01-25 13:56:27,3,1,Los Mitos de la Región de Arica y Parinacota renacen de la mano del cine escolar 😃✌ https://t.co/A65XYppYCG https://t.co/3UqF9uhniG,1
15,15,690613273159450625,2016-01-22 19:13:29,0,3,RT @cloebravo: Verano contando cuentos con @ECCMustakis peñalolen y centro cultural palacio la moneda https://t.co/LT6yIloA7h,1
16,16,690227392124751873,2016-01-21 17:40:08,0,4,RT @macabalart: ¿Qué hacer en el verano? Un dripping virtual @ZimMustakis @fundmustakis @artequinvina https://t.co/zG56uI1GgP,1
17,17,690157911805431808,2016-01-21 13:04:03,4,1,#PiensaExponencial y postula a la #beca #HerGlobalImpact por una pasantía en @singularityu https://t.co/JuiAHaWDlu https://t.co/rHn4fyTRqj,1
18,18,689979019001987076,2016-01-21 01:13:11,0,2,RT @sa_1World: Con el equipo @fundmustakis @1WorldSchools @abrenner_T1WNS https://t.co/VfchMDCSHf,1
19,19,689978954615234560,2016-01-21 01:12:56,4,3,Hoy estamos en el lanzamiento de la 3ra versión de la #beca #HerGlobalImpact 👌😉 https://t.co/yOviaXq1Lu,1
20,20,689845863355518977,2016-01-20 16:24:05,0,0,#ColorearteChile #concurso de #teñido y #creatividad abrió sus #inscripciones para el #2016 https://t.co/ldzhRMqfkX https://t.co/w9CcnJlGE0,1
21,21,689785455840079873,2016-01-20 12:24:02,0,0,#ColorearteChile #concurso de #teñido y #creatividad abrió sus #inscripciones para el #2016 https://t.co/ldzhRMqfkX https://t.co/c0doCD16q1,1
22,22,689587157598515200,2016-01-19 23:16:04,1,2,#ColorearteChile #concurso de #teñido y #creatividad abrió sus #inscripciones para el #2016 https://t.co/ldzhRMqfkX https://t.co/e8PdDxiENq,1
23,23,689587150824693760,2016-01-19 23:16:03,1,2,#ColorearteChile #concurso de #teñido y #creatividad abrió sus #inscripciones para el #2016 https://t.co/ldzhRMqfkX https://t.co/QS7NOeWipG,1
24,24,689450740830498816,2016-01-19 14:14:00,1,5,#ColorearteChile #concurso de #teñido y #creatividad abrió sus #inscripciones para el #2016 https://t.co/ldzhRMqfkX https://t.co/MsvwTn3iyK,1
25,25,689087375058665472,2016-01-18 14:10:07,0,0,Mira cómo cientos de personas #bailaron en #Valparaíso al ritmo del #Zorba #Griego  https://t.co/CYEjP352sq,0
26,26,688724973771309056,2016-01-17 14:10:04,1,1,Mira cómo cientos de personas #bailaron en #Valparaíso al ritmo del #Zorba #Griego  https://t.co/CYEjP352sq,0
27,27,688534842993176576,2016-01-17 01:34:33,0,4,"RT @ArtequinVina: ¿Sabes quien es Jackson Pollock? Pues recorre @ArtequinVina, descubre al gran artista y su colorido módulo virtual. https…",1
28,28,688377673731579906,2016-01-16 15:10:01,1,1,Mira cómo cientos de personas #bailaron en #Valparaíso al ritmo del #Zorba #Griego  https://t.co/CYEjP352sq,0
29,29,688137741809262593,2016-01-15 23:16:37,0,5,RT @victoriatapia: @fundmustakis @ficcionfantasia https://t.co/H2NrTYgOik,1
30,30,688136114683527172,2016-01-15 23:10:09,2,1,Mira cómo cientos de personas #bailaron en #Valparaíso al ritmo del #Zorba #Griego  https://t.co/CYEjP352sq,0
31,31,688046377100832768,2016-01-15 17:13:34,1,3,Finaliza capacitación de profesores de @coloreartechile en @inacap_cl con @Fmaradentro @Anilinas https://t.co/6q9wZ21Mos,1
32,32,687703643622129664,2016-01-14 18:31:40,0,3,RT @paticanales: #Conce vive el #emprendimiento @fundmustakis @ong_ae @gorebiobio @Corfo @clubdinnovacion @irockCL @CentroinnovaUC  https:/…,1
