,Unnamed: 0,A,date,C,D,content,polarity
0,0,699276983071588356,2016-02-15 16:59:59,0,5,RT @danielgreve: Hoy es el día internacional del #cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos,1
1,1,699275640978219008,2016-02-15 16:54:39,0,2,RT @rojazP: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora. Apoyemos a @Nuestros_Hijos 😃,1
2,2,699275621835341824,2016-02-15 16:54:34,0,2,RT @VidaBuena_Radio: Un reconocimiento a las familias que dan la lucha a diario  https://t.co/MNMDs8zry1,1
3,3,699275597571293186,2016-02-15 16:54:29,0,15,RT @lindorfovet: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos apoyemos con todo…,1
4,4,699275587739848704,2016-02-15 16:54:26,0,17,RT @jereisrael: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora 🙌 @Nuestros_Hijos https://t.co/Nnj…,1
5,5,699275568982945795,2016-02-15 16:54:22,0,1,RT @alecita727: @titiaguayo @Nuestros_Hijos Necesitamos que se apruebe la Ley para cuidar a nuestros hijos con enfermedad Grave y no peligr…,0
6,6,699275499097493506,2016-02-15 16:54:05,0,1,"RT @TrendsChile: Nuestros Hijos, @nuestros_hijos es ahora una tendencia en Chile https://t.co/Imga2HEqSm",1
7,7,699275484761300992,2016-02-15 16:54:02,0,12,RT @Juan_Luis16: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos,1
8,8,699252090250592257,2016-02-15 15:21:04,2,5,Día Internacional del Cáncer Infantil @Nuestros_Hijos  Actividad en plaza de la Constitución. https://t.co/irk70jr7Lv,1
9,9,699251657968902149,2016-02-15 15:19:21,0,3,"RT @TrendsSantiago: Nuestros Hijos, @nuestros_hijos es ahora una tendencia en #Santiago https://t.co/7cJVhggbBl",1
10,10,699248326399672320,2016-02-15 15:06:07,0,2,RT @SoledadZamorano: En @Nuestros_Hijos conoce las señales de advertencia del cáncer infantil. Hoy celebramos día mundial en La Moneda http…,1
11,11,699248250575052800,2016-02-15 15:05:48,0,2,RT @SoledadZamorano: Los niños de @Nuestros_Hijos se tomaron la Plaza de la Constitución para celebrar día mundial del cáncer infantil http…,1
12,12,699246689031426048,2016-02-15 14:59:36,0,2,RT @pau4_paula: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos 22:00 hrs #Enciend…,1
13,13,699244284676083712,2016-02-15 14:50:03,0,45,RT @pazbascu: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos,1
14,14,699244182708350976,2016-02-15 14:49:39,0,3,RT @titiaguayo: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos,1
15,15,699244157567680513,2016-02-15 14:49:33,0,2,"RT @FondoChile: Vicepresidenta de @Nuestros_Hijos publica columna en El Mercurio, donde se destaca proyecto apoyado por Fondo Chile https:/…",1
16,16,699244131403636736,2016-02-15 14:49:26,0,7,RT @lafernaramirez: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos 🙌 apoyemos est…,1
17,17,699244115603693568,2016-02-15 14:49:23,0,4,RT @PanchoDanobeiti: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos,1
18,18,699235316989890561,2016-02-15 14:14:25,0,12,RT @fimbowie: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos No dejemos de apoyar…,1
19,19,699233497286909953,2016-02-15 14:07:11,0,1,"RT @SoledadZamorano: En Día Mundial del Cáncer Infantil, Chile sí puede celebrar: 74% de los niños se recupera @Nuestros_Hijos @sesnaola",1
20,20,699233192381964288,2016-02-15 14:05:58,0,2,RT @Paloma_FRR: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos,1
21,21,699233091018231808,2016-02-15 14:05:34,0,1,RT @NADIABETTINA: @Rocaoficial @Nuestros_Hijos seguir luchando!  Aquí nadie se rinde!  Besos desde Barcelona 😘😘,1
22,22,699233064493432832,2016-02-15 14:05:28,0,17,RT @Rocaoficial: Hoy es el día internacional del cáncer infantil y en Chile el 74% de los niños se mejora @Nuestros_Hijos Besos y abrazos! …,1
23,23,699233027298353154,2016-02-15 14:05:19,0,14,"RT @solebacarreza: Hoy es el día internacional del cáncer infantil. En Chile, el 74% de los niños se mejora @Nuestros_Hijos",1
24,24,699209963474968577,2016-02-15 12:33:40,0,2,Más de 900 mil niños de todo el mundo han participado en la realización de esta canción https://t.co/MUDUsIIkqR https://t.co/iu9lap4Tgn,1
25,25,699205355054747649,2016-02-15 12:15:21,7,11,"En Día Mundial del Cáncer Infantil, Chile sí puede celebrar: 74% de los niños se recupera https://t.co/buNgcOEm37",1
26,26,699204440449032193,2016-02-15 12:11:43,4,0,"Cada día que pase, sólo puede ser mejor. Feliz inicio de semana le desean niños y colaboradores de @Nuestros_Hijos https://t.co/xovrw3hC59",1
27,27,699070128693051394,2016-02-15 03:18:01,0,2,RT @franauditora: La embarro la @pazbascu lo hizo excelente en @Bailando13 #BailandoEnamorados @PANCHOSAAVEDRA @sergiolagos,1
28,28,699070046677688320,2016-02-15 03:17:41,0,1,RT @CarolAlvo: La Paz Bascuñan representa a la Fundación Nuestros Hijos y con eso me basta para quererla,1
29,29,699069969955471360,2016-02-15 03:17:23,0,9,RT @Bailando13: ¡Felicitaciones @pazbascu! 👏 #BailandoEnamorados https://t.co/UnbIryHtP5,1
30,30,699069729634455552,2016-02-15 03:16:26,0,2,RT @ricardo_4891: Muy emocionante el baile de paz. Me erizo los pelos #Bailandoenamorados @Bailando13,1
31,31,699069603134205952,2016-02-15 03:15:56,0,17,"RT @Bailando13: Seca @pazbascu, podrías ser la Maddie Ziegler de @Adele #BailandoEnamorados https://t.co/3oVG1AWBCc",0
32,32,699069581852352512,2016-02-15 03:15:51,0,5,"RT @mariseka: Hablando demás el jurado, Se nota la exigencia y te superas a ti misma siempre, guapa @pazbascu La mejor #BailandoEnEl13 @Bai…",1
33,33,699069556510298113,2016-02-15 03:15:45,0,2,RT @nikonajle: @pazbascu  👏🏻👏🏻👏🏻👏🏻 #BailandoEnEl13,1
34,34,699069433185181696,2016-02-15 03:15:15,0,2,RT @NicolasLopez: Increible @pazbascu en #Bailando 👏🏻👏🏻👏🏻,1
35,35,699069324158443520,2016-02-15 03:14:49,0,3,RT @alisolgrafica: Se pasó!!! Seca @pazbascu ! Hermoso baile! #BailandoEnEl13 @PANCHOSAAVEDRA,1
36,36,699069293049311232,2016-02-15 03:14:42,0,2,"RT @durhazniiita: Me encanto el baile de la Paz, estuvo maravilloso!! @Bailando13 @PANCHOSAAVEDRA",1
37,37,699069229954367489,2016-02-15 03:14:27,0,2,"RT @MarleneDelRosa1: Que buena viene mi favorita @pazbascu ..es muy divertida @Bailando13 , @PANCHOSAAVEDRA dale mis saludos pliss",1
38,38,699069186639843328,2016-02-15 03:14:16,0,2,RT @arte_Yk: #bailando13 @PANCHOSAAVEDRA dile a la @pazbascu q la rompa como todas las anteriores!! Es seca!!,1
39,39,699068413449256961,2016-02-15 03:11:12,16,7,Gran presentación de nuestra @pazbascu y @panchochavez1 :-) &lt;3 #BailandoEnEl13  #BailandoEnamorados https://t.co/E8VR4KEm0j,1
40,40,699068379970347008,2016-02-15 03:11:04,0,1,RT @alicardozo7: @pazbascu hermoso baile junto a un gran bailarin  en #BailandoEnEl13  lo mejor en apoyo a @Nuestros_Hijos cariños de las @…,1
41,41,699063887010914304,2016-02-15 02:53:13,16,6,En @Nuestros_Hijos los amamos @pazbascu y @panchochavez1  Bailan con el corazón... Gracias amigos. :-) #BailandoEnEl13  #BailandoEnamorados,1
42,42,698938402855645184,2016-02-14 18:34:35,3,1,Esperando a @pazbascu y @panchochavez1 que nos deleiten @Bailando13  ¡Viva! Todo el respaldo de @Nuestros_Hijos https://t.co/MCtGTWy2wo,1
43,43,698599914738216962,2016-02-13 20:09:33,4,7,Lunes 15 de febrero: Día Internacional del Cáncer Infantil &lt;3 https://t.co/F6vCmHLyqt https://t.co/QubB3UhriR,1
44,44,698232090790330368,2016-02-12 19:47:57,0,0,@pazbascu Hola Paz! Nos puedes seguir para enviarte un DM? Gracias!,1
45,45,698115663550873605,2016-02-12 12:05:19,4,2,Sean felices: ¡es viernes! Desde @Nuestros_Hijos les agradecemos por acompañarnos y les enviamos un gran abrazo :-) https://t.co/X32w6Qxopa,1
46,46,697957658268143617,2016-02-12 01:37:27,3,2,"No bailarán gracias a su bien ganada inmunidad,pero nuestros corazones están con uds @pazbascu y @panchochavez1  @Bailando13 @Nuestros_Hijos",1
47,47,697742800788578305,2016-02-11 11:23:41,4,2,Brilla el sol en Fundación @Nuestros_Hijos  En la Casa de Acogida ya hay movimiento. :-) ¡Muy buen día para todos! https://t.co/QRwuebKWil,1
