,Unnamed: 0,A,date,C,D,content,polarity
0,0,223862013770743808,2012-07-13 19:30:37,0,0,Clínica Las Condes confirma Muerte Trinidad Gelfenstein http://t.co/yZle7jXg vía @Meganoticiascl,0
1,1,222600129797029889,2012-07-10 07:56:21,0,38,RT @thalia: Ta'cañon la levantada temprano!Help!/RT @GabrielSottero: @thalia deja tu los  #OjosDeHuevoDuro la bronca es levantarnos maña ...,1
2,2,222599560772587520,2012-07-10 07:54:05,0,120,RT @thalia: Ya!!! A dormir todos mis polluelos!Q si no mañana sera el club de #LosZombiesPapujados Los amo!!!!,1
3,3,222598801561624578,2012-07-10 07:51:04,0,0,Onemi Tarapacá confirma avistamiento de “luz llamativa” en cielos de Iquique http://t.co/hANE7khS vía @biobio,0
4,4,217645210073698308,2012-06-26 15:47:16,0,0,"Contra España, Cristiano renueva el duelo entre el Real y Barça Peru  http://t.co/8JAVVd0h vía @TerraPE",0
5,5,217644416398143488,2012-06-26 15:44:07,0,0,"Murió en Galápagos el 'Solitario George', la última tortuga de su especie http://t.co/VRfELPTg vía @uninoticias",0
6,6,217643274167533569,2012-06-26 15:39:34,0,0,Fuerte sismo de 6.6 en Rusia http://t.co/KCgVFj49 vía @uninoticias,0
7,7,217290663300055041,2012-06-25 16:18:25,0,0,En Argentina discapacitados se entrenan para guardias de seguridad http://t.co/84uIepno vía @msncl,1
8,8,216776035725873152,2012-06-24 06:13:29,0,0,Leche materna contra el sida http://t.co/tTvzWp98,0
9,9,215680894743220224,2012-06-21 05:41:47,0,0,Lanzaron la campaña kirchnerista para reformar la Constitución - Política - http://t.co/98LaLwMq http://t.co/OPOuAAh7 vía @perfilcom,1
10,10,215677565342449665,2012-06-21 05:28:33,0,0,Cierran el túnel internacional a Chile - Diario Los Andes http://t.co/JAyYMJU1,0
11,11,214971642852548608,2012-06-19 06:43:28,0,0,"""Con seguridad"" habrá réplicas del temblor que sacudió Mendoza - Diario Los Andes http://t.co/Nqbx14DV",1
12,12,214725223520546816,2012-06-18 14:24:17,0,0,Tembló fuerte en Mendoza - Diario Los Andes http://t.co/4ueO8RCW,0
13,13,214604881061888001,2012-06-18 06:26:05,0,0,Chiloé: Mucho más que un puente - http://t.co/JsoxuhN4 vía @canal13,0
14,14,210971996304060416,2012-06-08 05:50:18,0,0,Consejos para ahorrar http://t.co/qosotc6n vía @msncl,0
15,15,210787228467732482,2012-06-07 17:36:06,0,0,El 8 de junio muchos llevaremos una prenda del revés para contagiar la solidaridad. ¿Te apuntas? http://t.co/PRYyk2FJ,0
16,16,210779039139500033,2012-06-07 17:03:33,0,0,Sismo deja al menos 145 heridos en Perú :: El Informador http://t.co/gDQNjHYH vía @sharethis,0
17,17,207550546062753792,2012-05-29 19:14:40,0,0,"TERREMOTO MAGNITUD 5.8 DEJA AL MENOS 15 MUERTOS EN EMILIA ROMANA, ITALIA 29 MAYO 2012 | Gabe Hash http://t.co/XKbQPzSu",0
18,18,207548062749564928,2012-05-29 19:04:48,0,0,Aumentan a 15 las víctimas fatales del terremoto en Italia - http://t.co/dNYcmeoy vía @canal13,0
19,19,205570764903165952,2012-05-24 08:07:44,0,0,6 increíbles beneficios del consumo de jugo de naranja para tu salud http://t.co/C8LKkb3s vía @biobio,1
20,20,205544906717020161,2012-05-24 06:24:59,0,0,7 hábitos comunes a la hora de acostarte que te impiden dormir bien http://t.co/7Oww4GQi vía @biobio,1
21,21,198962195030212610,2012-05-06 02:27:38,0,0,México celebra el Día del Burro - http://t.co/wRMeTkh0 vía @canal13,1
22,22,192069753479757825,2012-04-17 01:59:32,0,0,"@mr_jers @KathySalosny Se supone que son especie protegida y sólo importa la lesión del ""monarca""!",1
23,23,188341062790688768,2012-04-06 19:03:03,0,0,Sube a 17 el número de muertos tras fuerte temporal en Argentina | Mundo | LA TERCERA http://t.co/saSbEb0E vía @latercera,0
24,24,181892698867904512,2012-03-19 23:59:33,0,0,"http://t.co/E3U8DclA Time ago, I met Alejandra here in Chile and we talk about the NGO that I preside. It would be great if we work...",0
25,25,180096933250088960,2012-03-15 01:03:49,0,0,La fruta y la verdura te hacen más atractivo http://t.co/EE3M6bxC vía @muyinteresante,0
26,26,180090378119151617,2012-03-15 00:37:46,0,0,Muertos y algunos daños causa un sismo de fuerte magnitud en México http://t.co/UyrnItew #CNNMex,0
27,27,179397945517539329,2012-03-13 02:46:17,0,8,RT @cnnchile: Las consecuencias de las precipitaciones en el sur del país http://t.co/EtyiEn6k,1
28,28,179397889326448640,2012-03-13 02:46:04,0,4,RT @cnnchile: Sepa qué es y cómo funciona la farmacogenómica http://t.co/vcn34ZRs,1
29,29,177573236853317633,2012-03-08 01:55:33,0,0,La desigualdad de género y la violencia presentes en el Día Internacional de la Mujer http://t.co/VwcvHhBa,1
30,30,177570726814027778,2012-03-08 01:45:35,0,0,"Fotos: La Carraca, Ave del Año 2012 - Cartel conmemorativo http://t.co/j9tf6zMM",1
31,31,177567033779691522,2012-03-08 01:30:54,0,0,¿Qué es una dieta equilibrada? http://t.co/derzZYAF vía @muyinteresante,0
32,32,170309318397276160,2012-02-17 00:51:20,0,0,Sorprendente registro de Chile es furor en internet - Terra Chile - #Terra  http://t.co/fldRxjOn vía @TerraChile,0
33,33,169939924802473984,2012-02-16 00:23:30,0,0,Organiza tu mente para organizar tu vida - Salud - http://t.co/JFgld9pU http://t.co/3R3gjaCz vía @CNNMex,1
34,34,169939704278560768,2012-02-16 00:22:37,0,0,6 tips para organizar tu mente y tu vida http://t.co/yax1dRrk #CNNMex,1
35,35,169939096368726016,2012-02-16 00:20:12,0,0,"Arquitectura al servicio de la felicidad, la misión de Ricardo Legorreta http://t.co/cD7tGJ3L vía @CNNMex",1
36,36,169938494205079552,2012-02-16 00:17:48,0,0,"Los mexicanos están entre los más felices del mundo, según un estudio http://t.co/GoJY3rg0 vía @CNNMex",1
37,37,169937673430110208,2012-02-16 00:14:33,0,0,Regeneran tejido del corazón con células madre del mismo paciente http://t.co/MUnXlBmg vía @CNNMex,0
38,38,169936888243830784,2012-02-16 00:11:26,0,5,RT @CNNMex: VIDEO: Cerca de 300 personas mueren en un incendio en una cárcel de #Honduras http://t.co/kY1SioaT,0
39,39,169936697461710848,2012-02-16 00:10:40,0,0,Un estudio revela que la malnutrición mata a 2.6 millones de niños al año http://t.co/4NlFNxdg #CNNMex,0
40,40,164155628422561793,2012-01-31 01:18:46,0,6,RT @cnnchile: Aún existe preocupación en Perú tras fuerte sismo http://t.co/NTOhqKsz,0
41,41,159419793663991808,2012-01-17 23:40:15,0,26,"RT @VicenteNunezP: Mercalli: La Serena y Coquimbo II, Vina del Mar y Valparaiso IV, Santiago III, Talca II",1
42,42,159418408180527106,2012-01-17 23:34:45,0,87,RT @VicenteNunezP: Sismo de Mediana Intensidad. Informacion preliminar Servicio Sismológico Universidad de Chile 5.8 Richter a 88 kms Oe ...,0
43,43,159418322092425217,2012-01-17 23:34:24,0,171,"RT @cnnchile: Ahora en CNN Chile: Sismo de 5,8 grados en escala de Richter en Illapel no constituye condiciones para tsunami según SHOA",1
44,44,159418283118964736,2012-01-17 23:34:15,0,57,"RT @onemichile: #ONEMI- Sismo de mediana intensidad en la regiones de Coquimbo, Valparaíso, Metropolitana y Maule. Mas Info:http://t.co/ ...",1
45,45,159418221806616577,2012-01-17 23:34:00,0,25,"RT @reddeemergencia: Sectores donde se percibio con mayor intensidad fue en Illapel, la ligua, Canela, Salamanca, los Vilos VI mercalli",1
46,46,158929005716848640,2012-01-16 15:10:02,0,0,Una ceremonia en Washington conmemora el cumpleaños de Martin Luther King http://t.co/C1lO1jTu vía @CNNMex,1
47,47,157307767244333057,2012-01-12 03:47:49,0,0,Tener coche y televisión es malo para el corazón http://t.co/nBV6dLyY vía @muyinteresante,0
48,48,156496970935058433,2012-01-09 22:06:00,0,34,RT @onemichile: Sismo de mediana intensidad se percibió entre Coquimbo y O'Higgins. Richter: 5.2. Epicentro: 36 kms al O de La Ligua. Má ...,1
49,49,156496068014649344,2012-01-09 22:02:24,0,0,91 km al O de Monte Patria: http://t.co/V93XrGwt,1
50,50,155860120557989890,2012-01-08 03:55:23,0,0,Sismo de menor intensidad remeció Arequipa en Perú http://t.co/tlcFvak1 vía @biobio,0
51,51,155859882602528768,2012-01-08 03:54:26,0,0,Brasil envía 50 brigadistas a Chile para combatir incendios forestales http://t.co/1hodaTaB vía @biobio,0
52,52,153952944067330048,2012-01-02 21:36:56,0,0,@DavidArchie I didn´t go to the chappel last sunday... I feel guilty! Big hug from Chile!!,1
53,53,153195948233859074,2011-12-31 19:28:54,0,9,"RT @cnnchile: ESTÁ PASANDO: Min. Hinzpeter sobre Torres del Paine: ""de los 6 focos del incendio, esperamos que 3 de ellos queden bajo co ...",0
54,54,153195937957818368,2011-12-31 19:28:52,0,15,"RT @cnnchile: ESTÁ PASANDO: Min. Hinzpeter: ""se han visto afectadas 11 mil hectáreas y el incendio seguirá siendo violento los próximos  ...",1
55,55,153195794512617472,2011-12-31 19:28:18,0,4,"RT @cnnchile: Entrevista a Michel De L'Herbe, experto en gestión de emergencias #CNN #Chile http://t.co/59xc9f3g",1
56,56,153195502144454656,2011-12-31 19:27:08,0,23,RT @charitywater: Photo of the Day -- http://t.co/B1c6TwxN,1
57,57,153194890463940608,2011-12-31 19:24:42,0,14,"RT @TorresPaineCom: No tenemos información en línea de la formalización de Roter Singer, si hay alguien transmitiendo desde el lugar se  ...",1
58,58,128496509519007745,2011-10-24 15:42:09,0,0,Un estudio concluye que la Tierra se ha calentado un grado en el último siglo http://t.co/pL8REpZG vía @elmundoes,1
59,59,128495998392729600,2011-10-24 15:40:08,0,0,http://t.co/ABUh0mta,1
60,60,120350331761737728,2011-10-02 04:12:09,0,0,biobiochile - Lluvias y marejadas dejan más de 600 familias afectadas en El Salvador http://t.co/4tvLC4uD vía @biobio,0
61,61,115161855118409728,2011-09-17 20:35:00,0,1,RT @deseretnews: Freight train derails near Nephi    http://t.co/3YEqYUOG,1
62,62,115161668597714944,2011-09-17 20:34:16,0,0,"@CHAYANNEMUSIC Si bien no es novedad, éxito! saludos desde Chile",1
63,63,115161308785160192,2011-09-17 20:32:50,0,0,"@chahuan Pancho, esas son las reglas del juego. Felicidades y felices Fiestas Patrias!! ;°)",1
64,64,115160779560452097,2011-09-17 20:30:44,0,0,"@AlejandroSanz Pues que te vaya de padre. Nosotros, acá, celebrando Fiestas Patrias!! Saludos y un aabrazo desde Chile.  ;°)",1
65,65,115160319214620672,2011-09-17 20:28:54,0,0,@thalia Planes? celebrar las Fiestas Patrias!! Saludos desde Chile ;°),1
66,66,115159916888596480,2011-09-17 20:27:18,0,18,RT @cnnchile: Ya se han reportado 3 accidentes fatales en carretera durante Fiestas Patrias http://t.co/6He470d4 #CNN #Chile,0
67,67,110049740669980672,2011-09-03 18:01:17,0,1,RT @Paula_delamaza: Escuchando al Ministro Allamand... trágico pronóstico del avion. Todas las herramientas humanas trabajando.... no ol ...,1
68,68,110049695493132289,2011-09-03 18:01:06,0,41,RT @chahuan: Pidamos a Dios por todas las personas que viajaban en avión declarado como desaparecido. Esperemos en El que puedan estar s ...,0
69,69,110049630720507904,2011-09-03 18:00:51,0,0,@AlejandroSanz te entiendo plenamente. Un abrazo desde Chile!,1
