,Unnamed: 0,A,date,C,D,content,polarity
0,0,698956288689053696,2016-02-14 19:45:39,1,4,Queremos a los mejores! Realiza tu tesis de pre y post grado con nosotros POSTULA #TesisPaís https://t.co/8p5z7ViGKg https://t.co/Qir0Dr7Hi4,1
1,1,698670569957543937,2016-02-14 00:50:19,4,6,""" La reducción de la pobreza en el país no pasa exclusivamente por un incremento circunstancial en los ingresos de las personas"" FSP.",0
2,2,698593876882419712,2016-02-13 19:45:34,0,3,"ATENCIÓN SANTIAGO! Buscamos a jefe territorial , si estás interesado en el cargo revisa las bases  y postula aquí--&gt; https://t.co/SljBN6Y9p5",0
3,3,698261642652557312,2016-02-12 21:45:23,0,0,OCDE: 52% de los estudiantes chilenos no entiende matemáticas @el_dinamo https://t.co/zhCSHRNtDS,1
4,4,698176721946877952,2016-02-12 16:07:56,1,1,En Chile los estudiantes pobres tienen 6 veces más de probabilidad de tener bajo rendimiento escolar @elmostrador https://t.co/Qh07XXrOc0,0
5,5,697952101687828485,2016-02-12 01:15:23,2,1,Buenas noches! https://t.co/QKzzpeUn2R,1
6,6,697871552654737408,2016-02-11 19:55:18,2,4,TRABAJA CON NOSOTROS! Buscamos a Jefe Territorial en SANTIAGO!  toda la info sobre el cargo AQUI--&gt; https://t.co/VysqjCf37c,0
7,7,697816755780063232,2016-02-11 16:17:34,2,2,Trabajamos por un país sin pobreza más justo y solidario! https://t.co/5wmfckOioV,1
8,8,697582152616173568,2016-02-11 00:45:20,0,2,¿Quieres trabajar con nosotros? Buscamos a Jefe territorial para la región de ANTOFAGASTA interesados POSTULEN AQUÍ https://t.co/YkWnumjwPI,1
9,9,697524238547361793,2016-02-10 20:55:12,1,1,Se confirma que 120 mil estudiantes universitarios accederán a la gratuidad este 2016 https://t.co/9XtWk020EF @el_dinamo,0
10,10,697414394473480192,2016-02-10 13:38:43,1,1,"En Santiago Buscamos ""Jefe Territorial"" para apoyar la conducción de profesionales @serviciopais  POSTULA AQUÍ--&gt; https://t.co/ObQESQYX6w",1
11,11,697219786225352705,2016-02-10 00:45:25,3,3,"PARA LEER--&gt; ""Educación e inclusión social""  Sobre la realidad desigual que existe en Chile https://t.co/7fAaNeWlqV",0
12,12,697174466233823232,2016-02-09 21:45:20,1,2,Chile dentro de los tres ingresos per cápita más bajos según la OCDE https://t.co/ZwXOq5zdvY,0
13,13,697112829913071617,2016-02-09 17:40:25,1,1,Quieres trabajar con nosotros? buscamos a Jefe Territorial para la región de Antofagasta  + detalles AQUÍ--&gt; https://t.co/JLe4PTinBD,1
14,14,697048900792877056,2016-02-09 13:26:23,1,2,"""Jóvenes protagonistas del cambio social"" de IFF AMÉRICA potencia las capacidades de liderazgo y emprendimiento https://t.co/Ae7vAIwq4k",0
15,15,696858616981278720,2016-02-09 00:50:15,1,0,Cuánto ganará un profesor que trabaja con alumnos vulnerables con el aumento del 14% del sueldo ? https://t.co/kTinnplsQM,0
16,16,696812109825441792,2016-02-08 21:45:27,0,0,"Arica y Parinacota: La región cn + adultos en situación d discapacidad, según II estudio nacional de la discapacidad https://t.co/gw9pUYhv98",0
17,17,696765532368936960,2016-02-08 18:40:22,0,0,AÚN QUEDAN CUPOS!  Realiza tu tesis de pre o post grado con nosotros! inscríbete aquí --&gt; https://t.co/Pwmsv3fXKD https://t.co/lmmljwR7tZ,0
18,18,696707594421985280,2016-02-08 14:50:09,1,1,Profesionales #ServicioPaís  apoyan la campaña de limpieza que impulsa la Municipalidad de P. Natales https://t.co/fVE5ErXIrW,1
19,19,696493731617308673,2016-02-08 00:40:20,0,2,"""La nueva generación de políticas públicas debe fundarse en el diálogo social y la participación"" #UmbraleSociales https://t.co/i1HHnLBn62",1
20,20,696119991909945344,2016-02-06 23:55:14,0,2,"REVIVE el capítulo de #LaCopiaFelizDelEdén ""La distribución de la riqueza"" AQUÍ --&gt; https://t.co/rCnTVik0Aa",1
21,21,696057180177436676,2016-02-06 19:45:38,0,3,ATENCIÓN ANTOFAGASTA! buscamos a Jefe Territorial a cargo de la conducción técnica de profesionales @serviciopais https://t.co/ULVJYPxgdG,0
22,22,695765150448676868,2016-02-06 00:25:13,2,0,"""Pareciera q en este país se delinque xq sí, xq “la raza es la mala” y la única solución es aumentar las penas"" https://t.co/HdNi6YuZIn",0
23,23,695677085763903488,2016-02-05 18:35:16,0,1,Realiza tu tesis de pre o post grado con nosotros! y aportar a la construcción de una mejor sociedad POSTULA ! https://t.co/jrtNdIQMiE,1
24,24,695633378285068289,2016-02-05 15:41:36,1,1,"A la pared con el carnet: “detenido por ser joven, detenido por ser pobre, detenido por sospecha” x @leomoreno14 https://t.co/lSV6zsNdX1",1
25,25,695614756200255488,2016-02-05 14:27:36,0,0,Profesionales Servicio País llegarán a apoyar reconstrucción de Canela https://t.co/AkcUsIALwl,1
26,26,695405273326817281,2016-02-05 00:35:11,1,0,"""La confianza está íntimamente relacionada cOn la cohesión social, y ambos son pilares de una sociedad democrática"" https://t.co/MiI66YflM2",1
27,27,695361287434338305,2016-02-04 21:40:24,4,7,"Conozcan el programa ""Jóvenes protagonistas del cambio social"" para potenciar el liderazgo y emprendimiento https://t.co/sziWyhEBOQ",0
28,28,695303398468493312,2016-02-04 17:50:22,1,2,"ATENCIÓN buscamos a Jefe Territorial en Antofagasta, para la conducción técnica de los profesionales @serviciopais https://t.co/AMm3dRoeEX",0
29,29,695247494234660864,2016-02-04 14:08:14,2,2,"Estudio identifica factores de exclusión social, destacan deserción escolar, padres encarcelados entre otros https://t.co/atCrXjT9xR",1
30,30,695045425301209088,2016-02-04 00:45:17,2,2,"La Generación de la Desconfianza: ""Cuando el concepto de comunidad se ha resquebrajado"" por @leomoreno14 https://t.co/h4ENItETv5",0
31,31,695002620474322944,2016-02-03 21:55:11,0,2,"Piensa un país sin pobreza, realiza tu tesis de pre o post grado con nosotros QUEDAN POCOS CUPOS postula  --&gt; https://t.co/wMgdxaWosl",0
32,32,694938506435649536,2016-02-03 17:40:25,1,2,"Por la profunda desconfianza hacia las instituciones, ""El concepto de comunidad se ha resquebrajado"" x @leomoreno14 https://t.co/tsUOjjHTxi",0
33,33,694885996803026944,2016-02-03 14:11:46,0,0,ATENCIÓN Antofagasta! buscamos Jefe Territorial a cargo de la conducción técnica de los profesionales @serviciopais https://t.co/kgLn7WMNBL,0
34,34,694683059908694021,2016-02-03 00:45:22,2,3,Trabaja con nosotros buscamos Jefe Territorial Antofagasta para la conducción técnica de profesionales @ServicioPais https://t.co/SgMqI5VOZI,1
35,35,694640231333625858,2016-02-02 21:55:11,0,2,Proyecto de carrera docente aprobado! conozcan los principales cambios aquí https://t.co/Pk6ZNmWq4f,1
36,36,694597077117112323,2016-02-02 19:03:42,2,2,América: el continente más desigual del planeta  x  Director Ejecutivo @americasolidari Internacional https://t.co/Kw0PuPhfEL,1
37,37,694479620897390592,2016-02-02 11:16:59,0,6,RT @FSP_Antofagasta: Bailamos al ritmo Latinoamericano con los niños del #Campameto Los Arenales @ServicioPais #Antofagasta 🎉 https://t.co/…,1
38,38,694292968929370112,2016-02-01 22:55:17,2,6,"Realiza tu tesis con nosotros! recibimos proyectos de pre y post grado, #TesisPaís2016 postula hasta el 24 de marzo https://t.co/0Jev1Z111G",1
39,39,694219428028878852,2016-02-01 18:03:04,0,1,RT @edwin_briceno: Iniciando video de estudio Voces desde Pequeñas Localidades Arica y Parinacota @serviciopais @superarpobreza https://t.c…,1
