,Unnamed: 0,A,date,C,D,content,polarity
0,0,699278173549285376,2016-02-15 17:04:43,4,4,¡Bravo!¡La Selección Chilena de Pesas realizó una presentación histórica en Río de Janeiro! https://t.co/T1Q2MiHYkZ👏 https://t.co/YIFCAPeGXa,1
1,1,699262874959638528,2016-02-15 16:03:55,7,3,Postula al Voluntariado Permanente #Teletón --&gt; https://t.co/2LM7iIoGOb ¡No te pierdas esta inolvidable experiencia! https://t.co/jPOztjnVhO,0
2,2,699247921527681024,2016-02-15 15:04:30,6,15,¡NO SE DICE lisiado o inválido! Utiliza de foma correcta el lenguaje inclusivo --&gt; https://t.co/yp8xXVuzoV  👍 https://t.co/G5VAXL8Wh2,0
3,3,699217557098782720,2016-02-15 13:03:51,15,6,Así son las salas multisensoriales de #Teletón que mejoran las funciones intelectuales: https://t.co/mGzy9NeqD5 👏 👏 https://t.co/1YWq0XVrAD,1
4,4,699187093654937601,2016-02-15 11:02:48,84,31,¡Un ejemplo! Joven con Síndrome de Down es dueño del restaurante “más feliz del mundo” https://t.co/MwTEFQA8Cv 👏👏👏 https://t.co/yyfBkpILcw,1
5,5,699171934710452225,2016-02-15 10:02:33,5,5,Postula al Voluntariado Permanente #Teletón ACÁ https://t.co/2LM7iIoGOb ¡No te pierdas esta maravillosa aventura! https://t.co/wrtuxelFdE,1
6,6,699050891417161729,2016-02-15 02:01:34,7,6,Postula al Voluntariado Permanente #Teletón ACÁ https://t.co/2LM7iIoGOb ¡No te pierdas esta maravillosa aventura! https://t.co/87ZaISIBT8,1
7,7,699035879030005761,2016-02-15 01:01:55,4,13,¿Sabes como obtener la credencial de discapacidad? Conoce los 5 pasos ACÁ --&gt; https://t.co/t3gNut54xA https://t.co/rHL2e8kZy7,0
8,8,699005749217906689,2016-02-14 23:02:12,34,13,"El amor no tiene raza, el amor no tiene religión… ¡El amor no tiene límites! ❤ ¡Feliz día de San Valentín! 👪 💕 https://t.co/KyNiVueGjx",0
9,9,698975693993086980,2016-02-14 21:02:46,6,6,"¿Dónde puedo ir para que me ayuden a buscar empleo, si estoy en situación de discapacidad?-&gt; https://t.co/RU3j0FXqc1 https://t.co/V7NzVH0PiS",0
10,10,698960618141970434,2016-02-14 20:02:52,9,3,POSTULA al Voluntariado Permanente #Teletón ACÁ --&gt; https://t.co/2LM7iIoGOb ¡No te pierdas esta hermosa experiencia! https://t.co/v0zjR8otqV,0
11,11,698945542479613952,2016-02-14 19:02:57,16,15,Canoterapia: Los perros también pueden ayudar a la #rehabilitación de los niños. 🐶 Más en: https://t.co/kA5ZoKWVui 🐶 https://t.co/P8wFClxf8p,0
12,12,698915476890636288,2016-02-14 17:03:29,7,14,¿Qué hacer si mi hijo en situación de discapacidad no es admitido en la escuela? ACÁ --&gt; https://t.co/f8ohlGks6f  RT https://t.co/cmyObSSzx5,0
13,13,698870045942943745,2016-02-14 14:02:57,15,6,¡No te lo pierdas! Ya abrimos las postulaciones al Voluntariado Permanente #Teletón 2016 ACÁ https://t.co/2LM7iIoGOb https://t.co/RahtXGcoPD,0
14,14,698854912013238272,2016-02-14 13:02:49,10,2,"¡Notable! Haben Girma, la joven sordociega que se salió de @Harvard, también practica #Surf https://t.co/blPZcxc4wK👏 https://t.co/MnGMz96V07",0
15,15,698824570808246272,2016-02-14 11:02:15,52,24,"El amor incluye, el amor no discrimina, es paciente y respetuoso ¡#Teletón les desea un feliz día de San Valentín! ❤ https://t.co/X0qgwtTDMD",1
16,16,698688548556435457,2016-02-14 02:01:45,14,10,Postula al Voluntariado Permanente #Teletón ACÁ https://t.co/2LM7iIoGOb ¡No te pierdas esta maravillosa aventura! 👍 https://t.co/5UTfN1ca6w,1
17,17,698673547963670530,2016-02-14 01:02:09,19,9,¡Personas en situación de #discapacidad podrán subirse al nuevo #teleférico de #Santiago! https://t.co/E9Q2AbOCNK ♿👏 https://t.co/QyiUO2QJvE,0
18,18,698643417711185920,2016-02-13 23:02:25,7,4,"¿Dónde puedo ir para que me ayuden a buscar empleo, si estoy en situación de discapacidad?-&gt; https://t.co/CbkCfMC1Dm https://t.co/xsy0T39s8T",0
19,19,698628346347962369,2016-02-13 22:02:32,8,7,Postula al Voluntariado Permanente #Teletón ACÁ https://t.co/2LM7iIoGOb ¡No te pierdas esta maravillosa aventura! 👍 https://t.co/KGZ4ilKxPV,1
20,20,698613322250350592,2016-02-13 21:02:50,10,3,"No te quedes sin conocer la historia de Paula Fuentes, que emocionó a todo Chile: https://t.co/3zy16cErl1  👏 ❤ https://t.co/VExrG5c5uP",1
21,21,698583213069963264,2016-02-13 19:03:11,12,4,Así fue nuestro #VeranoTeletón16 #Temuco junto a @CircoPastelito y los @V_teletonTemuco -&gt; https://t.co/5msCgQ1OQI 😄 https://t.co/B8DON7hTRB,1
22,22,698568205338570752,2016-02-13 18:03:33,10,0,🎉#Teletón #Talca celebró un año más entregando rehabilitación a los niños con discapacidad: https://t.co/1LjZuyLyOb👏 https://t.co/De2CA7msV0,1
23,23,698553138563960832,2016-02-13 17:03:41,2,4,¿Qué hacer si mi hijo en situación de discapacidad no es admitido en la escuela? ACÁ --&gt; https://t.co/S6JSSVjmmo  RT https://t.co/FrmaiOIf44,0
24,24,698522964917145600,2016-02-13 15:03:47,7,2,¡Un hombre en situación de discapacidad logró increíble récord Guinness con sus bastones! https://t.co/RwxRo3eVi8 👏👏 https://t.co/sGxeMKm6xS,1
25,25,698492538714517504,2016-02-13 13:02:53,19,20,¡NO SE DICE lisiado o inválido! Utiliza de foma correcta el lenguaje inclusivo --&gt; https://t.co/CQHuPEcECc 👍 https://t.co/iMXaz4Epoi,0
26,26,698477295632310275,2016-02-13 12:02:19,3,1,Postula al Voluntariado Permanente #Teletón ACÁ https://t.co/2LM7iIoGOb ¡No te pierdas esta maravillosa aventura! 👍 https://t.co/dvcba8TT1Y,1
27,27,698462188424597508,2016-02-13 11:02:17,8,14,¿Sabes como obtener la credencial de discapacidad? Conoce los 5 pasos ACÁ --&gt; https://t.co/82ajjd1wwo https://t.co/sAcr7tWoD8,0
28,28,698447053425418240,2016-02-13 10:02:08,34,10,¡Excelente! #Teletón #Concepción realiza la primera cirugía con técnica compleja en cadera-&gt; https://t.co/bBIysGAMAK https://t.co/l6Iktf7Ojc,1
29,29,698311222517698560,2016-02-13 01:02:24,15,8,¿Por qué es tan importante adaptar los juguetes de los niños en situación de discapacidad?-&gt; https://t.co/TO3KqNs8kw https://t.co/13fhb3xGZ8,0
30,30,698296053121093633,2016-02-13 00:02:07,13,6,Postula al Voluntariado Permanente #Teletón ACÁ https://t.co/2LM7iIoGOb ¡No te pierdas esta maravillosa aventura! 👍 https://t.co/X2mWVyMliT,1
31,31,698281233311272962,2016-02-12 23:03:14,5,4,¡NO TE BAÑES BAJO LOS EFECTOS DEL ALCOHOL! 10 tips para prevenir accidentes en playas -&gt; https://t.co/CkMhSeeirc 🏊 ☀ https://t.co/lTGgWh4LC2,0
