,Unnamed: 0,A,date,C,D,content,polarity
0,0,698220901981147137,2016-02-12 19:03:30,0,0,Limpiaremos dos playas la próxima semana. Limpia tu playa el mismo día! #nuestrooceano #nuestrasplayas,1
1,1,697862801726042114,2016-02-11 19:20:32,1,0,Beach clean next week! // ¡Una limpieza de la playa la próxima semana! #valposurf #nuestrooceano #nuestrasplayas https://t.co/GtYsFz2tew,1
2,2,697509033020891136,2016-02-10 19:54:47,0,0,"The record for most surfboards stacked on a car is 282 in Santa Barbara, CA #surfing #worldrecord #stack",1
3,3,696797961225904129,2016-02-08 20:49:14,0,0,Felicitaciones a la tienda de surf Quiver y @shaperstudios en su inauguración! ¡Esperamos visitarlos de nuevo y colaborar en el futuro!,1
4,4,696672835692003328,2016-02-08 12:32:02,0,0,@spigelsound thank you! We love what we do.,1
5,5,695347555245240320,2016-02-04 20:45:50,1,0,Did you know that 47 people once surfed together on a 12m board? https://t.co/EGrCfcOymd   #worldrecord #surfing #stoked #teamwork,1
6,6,695330454262702080,2016-02-04 19:37:53,0,1,RT @spigelsound: @valposurf I love the sound of what you're doing. Very inspiring!,1
7,7,694975367845695488,2016-02-03 20:06:54,0,0,"The biggest wave ever recorded was 530 meters (1,738 feet) in Lituya bay, on the southern coast of Alaska. Que grande! #bigwavesurfing",1
8,8,694618037505429504,2016-02-02 20:27:00,1,0,La marejada ha sido grande estas semanas! Asegura que sabes cómo estar segur@ en la playa! #vsp #valposurf #safety #seguridad #verano,1
9,9,692792517977325570,2016-01-28 19:33:02,1,1,Did you know that 94 percent of life on Earth is aquatic? Care for the ocean and all of its creatures! #surf #environment #medioambiente,1
10,10,692433897670447105,2016-01-27 19:48:00,0,0,¡Muchísimas gracias a nuestros amables vendedores locales de frutas por su aporte para nuestras sesiones de surf! https://t.co/w3hN2beSOr,1
11,11,692084406526332928,2016-01-26 20:39:15,0,0,"Summer surf sessions have started! We’re all stoked to be surfing with our chiquillos (kids) every week,all week! #valposurf #summer #verano",1
12,12,681873651994619905,2015-12-29 16:25:21,0,0,The year is quickly drawing to a close and we ask that you think of the VSP when considering your year end donation. https://t.co/GYRh2BWvjU,1
13,13,677488636141690880,2015-12-17 14:00:52,0,0,"As the holiday season is upon us, don't forget the VSP with your year end donation. Thank you for your support! https://t.co/md6zJuqvFV",1
14,14,672053237961400320,2015-12-02 14:02:32,0,0,Thank you for all of your support yesterday with our #GivingTuesday campaign! https://t.co/NBv6281jv2 https://t.co/31mMErFC6i,1
15,15,671818761662500864,2015-12-01 22:30:49,0,0,Happy #GivingTuesday! Join in on the international day of giving &amp; support the VSP! https://t.co/uekpdyg2Qn https://t.co/sTCe9Lz3eo,1
16,16,671798513215385600,2015-12-01 21:10:21,0,0,Hoy es #GivingTuesday! Se parte del día internacional de solidaridad y apoya a VSP! https://t.co/I3clVC7XHb https://t.co/8uQ61VxCN9,1
17,17,671756083770302464,2015-12-01 18:21:45,1,1,Today is #GivingTuesday! Join in on the international day of giving and support the VSP! https://t.co/RpaN2MHMc8 https://t.co/ZTOIjSHNFC,1
18,18,670301189955837953,2015-11-27 18:00:31,0,0,"We hope that you had a Happy Thanksgiving! Remember that you can support VSP by shopping on Amazon Smile, thank you! https://t.co/aAoPCbtsp3",1
19,19,669946787713654785,2015-11-26 18:32:15,0,0,Happy Thanksgiving! We hope that this weekend you are able to visit your family members and be thankful together. https://t.co/t4BEbXog23,1
20,20,667712086605242368,2015-11-20 14:32:21,0,0,Don't forget #givingtuesday is December 1! // No se olviden #givingtuesday es el 1 de diciembre! https://t.co/dlkRXj3wFQ,1
21,21,667056806162800640,2015-11-18 19:08:30,0,0,We love Valpo and all of its colors! Some students from Laguna Verde explore Valpo during a scavenger… https://t.co/cyAEMCKdo4,1
22,22,667017532986011649,2015-11-18 16:32:27,0,0,We love Valpo and all of its colors! // Nosotros amamos Valpo y todos sus colores! #valpo #graffiti #vsp #color https://t.co/GtFwQmQVUw,1
23,23,667001379362365441,2015-11-18 15:28:15,0,0,No solo surfeamos! Animamos a nuestros estudiantes a hacer cualquier deporte #vsp #skateon https://t.co/B3L7By8h7u,1
24,24,665560291275579392,2015-11-14 16:01:53,0,0,Teaching the importance of caring for the equipment! // Enseñando la importancia de cuidar el equipo! #teamvsp https://t.co/sNH61x89Va,1
25,25,665235249694154752,2015-11-13 18:30:17,0,0,Support the Valpo Surf Project Through Amazon Smile! https://t.co/NuUO86avfj,1
26,26,664988908212592640,2015-11-13 02:11:25,2,1,@Chiobtos @COASURF Muchas gracias--los vamos a revisar para averiguar mas!,1
