,content,polarity
0,Basta de modificaciones y arreglos a la herencia de Pinochet #NOMasAFPs  #AsambleaConstituyente #NuevaConstitucion,1
1,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
2,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
3,Editando jajajajaja #asambleaConstituyente #cantoPueblo #festivalenlapatagonia https://t.co/Qcd0YItqwW,1
4,RT @CTM_MX: @Mariana_Moguel #ConstitucionCDMX #ConstituyentePorTi @CONST_CDMX #AsambleaConstituyente https://t.co/3pgB0rV9hk,1
5,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
6,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
7,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
8,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
9,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
10,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
11,RT @PedroMunozLeiva: Aplauso cerrado obtiene la #AsambleaConstituyente en el #CabildoRegional de #LosRíos. ¡Emocionante! #Valdiviacl https:…,1
12,RT @jobecerra: #AsambleaConstituyente fue fuertemente demandada en los #CabildosRegionales ... Que sistematización no la desconozca https:/…,1
13,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
14,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
15,¡GACETA DE LA #ASAMBLEACONSTITUYENTE está disponible! https://t.co/xdEW4DR17D,1
16,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
17,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
18,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
19,"RT @AlexGarrido2016: ""No Olvidar"", Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente #LaSerena Sabado 13 de Agosto 12... ht…",1
20,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
21,"""No Olvidar"", Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente #LaSerena Sabado 13 de Agosto 12... https://t.co/cC1D0jaXKh",1
22,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
23,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
24,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
25,[La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https://t.co/mpBZZjN0kA,1
26,El fisco acepta entregar a @INEMexico $220 millones https://t.co/IqAz8j2qLt #AsambleaConstituyente,0
27,RT @pimentonverde: HASTA un convocatoria de #AsambleaConstituyente q esta en CRBV mi estimada https://t.co/VWsAxO3LYK,1
28,RT @pimentonverde: HASTA un convocatoria de #AsambleaConstituyente q esta en CRBV mi estimada https://t.co/VWsAxO3LYK,1
29,RT @pimentonverde: HASTA un convocatoria de #AsambleaConstituyente q esta en CRBV mi estimada https://t.co/VWsAxO3LYK,1
30,HASTA un convocatoria de #AsambleaConstituyente q esta en CRBV mi estimada https://t.co/VWsAxO3LYK,1
31,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
32,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
33,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
34,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
35,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
36,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
37,RT @RDemocratica: [La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https…,1
38,[La Serena] Abierta inscripción Escuela de Feminismo y #AsambleaConstituyente infolaserena@revoluciondemocratica.cl https://t.co/UZped4GlpZ,1
39,RT @Jesus_Silva_R: #Venezuela necesita #AsambleaConstituyente donde quepan todos para resolver crisis #politica… https://t.co/pmYrjITe6P,0
40,#Venezuela necesita #AsambleaConstituyente donde quepan todos para resolver crisis #politica… https://t.co/pmYrjITe6P,0
41,Una sana actitud ante las próximas elecciones... #nomasafp #asambleaconstituyente https://t.co/Bw0XWb1n8d,1
42,¡GACETA DE LA #ASAMBLEACONSTITUYENTE está disponible! https://t.co/2TH3km9Mmi Gracias a @MividaconCarlos @INDIO2301,1
43,RT @BordePolitico: ¿Ya conocen la integración de la #AsambleaConstituyente de la Ciudad de México? #ConstituyenteCDMX https://t.co/4m0uImpE…,1
44,RT @TEPJF_informa: Se revocó sanción del INE al PAN por informe de gastos de campaña de #AsambleaConstituyente https://t.co/rCn8B6l4Ii http…,1
45,RT @TEPJF_informa: Se revocó sanción del INE al PAN por informe de gastos de campaña de #AsambleaConstituyente https://t.co/rCn8B6l4Ii http…,1
46,RT @BordePolitico: ¿Ya conocen la integración de la #AsambleaConstituyente de la Ciudad de México? #ConstituyenteCDMX https://t.co/4m0uImpE…,1
47,RT @BordePolitico: ¿Ya conocen la integración de la #AsambleaConstituyente de la Ciudad de México? #ConstituyenteCDMX https://t.co/4m0uImpE…,1
