,content,polarity
0,"RT @edal_777: #Reformatributaria lo informal maneja millones, terminal, mercados, tiendas, depósitos ellos deben de ser parte del motor  @k…",0
1,"@RevistaSemana @Semanaenvivo Debate sobre la #ReformaTributaria, Natalia Salazar subdirectora de @Fedesarrollo ☛ https://t.co/Ax881xky2U",0
2,RT @rafa_calas: #ReformaTributaria Subir regalías mineras al 80% sobre el precio internacional como lo hizo Bolivia y Ecuador y no afectar…,1
3,RT @JusTributaria: Por esta línea avanza la #ReformaTributaria 2016 del Gobierno  https://t.co/0ImgPD9S7L https://t.co/X0wIm2z7CR,1
4,RT @rafa_calas: #ReformaTributaria Subir regalías mineras al 80% sobre el precio internacional como lo hizo Bolivia y Ecuador y no afectar…,1
5,RT @Robeemer: @Marjorievonahn @CanalAntigua @Perico8461 #reformatributaria que empiecen ajustando el  presupuesto y después piensen en refo…,0
6,RT @JusTributaria: Por esta línea avanza la #ReformaTributaria 2016 del Gobierno  https://t.co/0ImgPD9S7L https://t.co/X0wIm2z7CR,1
7,RT @JusTributaria: Por esta línea avanza la #ReformaTributaria 2016 del Gobierno  https://t.co/0ImgPD9S7L https://t.co/X0wIm2z7CR,1
8,Por esta línea avanza la #ReformaTributaria 2016 del Gobierno  https://t.co/0ImgPD9S7L https://t.co/X0wIm2z7CR,1
9,RT @CanalAntigua: .@Marjorievonahn le espera con @edgar_ortizgt y @krismacastillo para el análisis de #ReformaTributaria ¡Participe! https:…,1
10,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
11,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
12,"RT @Judy013: Antes de una #ReformaTributaria pensemos en una ""Tributación Igualitaria""  #SFImpuestos @Guatevision_tv @ezapeta @DarwinHK @El…",1
13,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
14,"RT @DrsergioHernan3: #ReformaTributaria primero lo primero, fortalecimiento d SAT evitar defraudación, eficiencia y transparencia, luego pa…",1
15,"RT @Marjorievonahn: @Perico8461 sobre #ReformaTributaria ""Al final vamos a pagar los que ya pagamos"" El debate continúa en #Alas10pm @Canal…",0
16,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
17,RT @rafa_calas: #ReformaTributaria Subir regalías mineras al 80% sobre el precio internacional como lo hizo Bolivia y Ecuador y no afectar…,1
18,RT @GerardoCabreraR: La analogía de @edgar_ortizgt sobre el restaurant y el aumento de los impuestos en #Guatemala es perfecta... #ReformaT…,0
19,Tendencias hoy 10/8 a esta hora en Guatemala: #ElMejorDeMisTalentos #SFImpuestos #ReformaTributaria +en: https://t.co/UJVDqdU5NG,1
20,RT @TuiterosXGuate: Hay que hacer un Censo para que veamos si la informalidad en el interior es pura pobreza o pura evasión #ReformaTributa…,1
21,RT @rafa_calas: #ReformaTributaria Subir regalías mineras al 80% sobre el precio internacional como lo hizo Bolivia y Ecuador y no afectar…,1
22,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
23,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
24,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
25,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
26,- Tax the Rich and Greedy Not the Needy! -  Promoción válida también para Guatemala  #SFImpuestos #ReformaTributaria https://t.co/SzltmqGJY5,1
27,RT @Anon_Protect: Se les acabo el Inmenso Show La verdad te ha aplastado  #Anonymous #SfImpuestos #ReformaTributaria https://t.co/4Xmgf66Fks,1
28,RT @Anon_Protect: Uds no son #Anonymous son Vendidos Callcenteros a la Mafia de la UNE Copy Paste 》》  #SfImpuestos #ReformaTributaria https…,1
29,"RT @aodenicholls: Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTribut…",0
30,RT @Anon_Protect: #DictalordSeRetira DESPUES DE 1 EXTRAÑA ENTREVISTA ENTRE LOS TUITEROS D LA MAFIA UNE #SfImpuestos #ReformaTributaria http…,1
31,RT @Anon_Protect: SOMOS #ANONYMOUS GUATEMALA NG SOMOS LEGION NO PERDONAMOS NO OLVIDAMOS ESPERADNOS !!! #SfImpuestos #ReformaTributaria http…,1
32,RT @MafiaSandraUNE: #ReformaTributaria #DictaLordSeRetira #SFImpuestos  FALSO AN0NYMOUSGT EN 4 IMAGENES ...ALERTA PUEBLO DE GUATEMALA!! htt…,1
33,RT @MafiaSandraUNE: #ReformaTributaria #DictaLordSeRetira #SFImpuestos  Falso anonymous en GUATEMALA call center de #narcopolitica UNE http…,0
34,@Marjorievonahn @CanalAntigua #ReformaTributaria,1
35,RT @MafiaSandraUNE: #ReformaTributaria #SFImpuestos  ALERTA GT : 27/4/2015 EDUARDO RAMIREZ EXTORSION-VANDALISMO #1561 @PNCdeGuatemala https…,1
36,RT @TuiterosXGuate: Hay que hacer un Censo para que veamos si la informalidad en el interior es pura pobreza o pura evasión #ReformaTributa…,1
37,RT @TuiterosXGuate: Hay que hacer un Censo para que veamos si la informalidad en el interior es pura pobreza o pura evasión #ReformaTributa…,1
38,"Mientras nos desahogamos con el debate de las cartillas de MinEducacion, no bajemos la guardia frente a la #ReformaTributaria q se viene.",0
39,#ReformaTributaria https://t.co/NQGbdDpeWU,1
40,"pero seamos claros, no podemos tampoco estar con impuestos de risa a las mineras donde hasta les pagamos pa q contaminen  #ReformaTributaria",0
41,Eso de cambiarle nombre al estadio Mateo Flores ES UN DISTRACTOR para hacer la #ReformaTributaria  q mas beneficie a los grandes evasores!,1
42,muchas entidades estatales no ejecutan totalmente sus presupuestos entonces para q quieren más recursos #ReformaTributaria,0
43,RT @TuiterosXGuate: Hay que hacer un Censo para que veamos si la informalidad en el interior es pura pobreza o pura evasión #ReformaTributa…,1
44,#ReformaTributaria  #SFImpuestos  #Alas10pm #CasoTCQ  #Anonymous #opFakeAnonGT   :-) https://t.co/a1qfEmY702,1
45,La #ReformaTributaria debería ser impuesto a bebidas alcohólicas embriagantes y tabaco... gran industria de aprovechamiento,1
46,"Que paguen impuestos los colegios,universidades e iglesias. #ReformaTributaria",0
47,@edgar_ortizgt @CanalAntigua  @krismacastillo #ReformaTributaria si no depuran los ministerios no tendremos salud y educación sindicatos,0
48,Evidencia de transparencia en gasto y rendición de cuentas antes de otro paquete fiscal. Moral tributaria por los suelos #ReformaTributaria,0
49,"RT @buenasideasjr: #ReformaTributaria A todos sus aportes, yo agregaría un agresivo programa de concientización tributaria. @krismacastillo…",1
50,no puedes sacar de la pobreza sin +impuestos proporcionales a quienes mas tienen y mas claridad de gasto castigo evasión #ReformaTributaria,0
51,"RT @buenasideasjr: #ReformaTributaria A todos sus aportes, yo agregaría un agresivo programa de concientización tributaria. @krismacastillo…",1
52,"#Reformatributaria lo informal maneja millones, terminal, mercados, tiendas, depósitos ellos deben de ser parte del motor  @krismacastillo",0
53,"RT @Marjorievonahn: #ReformaTributaria Dip. Dorian Taracena: ""Debiéramos apostarle a las aduanas para recuperar ese IVA de importaciones"" @…",1
54,@clyntonr @krismacastillo Así lo es #ReformaTributaria,1
55,"Tenemos un ente recaudador cuyo origen es bajo estructuras de cooptación, primero blindemos la casa y luego operemos #ReformaTributaria",0
56,"#ReformaTributaria Muchos se rasgan las vestiduras,diciendo:se están robando nuestros impuestos y no tributan@krismacastillo @Marjorievonahn",0
57,"un impuesto graduable según la pobreza o riqueza sería interesante, NIT debería ser DPI en principio y mas simplificación #ReformaTributaria",0
58,Tendríamos resultados efectivos si la #ReformaTributaria afectará solo a los grandes contribuyentes quienes son fuertes para eludir y evadir,0
59,"#ReformaTributaria A todos sus aportes, yo agregaría un agresivo programa de concientización tributaria. @krismacastillo @Marjorievonahn",1
60,"#ReformaTributaria el panelista menciona mucho la MORAL TRIBUTARIA del pueblo, pero que M O R A L tienen los que ""manejan"" estos recursos?",0
61,RT @TuiterosXGuate: Hay que hacer un Censo para que veamos si la informalidad en el interior es pura pobreza o pura evasión #ReformaTributa…,1
62,"RT @Marjorievonahn: #ReformaTributaria Paul Boteo: ""Se siguen poniendo impuestos a las personas que ya pagan"" @CanalAntigua @edgar_ortizgt…",0
63,@TuiterosXGuate Falta mucha data efectivamente. #ReformaTributaria,0
64,RT @TuiterosXGuate: Hay que hacer un Censo para que veamos si la informalidad en el interior es pura pobreza o pura evasión #ReformaTributa…,1
