,content,polarity
0,Esto me gustaría para #Chile #EducacionDeCalidad #niños .@eligeeducar .@Educacion2020 .@sebastianpinera .@Manena https://t.co/DzVpqhj4fk,1
1,https://t.co/Xfdb8VUdmO   Muy bien #insalco #educación #educaciondual #chile #EducacionDeCalidad,1
2,¡¡Tal cuál!! @renenaranjo #Chile #EducacionDeCalidad  @Mineduc  https://t.co/b85YObR4IM,1
3,https://t.co/Xfdb8VUdmO   Muy bien #insalco #educación #educaciondual #chile #EducacionDeCalidad,1
4,Educación de calidad  #educacion #EducacionDeCalidad #EducacionSinExclusiones #Chile  https://t.co/d6px5lGapd,1
5,¡¡Tal cuál!! @renenaranjo #Chile #EducacionDeCalidad  @Mineduc  https://t.co/b85YObR4IM,1
6,Chile en 1970 tenīa menos recursos #EducaciónGratuita y #SistemadeReparto de pensiones..Hoy Mās Ricos #AFP y #EducacionPrivada #pensioneschv,1
7,Cada inicio de cursos en las escuelas de la SEP son un exceso de COBROS a pesar de que la #EducaciónGratuita..!! https://t.co/zZAWGvUhJL,0
8,#MejoresPensiones = #EducacionGratuita promesas,1
9,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
10,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
11,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
12,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
13,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
14,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
15,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
16,RT @GodwillgivemeJ: @barbarabricenok @maxcolodro así con la #EducaciónGratuita #ENacional https://t.co/SBAJbgl3Ip,1
17,RT @ResistenciaAtz: #LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente! Abajo la #ReformaEducativa https://t.co/…,1
18,La imposición de la agenda política nacional. #NO+AFP #EducacionGratuita #Bachelet https://t.co/dn9VmXkeGQ https://t.co/n3vSrAsGZo,0
19,"deseo papa fritas con ketchup, #no+afp y #educaciongratuita @biobio",1
20,Sólo vende humo la Constitución la harán entre 4 paredes #NOMasAFPs  #educaciongratuita #reformalaboralverdadera https://t.co/eBD7ONMNrh,0
21,"RT @patricia_leyton: Jajajajajaja, pooobreeeeeeee, #EducacionGratuita,#MejoresYMasEmpleos, es una Cínica o Realmente esta muyyyy MAL https:…",0
22,"RT @patricia_leyton: Jajajajajaja, pooobreeeeeeee, #EducacionGratuita,#MejoresYMasEmpleos, es una Cínica o Realmente esta muyyyy MAL https:…",0
23,"RT @patricia_leyton: Jajajajajaja, pooobreeeeeeee, #EducacionGratuita,#MejoresYMasEmpleos, es una Cínica o Realmente esta muyyyy MAL https:…",0
24,"Jajajajajaja, pooobreeeeeeee, #EducacionGratuita,#MejoresYMasEmpleos, es una Cínica o Realmente esta muyyyy MAL https://t.co/GYqeQiUkhh",0
25,RT @PrensaZETachira: Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales #EducaciónGratuita https:…,1
26,RT @ResistenciaAtz: #LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente! Abajo la #ReformaEducativa https://t.co/…,1
27,RT @ResistenciaAtz: #LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente! Abajo la #ReformaEducativa https://t.co/…,1
28,RT @ResistenciaAtz: #LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente! Abajo la #ReformaEducativa https://t.co/…,1
29,RT @ResistenciaAtz: #LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente! Abajo la #ReformaEducativa https://t.co/…,1
30,#LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente! Abajo la #ReformaEducativa https://t.co/k8zQmV05zP,1
31,Urgencias. #EducaciónGratuita #EducaciónPública #LeyDeducación #NuevaMayoria #Bachelet #AFP  https://t.co/2wFyX5BezV https://t.co/KNIUiXvHWV,1
32,"#LuchaInternacionalista #EducaciónGratuita   ¡Educación gratuita e incluyente!  Abajo la reforma ""educativa"" ¡no... https://t.co/w3B8wZlGf4",1
33,RT @PrensaZETachira: Zonas Educativas estarán atentas ante excesos en el cobro de matrícula #EducaciónGratuita https://t.co/cni4HCl9AH http…,1
34,Chilean students in education demo get tear-gassed https://t.co/EkMVI0vnJn #EducaciónGratuita,1
35,RT @PrensaZETachira: Zonas Educativas estarán atentas ante excesos en el cobro de matrícula #EducaciónGratuita https://t.co/cni4HCl9AH http…,1
36,Zonas Educativas estarán atentas ante excesos en el cobro de matrícula #EducaciónGratuita https://t.co/cni4HCl9AH https://t.co/ALzjlvIB25,1
37,RT @MPPEDUCACION: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https…,1
38,RT @MPPEDUCACION: Materiales y textos escolares no deben ser exigidos en los planteles oficiales de todo el país #EducaciónGratuita https:/…,0
39,RT @MPPEDUCACION: Lista de útiles escolares no es un requisito primordial garantizando inclusión de niños y niñas #EducaciónGratuita https:…,0
40,RT @MPPEDUCACION: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita https://t.co/nluyEF…,1
41,RT @Chucurumbito: En la campaña pasada fue #EducacionGratuita ahora es #NOMasAFPs Lo interesante y digno de análisis es que los weones vota…,1
42,RT @Chucurumbito: En la campaña pasada fue #EducacionGratuita ahora es #NOMasAFPs Lo interesante y digno de análisis es que los weones vota…,1
43,RT @Chucurumbito: En la campaña pasada fue #EducacionGratuita ahora es #NOMasAFPs Lo interesante y digno de análisis es que los weones vota…,1
44,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
45,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
46,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
47,"RT @zea_ssppea: Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https:/…",0
48,RT @zea_ssppea: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https:/…,1
49,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
50,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
51,#CarreraDocente: 70% de profesores municipales evaluados no alcanzó nivel esperado por #Mineduc https://t.co/yeagaAF640 #EducaciónGratuita,1
52,RT @zea_ssppea: Regularización de útiles escolares en planteles oficiales fortalece el derecho a la #EducaciónGratuita https://t.co/8ln2X8B…,0
53,RT @zea_ssppea: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/OtqF68sCaT https://t.co/NNpvRHznHh,1
54,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
55,"RT @zea_ssppea: Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https:/…",0
56,RT @zea_ssppea: Centros educativos oficiales no podrán solicitar aportes en dinero para inscripciones 2016-2017 #EducaciónGratuita https://…,0
57,RT @zea_ssppea: Materiales y textos escolares no deben ser exigidos en planteles oficiales de todo el país #EducaciónGratuita https://t.co/…,0
58,RT @zea_ssppea: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https:/…,1
59,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
60,RT @zea_ssppea: Escuelas oficiales deben fomentar el uso de materiales reciclados en actividades pedagógicas #EducaciónGratuita https://t.c…,0
